model,site,layer,evaluation_tokens,recaptured_raw_mean_group_range,original_E1c_raw_mean_group_range,relative_range_replay_drift,reference_status,provenance
llama32_3b,down,0,8192,0.1168114073225297,0.11681035161018372,9.037832105152077e-06,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,1,8192,0.2600866674911231,0.25997859239578247,0.00041570767171505985,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,2,8192,0.18038931651972234,0.18033796548843384,0.00028474886665952326,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,3,8192,0.23557616584002972,0.23565761744976044,-0.00034563537819054524,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,4,8192,0.27638082997873425,0.2764282524585724,-0.0001715543885849602,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,5,8192,0.32125304895453155,0.3212859034538269,-0.00010225938624186526,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,6,8192,0.34562172880396247,0.3456025719642639,5.543025791054923e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,7,8192,0.3518965793773532,0.35194313526153564,-0.00013228240450791073,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,8,8192,0.36178812803700566,0.3617779314517975,2.8184652301144197e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,9,8192,0.3657875247299671,0.3658260703086853,-0.0001053658605731922,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,10,8192,0.38032546848990023,0.38029351830482483,8.401454018414078e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,11,8192,0.3939245566725731,0.3938877284526825,9.349928223278958e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,12,8192,0.43568037869408727,0.435678094625473,5.242560143337016e-06,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,13,8192,0.4771930053830147,0.4771876335144043,1.1257350847060366e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,14,8192,0.5415768050588667,0.5415780544281006,-2.306905207194454e-06,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,15,8192,0.5745263700373471,0.5745894908905029,-0.00010985382461137227,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,16,8192,0.5696690287441015,0.569711446762085,-7.44552671787524e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,17,8192,0.5769903552718461,0.5770325660705566,-7.31515016527684e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,18,8192,0.5870277392677963,0.5870504379272461,-3.866560347010051e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,19,8192,0.6851209388114512,0.6851146817207336,9.132909984943538e-06,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,20,8192,0.6739918813109398,0.6740390062332153,-6.99142361788585e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,21,8192,0.6993873636238277,0.6994154453277588,-4.015024849490789e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,22,8192,0.7290927162393928,0.7291524410247803,-8.190987511957903e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,23,8192,0.8233962249942124,0.8233795166015625,2.029245604617813e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,24,8192,0.9612299064174294,0.9610767364501953,0.00015937329603854522,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,25,8192,1.223594886250794,1.2232682704925537,0.0002670025587345748,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,26,8192,1.5620642276480794,1.5617623329162598,0.0001933038884704974,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,down,27,8192,3.3427074626088142,3.3423120975494385,0.00011829088602044457,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,0,8192,1.221745322148005,1.2217453718185425,-4.065539238595761e-08,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,1,8192,2.1740676114956536,2.1740829944610596,-7.075610933493515e-06,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,2,8192,3.6324356297651925,3.631944179534912,0.00013531326639038,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,3,8192,2.5452337563037872,2.545168876647949,2.5491297034552218e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,4,8192,2.7459779381752014,2.745443344116211,0.00019472048481206095,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,5,8192,3.256662825743357,3.2557363510131836,0.00028456687836087013,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,6,8192,2.9250391125679016,2.9247374534606934,0.00010314057655036457,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,7,8192,2.65787594517072,2.6576385498046875,8.932567826058779e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,8,8192,3.149805386861165,3.149484634399414,0.00010184284065006821,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,9,8192,3.0675688485304513,3.0671679973602295,0.00013069097309537092,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
