model,method,site,layer,k,anchor_error,selected_numerical_rank,null_completion_directions,permutation_identical_to_A,factor_sha256
llama32_3b,B_top1,down,0,64,2.384185791015625e-07,1,63,True,e9d10fb9e9ebd6e277f28ea1714660e7b58b82e372c91a377e5bd51b0c01617e
llama32_3b,B_top1_no_bos,down,0,64,2.384185791015625e-07,128,0,True,4f053dda351cd2692843f5323ded8dc0b97e9db1a229287a33ae7bba8145ab0b
llama32_3b,C_top1pct,down,0,64,4.172325134277344e-07,-1,0,True,3c192d08cb869747cff96507f5955d5a7e596cbef0d542a32bf062e7e995301f
llama32_3b,C_top1pct_no_bos,down,0,64,4.172325134277344e-07,-1,0,True,a5906d2a929b40d2670ab9f3f73e9a572580fb1ac29ecff8214e4b2c55943bf0
llama32_3b,B_top1,down,1,64,2.980232238769531e-07,1,63,True,c69746a704f6c15cc35ad102090d7f0934c6c4c72197ae9f5466fa22e9f50990
llama32_3b,B_top1_no_bos,down,1,64,3.5762786865234375e-07,128,0,True,072a59a4ee1a312d0b4c77803335e83f8287dd1e3c8424814f1108cf82625e01
llama32_3b,C_top1pct,down,1,64,3.5762786865234375e-07,-1,0,True,e3d0ba36031f969be0132d17365007f70f09b013c15b8fcdb59b1663dc2ee728
llama32_3b,C_top1pct_no_bos,down,1,64,5.364418029785156e-07,-1,0,True,189bbdcb16dc13874cefbad034d7ffda0b7ef869a44d0278f5f211250127d07e
llama32_3b,B_top1,down,2,64,3.5762786865234375e-07,128,0,True,3ba18c522802e022b7152063bcd442fd86600d7c01bed8988f82ae39396856c0
llama32_3b,B_top1_no_bos,down,2,64,3.5762786865234375e-07,128,0,True,b3295be3ff20abc0b6b332920328e08fb2a238baf7103d75ea0c04a1447c1cd6
llama32_3b,C_top1pct,down,2,64,4.172325134277344e-07,-1,0,True,916141ba2aa86dd763f389007080274efe4bc16ed664fa29c7b0501d6445bd5a
llama32_3b,C_top1pct_no_bos,down,2,64,2.980232238769531e-07,-1,0,True,82869b980070a0cf191fb8f918fad67497393ac4e764f44cde784d305263c235
llama32_3b,B_top1,down,3,64,3.5762786865234375e-07,128,0,True,9761e105e5823fddaaa371e892da8cc2e045aa392d32cbdee4bcdb2c41741ca3
llama32_3b,B_top1_no_bos,down,3,64,3.5762786865234375e-07,128,0,True,511cb88756eefea0439d4ddff1824dd7c958d247bc095bb1e6b308e791c5111d
llama32_3b,C_top1pct,down,3,64,4.172325134277344e-07,-1,0,True,c6e19826dc134b7fba4335f06f2883abf1962167e076e113d3a14fb73747706e
llama32_3b,C_top1pct_no_bos,down,3,64,3.5762786865234375e-07,-1,0,True,1911c6ca96a707706a35b8e3df7370411a23967e7f1c2d6e67e256a982b1641a
llama32_3b,B_top1,down,4,64,3.5762786865234375e-07,128,0,True,64347cdbb060c972dd74fcf02c5dbf6decd9ea26f1107b8107375b81214769cb
llama32_3b,B_top1_no_bos,down,4,64,3.5762786865234375e-07,128,0,True,8cd94af4584ab8f300d0b0bcdeccc7dcdb503c4a3e7186737fefddb15a2315ee
llama32_3b,C_top1pct,down,4,64,2.980232238769531e-07,-1,0,True,8651e77e451f39323e1a0801bc126ccb9aff35f414d37738889735276bf5cd4f
llama32_3b,C_top1pct_no_bos,down,4,64,3.5762786865234375e-07,-1,0,True,4e724f81415bd7b908f98166cc685bb81212169d81c3969997a6ec3d113ff69d
llama32_3b,B_top1,down,5,64,3.5762786865234375e-07,128,0,True,5919d6b81631755bcdc8d3b1deaa495152a7c57ac1ddaf7ad1548ba794b5b4fc
llama32_3b,B_top1_no_bos,down,5,64,3.5762786865234375e-07,128,0,True,e7ed1f22e82ff5fbbb64d63f2b95da846015b660642c23491124f8ba3702281b
llama32_3b,C_top1pct,down,5,64,3.5762786865234375e-07,-1,0,True,a24613f341464e8baff00022097a617a2b78d1b694c2d95b242f1b9cc3b378d2
llama32_3b,C_top1pct_no_bos,down,5,64,3.5762786865234375e-07,-1,0,True,ccf5c55b392faf42e07caa64183520dc4f9950273e80231a286131b3d3d9bef2
llama32_3b,B_top1,down,6,64,2.384185791015625e-07,128,0,True,76a3fb62a478fc0a86a65ab03719d40b8cd9cdc50e600a0e8a426776480affa0
llama32_3b,B_top1_no_bos,down,6,64,2.384185791015625e-07,128,0,True,a20c13eb6212114f889ffb0baaea878ebbb81dfea47569ea71074b9a04591120
llama32_3b,C_top1pct,down,6,64,5.960464477539062e-07,-1,0,True,fbd270477bf997f3aa2eb34108fc6253dc6c13742cd453f89b342865c4c225c5
llama32_3b,C_top1pct_no_bos,down,6,64,4.76837158203125e-07,-1,0,True,c0a72aa460d6bfc03a683142d92707cb94a7390a6ebb542b19b1e6f06a5e1d32
llama32_3b,B_top1,down,7,64,2.980232238769531e-07,128,0,True,a25f233db1d71fd4045dee1a6898b4935d2edae5ba728535f472d98f11c69578
llama32_3b,B_top1_no_bos,down,7,64,2.980232238769531e-07,128,0,True,44d8ab3669eee01881416babada25ec121b77f08f5865983cf002243e7898a81
llama32_3b,C_top1pct,down,7,64,3.5762786865234375e-07,-1,0,True,aa67696763fcfef929ca079102d4d522e22507111ed413fcafdfebca855fa662
llama32_3b,C_top1pct_no_bos,down,7,64,3.5762786865234375e-07,-1,0,True,947413e2ebb3e0f2b235edd8541a25d36942182b4890d2e090625424f89c1f5e
llama32_3b,B_top1,down,8,64,2.384185791015625e-07,128,0,True,b369fb0c6393b23c9184f7a5b3fbdc60ca9a7cd5e4071bb378e6c3939020ef53
llama32_3b,B_top1_no_bos,down,8,64,2.384185791015625e-07,128,0,True,5176420a9af5066247806bdd3c63fe21e022b218d54a7f3f8f0f636b8ac27d44
llama32_3b,C_top1pct,down,8,64,2.384185791015625e-07,-1,0,True,5211df3a481593968aed8b7e91572bf4759030daa5d6acb4d21f8ad14165a026
llama32_3b,C_top1pct_no_bos,down,8,64,3.5762786865234375e-07,-1,0,True,b90640e8daa115e03eb1e47c850cb27e7d67eb08a182a83902ce68c75733d50e
llama32_3b,B_top1,down,9,64,3.5762786865234375e-07,128,0,True,baba12154fa00b79a2483417f45bbb97221ca10551ddd0033809a0a828844e50
llama32_3b,B_top1_no_bos,down,9,64,3.5762786865234375e-07,128,0,True,ed6eab8a70214a6048bb5bb079108dfb3596ee701b267b71cc6833aaa2b00858
llama32_3b,C_top1pct,down,9,64,3.5762786865234375e-07,-1,0,True,821ee4932e4413b6512167dfbfe7c73f86ea2e150cecc5bedf5691dda95f6e13
llama32_3b,C_top1pct_no_bos,down,9,64,3.5762786865234375e-07,-1,0,True,77e2ace15e058e96a8754b5911f457c2d31e4ea0f51e5e3249782b07877fcd0e
llama32_3b,B_top1,down,10,64,3.5762786865234375e-07,128,0,True,854c103436b12f7560bbb173daa262a8caa6bb571c66dec7ce6e992b23b3c080
llama32_3b,B_top1_no_bos,down,10,64,3.5762786865234375e-07,128,0,True,8fa1cf2d4c58bf30d0897029b718c12d50dc1020bd69e466e468e273457b7a87
llama32_3b,C_top1pct,down,10,64,2.384185791015625e-07,-1,0,True,30901099e82606f8d86566b9c222c491f5c252b9921602b90b718ab2e6be8f32
llama32_3b,C_top1pct_no_bos,down,10,64,2.384185791015625e-07,-1,0,True,aef0a00f841fbcb62ffab5fc0694f6c53aaf0eed12626736eaaacf4937ecbf4f
llama32_3b,B_top1,down,11,64,2.384185791015625e-07,128,0,True,cf180b23f76c798a8e1040b09406f44295714da374904600fbe4fd2af1336125
