model,model_id,b,seed,method,sequence,nll,tokens_scored,reused_deterministic_run
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,0,1.8216310739517212,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,1,2.422093391418457,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,2,2.4934418201446533,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,3,2.006392478942871,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,4,1.9162824153900146,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,5,1.5415668487548828,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,6,1.658081293106079,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,7,1.9076058864593506,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,8,2.2404816150665283,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,9,1.963624358177185,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,10,1.8902149200439453,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,11,2.2447712421417236,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,12,2.1086490154266357,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,13,2.266572952270508,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,14,2.188810110092163,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,15,2.3954899311065674,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,16,2.1191818714141846,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,17,2.1362526416778564,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,18,1.9429833889007568,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,19,2.1033782958984375,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,20,2.22058367729187,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,21,2.148164749145508,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,22,2.2033169269561768,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,23,2.240523099899292,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,24,2.2721359729766846,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,25,2.328476667404175,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,26,2.415692090988159,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,27,2.2168664932250977,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,28,1.988470435142517,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,29,1.795961618423462,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,30,1.67539381980896,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,31,1.7089183330535889,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,32,2.003620147705078,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,33,1.9721918106079102,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,34,2.149472236633301,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,35,1.469483494758606,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,36,1.4370046854019165,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,37,1.4802957773208618,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,38,1.4637380838394165,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,39,1.6601002216339111,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,40,2.261674404144287,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,41,2.6822218894958496,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,42,2.677302360534668,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,43,2.2998499870300293,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,44,2.2922868728637695,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,45,2.270751714706421,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,46,2.362161159515381,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,47,2.152296543121338,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,48,2.025193929672241,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,49,2.0214173793792725,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,50,1.7352807521820068,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,51,1.8334615230560303,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,52,1.6676701307296753,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,53,1.8950088024139404,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,54,1.6218514442443848,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,55,1.6004024744033813,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,56,1.8132766485214233,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,57,1.796682596206665,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,58,2.1732418537139893,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,59,2.34091854095459,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,60,2.348818778991699,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,61,2.454902172088623,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,62,1.499998688697815,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,bf16,63,1.8961306810379028,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,0,1.855975866317749,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,1,2.441941022872925,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,2,2.515507698059082,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,3,2.0311620235443115,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,4,1.9359360933303833,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,5,1.564179539680481,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,6,1.6852333545684814,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,7,1.9344573020935059,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,8,2.2688095569610596,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,9,1.9931344985961914,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,10,1.9129897356033325,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,11,2.27473521232605,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,12,2.1256237030029297,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,13,2.299345016479492,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,14,2.2185771465301514,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,15,2.4162652492523193,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,16,2.1507885456085205,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,17,2.1540277004241943,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,18,1.9655147790908813,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,19,2.1387155055999756,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,20,2.246730089187622,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,21,2.165900230407715,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,22,2.2243430614471436,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,23,2.2697243690490723,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,24,2.2990262508392334,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,25,2.3480114936828613,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,26,2.4423580169677734,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,27,2.242539882659912,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,28,2.020665168762207,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,29,1.8228554725646973,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,30,1.6980160474777222,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,31,1.7272530794143677,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,32,2.0220870971679688,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,33,1.992224097251892,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,34,2.1727230548858643,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,35,1.4884001016616821,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,36,1.4549806118011475,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,37,1.5037800073623657,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,38,1.4842090606689453,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,39,1.6776540279388428,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,40,2.2760698795318604,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,41,2.7054967880249023,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,42,2.692765712738037,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,43,2.323417901992798,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,44,2.3226873874664307,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,45,2.293682813644409,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,46,2.39170503616333,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,47,2.1682145595550537,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,48,2.050400972366333,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,49,2.0513501167297363,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,50,1.7777278423309326,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,51,1.8456251621246338,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,52,1.6830732822418213,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,53,1.9131982326507568,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,54,1.653434157371521,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,55,1.6143615245819092,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,56,1.8372188806533813,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,57,1.8248989582061768,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,58,2.1947267055511475,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,59,2.370124578475952,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,60,2.380742311477661,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,61,2.492398738861084,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,62,1.5320008993148804,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,identity,63,1.9137680530548096,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,0,1.8272641897201538,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,1,2.437290906906128,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,2,2.5174031257629395,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,3,2.0239827632904053,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,4,1.9361659288406372,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,5,1.5647538900375366,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,6,1.6796972751617432,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,7,1.9355766773223877,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,8,2.2521581649780273,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,9,1.9807777404785156,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,10,1.911137580871582,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,11,2.2667407989501953,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,12,2.122668504714966,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,13,2.2839417457580566,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,14,2.2071242332458496,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,15,2.401691198348999,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,16,2.1393120288848877,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,17,2.1569082736968994,2047,False
