model,index_basis,token_class,chunk,metric,token_count,sum_seed_averaged_effect
llama32_3b,predictor,BOS,0,gain,1,-0.47956116994222003
llama32_3b,predictor,BOS,1,gain,1,-0.5500364303588867
llama32_3b,predictor,BOS,2,gain,1,-0.8052450815836588
llama32_3b,predictor,BOS,3,gain,1,-0.7974325815836588
llama32_3b,predictor,BOS,4,gain,1,0.009859244028727213
llama32_3b,predictor,BOS,5,gain,1,-0.7974325815836588
llama32_3b,predictor,BOS,6,gain,1,-0.18805758158365884
llama32_3b,predictor,BOS,7,gain,1,-0.2401407559712728
llama32_3b,predictor,BOS,8,gain,1,-0.3234739303588867
llama32_3b,predictor,BOS,9,gain,1,-0.7844114303588867
llama32_3b,predictor,BOS,10,gain,1,0.2598594029744466
llama32_3b,predictor,BOS,11,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,12,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,13,gain,1,0.2077759106953939
llama32_3b,predictor,BOS,14,gain,1,-0.10993226369222005
llama32_3b,predictor,BOS,15,gain,1,-0.3130575815836589
llama32_3b,predictor,BOS,16,gain,1,-0.4432655970255534
llama32_3b,predictor,BOS,17,gain,1,-0.4380575815836589
llama32_3b,predictor,BOS,18,gain,1,-0.2401407559712728
llama32_3b,predictor,BOS,19,gain,1,-0.04222424825032552
llama32_3b,predictor,BOS,20,gain,1,-0.03180758158365885
llama32_3b,predictor,BOS,21,gain,1,-0.5995159149169922
llama32_3b,predictor,BOS,22,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,23,gain,1,-0.16722424825032553
llama32_3b,predictor,BOS,24,gain,1,-0.5995159149169922
llama32_3b,predictor,BOS,25,gain,1,-0.47956116994222003
llama32_3b,predictor,BOS,26,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,27,gain,1,-0.6161171595255533
llama32_3b,predictor,BOS,28,gain,1,-0.3443075815836589
llama32_3b,predictor,BOS,29,gain,1,-0.010973930358886719
llama32_3b,predictor,BOS,30,gain,1,0.061942736307779946
llama32_3b,predictor,BOS,31,gain,1,0.12574481964111328
llama32_3b,predictor,BOS,32,gain,1,0.21819273630777994
llama32_3b,predictor,BOS,33,gain,1,0.16350523630777994
llama32_3b,predictor,BOS,34,gain,1,-0.4015992482503255
llama32_3b,predictor,BOS,35,gain,1,-0.7713909149169922
llama32_3b,predictor,BOS,36,gain,1,-0.8026405970255533
llama32_3b,predictor,BOS,37,gain,1,-0.2401407559712728
llama32_3b,predictor,BOS,38,gain,1,0.23902606964111328
llama32_3b,predictor,BOS,39,gain,1,-0.6255575815836588
llama32_3b,predictor,BOS,40,gain,1,-0.005765597025553386
llama32_3b,predictor,BOS,41,gain,1,-0.5213905970255533
llama32_3b,predictor,BOS,42,gain,1,-0.3182659149169922
llama32_3b,predictor,BOS,43,gain,1,-0.7609739303588867
llama32_3b,predictor,BOS,44,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,45,gain,1,-0.5213905970255533
llama32_3b,predictor,BOS,46,gain,1,-0.6161171595255533
llama32_3b,predictor,BOS,47,gain,1,-0.021390914916992188
llama32_3b,predictor,BOS,48,gain,1,-0.4432659149169922
llama32_3b,predictor,BOS,49,gain,1,-0.2557659149169922
llama32_3b,predictor,BOS,50,gain,1,-0.4872109095255534
llama32_3b,predictor,BOS,51,gain,1,-0.05264059702555338
llama32_3b,predictor,BOS,52,gain,1,0.009859244028727213
llama32_3b,predictor,BOS,53,gain,1,-0.6161171595255533
llama32_3b,predictor,BOS,54,gain,1,-0.3182659149169922
llama32_3b,predictor,BOS,55,gain,1,-0.24534924825032553
llama32_3b,predictor,BOS,56,gain,1,-0.36188538869222003
llama32_3b,predictor,BOS,57,gain,1,-0.16462008158365884
llama32_3b,predictor,BOS,58,gain,1,0.04110940297444662
llama32_3b,predictor,BOS,59,gain,1,-0.10342184702555339
llama32_3b,predictor,BOS,60,gain,1,-0.6161171595255533
llama32_3b,predictor,BOS,61,gain,1,-0.47956116994222003
llama32_3b,predictor,BOS,62,gain,1,-0.2505575815836589
llama32_3b,predictor,BOS,63,gain,1,0.17782815297444662
llama32_3b,predictor,BOS,0,offset_spec,1,0.10271485646565755
llama32_3b,predictor,BOS,1,offset_spec,1,-0.06606769561767578
llama32_3b,predictor,BOS,2,offset_spec,1,0.034192403157552086
llama32_3b,predictor,BOS,3,offset_spec,1,0.13054593404134116
llama32_3b,predictor,BOS,4,offset_spec,1,-0.020494937896728516
llama32_3b,predictor,BOS,5,offset_spec,1,0.13054593404134116
llama32_3b,predictor,BOS,6,offset_spec,1,0.2607542673746745
llama32_3b,predictor,BOS,7,offset_spec,1,-0.06216160456339518
llama32_3b,predictor,BOS,8,offset_spec,1,0.09669272104899089
llama32_3b,predictor,BOS,9,offset_spec,1,0.03940105438232422
llama32_3b,predictor,BOS,10,offset_spec,1,-0.09341144561767578
llama32_3b,predictor,BOS,11,offset_spec,1,-0.18390623728434244
llama32_3b,predictor,BOS,12,offset_spec,1,-0.18390623728434244
llama32_3b,predictor,BOS,13,offset_spec,1,0.042005062103271484
llama32_3b,predictor,BOS,14,offset_spec,1,0.07716147104899089
llama32_3b,predictor,BOS,15,offset_spec,1,0.05242093404134115
llama32_3b,predictor,BOS,16,offset_spec,1,-0.07257811228434245
llama32_3b,predictor,BOS,17,offset_spec,1,-0.12987073262532553
llama32_3b,predictor,BOS,18,offset_spec,1,-0.06216160456339518
llama32_3b,predictor,BOS,19,offset_spec,1,0.14617125193277994
llama32_3b,predictor,BOS,20,offset_spec,1,-0.23924573262532553
llama32_3b,predictor,BOS,21,offset_spec,1,0.06804593404134114
llama32_3b,predictor,BOS,22,offset_spec,1,-0.18390623728434244
llama32_3b,predictor,BOS,23,offset_spec,1,0.10971260070800781
llama32_3b,predictor,BOS,24,offset_spec,1,0.06804593404134114
llama32_3b,predictor,BOS,25,offset_spec,1,0.10271485646565755
llama32_3b,predictor,BOS,26,offset_spec,1,-0.18390623728434244
llama32_3b,predictor,BOS,27,offset_spec,1,-0.020983060201009113
llama32_3b,predictor,BOS,28,offset_spec,1,-0.05174573262532552
llama32_3b,predictor,BOS,29,offset_spec,1,-0.07257811228434245
llama32_3b,predictor,BOS,30,offset_spec,1,0.07065105438232422
