model,row,seed,source_row,source_sha256,source_fp32_nll_sha256,replay_fp32_nll_sha256,chunks,all_bit_identical
llama32_3b,Q1_asym,0,Q1_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,888fc51f5a387cb981bd1e8514b3e6e7c6aced27063f5a0df19eba0f16d69428,888fc51f5a387cb981bd1e8514b3e6e7c6aced27063f5a0df19eba0f16d69428,64,True
llama32_3b,Q1_asym,1,Q1_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,1ee9ad50e859e2a5cbb3ba57595c78998b10ee3994889dc85fe2dace2c0d6cfa,1ee9ad50e859e2a5cbb3ba57595c78998b10ee3994889dc85fe2dace2c0d6cfa,64,True
llama32_3b,Q1_asym,2,Q1_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,7829d0b5d468ae6038951f5971528f28705476f876e47e774bd1b1da33f53cb2,7829d0b5d468ae6038951f5971528f28705476f876e47e774bd1b1da33f53cb2,64,True
llama32_3b,Had_asym,0,Q1_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,a2a33608bbc57bb0e15983ad3fd2c2913418ea15d80b40d5c4826e539e614027,a2a33608bbc57bb0e15983ad3fd2c2913418ea15d80b40d5c4826e539e614027,64,True
llama32_3b,Had_asym,1,Q1_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,e2950b0c46387c80acb8dc2074d18b3c72a3a6cb050aabdbd8e3b6130e75c0da,e2950b0c46387c80acb8dc2074d18b3c72a3a6cb050aabdbd8e3b6130e75c0da,64,True
llama32_3b,Had_asym,2,Q1_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,d7d2c0ed7e44cab80237cf3274f057ef131e109343106de5c4cab71936684217,d7d2c0ed7e44cab80237cf3274f057ef131e109343106de5c4cab71936684217,64,True
llama32_3b,Q1_sym,0,Q2_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,1b9434df75876874cc26fb5b651595776220a2ac24ab645e59728fdfb7b65e75,1b9434df75876874cc26fb5b651595776220a2ac24ab645e59728fdfb7b65e75,64,True
llama32_3b,Q1_sym,1,Q2_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,7579002a1ef08871a71c4d266b0f04b4da48622c4018d04dfffbe02605f0d11d,7579002a1ef08871a71c4d266b0f04b4da48622c4018d04dfffbe02605f0d11d,64,True
llama32_3b,Q1_sym,2,Q2_pq,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,84f37dac214161e4c711cd986751086530c2b038a07fff432b2b772f1da5ddaa,84f37dac214161e4c711cd986751086530c2b038a07fff432b2b772f1da5ddaa,64,True
llama32_3b,Had_sym,0,Q2_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,cf5a8c8b0ac95bf703f4eb5ffb95a315127874cd67b66c84d96ed4c353fba2cb,cf5a8c8b0ac95bf703f4eb5ffb95a315127874cd67b66c84d96ed4c353fba2cb,64,True
llama32_3b,Had_sym,1,Q2_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,2189cbc8cc185fa09432ebd0ac43ddb70ec57aa05a1ed56c9cd1b7fc5994d4a6,2189cbc8cc185fa09432ebd0ac43ddb70ec57aa05a1ed56c9cd1b7fc5994d4a6,64,True
llama32_3b,Had_sym,2,Q2_hadamard,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59,6ed20da9258437305f643745b695f1ef5565332896a1d2daf4510e4e8e10b127,6ed20da9258437305f643745b695f1ef5565332896a1d2daf4510e4e8e10b127,64,True
