model,site,layer,dc_energy,total_energy,dc_share,rotation_seed,samples
llama32_3b,qkv,0,3907240.1724527045,6752017.249287727,0.5786774571502881,0,131072
llama32_3b,qkv,1,12093482.351808317,20380407.396746594,0.5933876647499622,0,131072
llama32_3b,qkv,2,27115886.184057124,68069987.2469491,0.3983530375242204,0,131072
llama32_3b,qkv,3,17607122.34577185,48991218.88565289,0.35939343307353605,0,131072
llama32_3b,qkv,4,18861536.97998269,46721284.59724146,0.4037033044484466,0,131072
llama32_3b,qkv,5,22329000.25348134,64178110.83561594,0.34792236734225834,0,131072
llama32_3b,qkv,6,21092026.730074275,57194952.39178071,0.36877426849830436,0,131072
llama32_3b,qkv,7,19037418.151304003,53361879.695028305,0.35676063624643467,0,131072
llama32_3b,qkv,8,25365501.941839315,66640785.17788689,0.38063029830951384,0,131072
llama32_3b,qkv,9,25472177.942559563,66681426.52721524,0.3819980955590893,0,131072
llama32_3b,qkv,10,27890033.341697965,71370912.88227426,0.3907759087753627,0,131072
llama32_3b,qkv,11,21469551.256970905,58499174.54333038,0.36700605477891646,0,131072
llama32_3b,qkv,12,34478340.44763201,84072816.01084688,0.4101009349226948,0,131072
llama32_3b,qkv,13,35632668.33948268,86670835.68477575,0.41112639630105435,0,131072
llama32_3b,qkv,14,30182441.842284482,79935820.52576138,0.3775834368592915,0,131072
llama32_3b,qkv,15,33774391.96190815,87438662.37179025,0.3862638224987823,0,131072
llama32_3b,qkv,16,32838066.8838534,89462306.8820457,0.36706036350202487,0,131072
llama32_3b,qkv,17,30928130.402306747,88768236.41145706,0.3484143839351408,0,131072
llama32_3b,qkv,18,37541596.49790159,100809729.35715829,0.3724005285729481,0,131072
llama32_3b,qkv,19,32439090.61427363,92641911.32744977,0.35015567089948346,0,131072
llama32_3b,qkv,20,34736730.42919807,97241292.63401504,0.35722201431377465,0,131072
llama32_3b,qkv,21,36589972.89935747,101099991.88254929,0.36191865318708505,0,131072
llama32_3b,qkv,22,34256224.17152919,97217533.75037418,0.3523667269680901,0,131072
llama32_3b,qkv,23,35943800.69623813,97072155.36060749,0.37027920687155524,0,131072
llama32_3b,qkv,24,39075591.46292168,109990670.87900425,0.3552627795670686,0,131072
llama32_3b,qkv,25,33786599.765641816,102401589.70746876,0.3299421411538649,0,131072
llama32_3b,qkv,26,34498862.439367354,99000050.13653119,0.34847318149627093,0,131072
llama32_3b,qkv,27,26407573.177277353,78452450.8308721,0.3366060957637491,0,131072
llama32_3b,down,0,76245.27587930391,233979.83309269891,0.3258625962396375,0,131072
llama32_3b,down,1,16017058.117097333,16233267.390654203,0.9866810994759228,0,131072
llama32_3b,down,2,131993.82794970792,593375.3165040208,0.22244576792875997,0,131072
llama32_3b,down,3,207477.96360120995,1004222.5298457743,0.2066055654348582,0,131072
llama32_3b,down,4,276610.06957631506,1513868.9235614676,0.18271731803938035,0,131072
llama32_3b,down,5,368980.6704372122,1942107.2624686356,0.18998985152251402,0,131072
llama32_3b,down,6,464412.79188712814,2261159.81461937,0.2053869827707444,0,131072
llama32_3b,down,7,452956.95867473976,2314094.271793819,0.19573833451634648,0,131072
llama32_3b,down,8,462089.78198887256,2408778.9618717344,0.19183569323015306,0,131072
llama32_3b,down,9,507804.5284388652,2476205.3861204013,0.2050736709019395,0,131072
llama32_3b,down,10,614145.4760067549,2689220.5055144774,0.228373045180712,0,131072
llama32_3b,down,11,597002.8104780271,2822954.1301975753,0.21148158381030568,0,131072
llama32_3b,down,12,799867.6829971715,3348726.027888811,0.23885730762556423,0,131072
llama32_3b,down,13,918606.499298768,3942827.416047586,0.2329816657863275,0,131072
llama32_3b,down,14,1221385.1847659915,5191648.251968702,0.23525961804188783,0,131072
llama32_3b,down,15,1446184.006183244,5771325.273469466,0.2505809216526557,0,131072
llama32_3b,down,16,1366144.5574640457,5672171.820424492,0.24085034810560565,0,131072
llama32_3b,down,17,1391839.6017004605,5919325.215609121,0.23513484240234211,0,131072
llama32_3b,down,18,1399588.6048666683,6148115.7830302,0.22764512807806267,0,131072
llama32_3b,down,19,2239561.964781876,8184354.003470656,0.27363943004324687,0,131072
llama32_3b,down,20,1902489.0043024796,7814374.939767684,0.2434601639883739,0,131072
llama32_3b,down,21,2087469.5817983195,8268381.621888073,0.25246410691450993,0,131072
llama32_3b,down,22,2344962.3945779977,9096602.112288475,0.25778443045345695,0,131072
llama32_3b,down,23,3390698.3410296342,11335684.664033541,0.2991172074314859,0,131072
llama32_3b,down,24,5295149.799534301,14948660.087758094,0.3542223696604526,0,131072
llama32_3b,down,25,10123621.653677762,22799772.022114854,0.44402293338101184,0,131072
llama32_3b,down,26,18098200.622219272,36331525.8456481,0.49814039462884624,0,131072
llama32_3b,down,27,102190154.88084246,144402902.8289745,0.7076738270412246,0,131072
