model,chunk,input_position,token_id,token_class,residual_linf,selected_layer,has_scored_next_token
llama32_3b,0,0,128000,BOS,6.8125,1,True
llama32_3b,0,2,8563,massive,0.8515625,1,True
llama32_3b,0,8,8563,massive,0.75,1,True
llama32_3b,0,102,29517,massive,0.71484375,1,True
llama32_3b,0,144,26241,massive,0.7265625,1,True
llama32_3b,0,172,3842,massive,0.796875,1,True
llama32_3b,0,177,7505,massive,0.76171875,1,True
llama32_3b,0,618,29517,massive,0.70703125,1,True
llama32_3b,0,666,26241,massive,0.734375,1,True
llama32_3b,0,695,3842,massive,0.765625,1,True
llama32_3b,0,700,7505,massive,0.75,1,True
llama32_3b,0,747,7505,massive,0.7578125,1,True
llama32_3b,0,769,8563,massive,0.78125,1,True
llama32_3b,0,788,7505,massive,0.74609375,1,True
llama32_3b,0,793,8563,massive,0.703125,1,True
llama32_3b,0,868,7505,massive,0.734375,1,True
llama32_3b,0,895,8563,massive,0.78125,1,True
llama32_3b,0,959,12656,massive,0.78515625,1,True
llama32_3b,0,1011,15274,massive,0.80078125,1,True
llama32_3b,0,1016,8563,massive,0.7734375,1,True
llama32_3b,0,1028,12656,massive,0.7265625,1,True
llama32_3b,0,1073,26044,massive,0.828125,1,True
llama32_3b,0,1086,18747,massive,0.69921875,1,True
llama32_3b,0,1152,34221,massive,0.71484375,1,True
llama32_3b,0,1633,12656,massive,0.734375,1,True
llama32_3b,1,0,128000,BOS,6.8125,1,True
llama32_3b,1,171,6941,massive,0.703125,1,True
llama32_3b,2,0,128000,BOS,6.8125,1,True
llama32_3b,2,1403,49498,massive,0.69921875,1,True
llama32_3b,3,0,128000,BOS,6.8125,1,True
llama32_3b,3,302,49498,massive,0.75390625,1,True
llama32_3b,3,1540,13678,massive,0.78125,1,True
llama32_3b,3,1654,11517,massive,0.71875,1,True
llama32_3b,3,1704,8563,massive,0.7734375,1,True
llama32_3b,3,1801,11517,massive,0.75,1,True
llama32_3b,4,0,128000,BOS,6.8125,1,True
llama32_3b,4,825,45557,massive,0.75,1,True
llama32_3b,5,0,128000,BOS,6.8125,1,True
llama32_3b,6,0,128000,BOS,6.8125,1,True
llama32_3b,7,0,128000,BOS,6.8125,1,True
llama32_3b,7,1212,7043,massive,0.7578125,1,True
llama32_3b,8,0,128000,BOS,6.8125,1,True
llama32_3b,8,2019,12131,massive,0.75,1,True
llama32_3b,9,0,128000,BOS,6.8125,1,True
llama32_3b,10,0,128000,BOS,6.8125,1,True
llama32_3b,10,26,30390,massive,0.6953125,1,True
llama32_3b,10,329,32608,massive,0.7421875,1,True
llama32_3b,10,1720,7957,massive,0.75,1,True
llama32_3b,11,0,128000,BOS,6.8125,1,True
llama32_3b,12,0,128000,BOS,6.8125,1,True
llama32_3b,13,0,128000,BOS,6.8125,1,True
llama32_3b,14,0,128000,BOS,6.8125,1,True
llama32_3b,15,0,128000,BOS,6.8125,1,True
llama32_3b,16,0,128000,BOS,6.8125,1,True
llama32_3b,16,1626,31033,massive,0.6953125,1,True
llama32_3b,17,0,128000,BOS,6.8125,1,True
llama32_3b,18,0,128000,BOS,6.8125,1,True
llama32_3b,18,802,16431,massive,0.703125,1,True
llama32_3b,18,1034,35336,massive,0.7265625,1,True
llama32_3b,18,1271,16431,massive,0.7578125,1,True
llama32_3b,18,1274,16431,massive,0.73046875,1,True
llama32_3b,18,1376,7505,massive,0.73828125,1,True
llama32_3b,18,1398,32608,massive,0.78515625,1,True
llama32_3b,18,1476,26035,massive,0.73828125,1,True
llama32_3b,19,0,128000,BOS,6.8125,1,True
llama32_3b,20,0,128000,BOS,6.8125,1,True
llama32_3b,20,370,3842,massive,0.75,1,True
llama32_3b,20,817,7957,massive,0.7421875,1,True
llama32_3b,21,0,128000,BOS,6.8125,1,True
llama32_3b,22,0,128000,BOS,6.8125,1,True
llama32_3b,22,305,3842,massive,0.6953125,1,True
llama32_3b,22,343,16645,massive,0.7734375,1,True
llama32_3b,22,441,16645,massive,0.7421875,1,True
llama32_3b,23,0,128000,BOS,6.8125,1,True
llama32_3b,24,0,128000,BOS,6.8125,1,True
llama32_3b,25,0,128000,BOS,6.8125,1,True
llama32_3b,26,0,128000,BOS,6.8125,1,True
llama32_3b,26,448,3842,massive,0.7734375,1,True
llama32_3b,26,1212,3842,massive,0.7109375,1,True
llama32_3b,26,1476,3842,massive,0.69921875,1,True
llama32_3b,27,0,128000,BOS,6.8125,1,True
llama32_3b,27,18,3441,massive,0.6953125,1,True
llama32_3b,27,67,22021,massive,0.69921875,1,True
llama32_3b,27,126,3842,massive,0.75390625,1,True
llama32_3b,27,185,4488,massive,0.703125,1,True
llama32_3b,27,190,3842,massive,0.78125,1,True
llama32_3b,27,252,26035,massive,0.7109375,1,True
llama32_3b,28,0,128000,BOS,6.8125,1,True
llama32_3b,29,0,128000,BOS,6.8125,1,True
llama32_3b,30,0,128000,BOS,6.8125,1,True
llama32_3b,31,0,128000,BOS,6.8125,1,True
llama32_3b,32,0,128000,BOS,6.8125,1,True
llama32_3b,33,0,128000,BOS,6.8125,1,True
llama32_3b,33,523,12656,massive,0.71875,1,True
llama32_3b,33,534,12656,massive,0.69921875,1,True
llama32_3b,33,678,12656,massive,0.70703125,1,True
llama32_3b,33,741,12656,massive,0.6953125,1,True
llama32_3b,33,952,3842,massive,0.70703125,1,True
llama32_3b,33,987,3842,massive,0.7109375,1,True
llama32_3b,33,1237,12656,massive,0.72265625,1,True
llama32_3b,34,0,128000,BOS,6.8125,1,True
llama32_3b,35,0,128000,BOS,6.8125,1,True
llama32_3b,35,532,11291,massive,0.7265625,1,True
llama32_3b,35,946,8563,massive,0.75,1,True
llama32_3b,35,1257,7505,massive,0.71875,1,True
llama32_3b,35,1299,11291,massive,0.73828125,1,True
llama32_3b,35,1311,11291,massive,0.75,1,True
llama32_3b,36,0,128000,BOS,6.8125,1,True
llama32_3b,36,165,25871,massive,0.72265625,1,True
llama32_3b,36,287,7505,massive,0.734375,1,True
llama32_3b,36,1089,19475,massive,0.765625,1,True
llama32_3b,36,1494,25871,massive,0.69921875,1,True
llama32_3b,36,1658,26044,massive,0.7421875,1,True
llama32_3b,37,0,128000,BOS,6.8125,1,True
llama32_3b,37,613,26757,massive,0.72265625,1,True
llama32_3b,37,648,13678,massive,0.71484375,1,True
llama32_3b,37,933,12149,massive,0.76171875,1,True
llama32_3b,37,1182,13678,massive,0.75,1,True
llama32_3b,38,0,128000,BOS,6.8125,1,True
llama32_3b,38,241,43423,massive,0.70703125,1,True
llama32_3b,38,659,16431,massive,0.70703125,1,True
llama32_3b,38,1949,13678,massive,0.71875,1,True
llama32_3b,39,0,128000,BOS,6.8125,1,True
llama32_3b,39,1720,19475,massive,0.796875,1,True
llama32_3b,40,0,128000,BOS,6.8125,1,True
llama32_3b,40,1183,15274,massive,0.7578125,1,True
llama32_3b,40,1710,15274,massive,0.7109375,1,True
llama32_3b,41,0,128000,BOS,6.8125,1,True
llama32_3b,41,27,3842,massive,0.7734375,1,True
llama32_3b,41,143,6941,massive,0.7421875,1,True
llama32_3b,42,0,128000,BOS,6.8125,1,True
llama32_3b,42,1501,8096,massive,0.71875,1,True
llama32_3b,43,0,128000,BOS,6.8125,1,True
llama32_3b,43,492,12656,massive,0.7109375,1,True
llama32_3b,43,626,8563,massive,0.75390625,1,True
llama32_3b,43,654,12656,massive,0.7265625,1,True
llama32_3b,43,1000,12656,massive,0.71875,1,True
llama32_3b,43,1463,12656,massive,0.76171875,1,True
llama32_3b,44,0,128000,BOS,6.8125,1,True
llama32_3b,44,414,7957,massive,0.73046875,1,True
llama32_3b,44,445,12656,massive,0.8046875,1,True
llama32_3b,44,1193,3842,massive,0.7109375,1,True
llama32_3b,44,1553,12656,massive,0.75390625,1,True
llama32_3b,44,1662,12131,massive,0.75,1,True
llama32_3b,45,0,128000,BOS,6.8125,1,True
llama32_3b,45,65,15274,massive,0.78125,1,True
llama32_3b,45,137,12656,massive,0.765625,1,True
llama32_3b,45,256,7957,massive,0.8046875,1,True
llama32_3b,45,614,7957,massive,0.76171875,1,True
llama32_3b,46,0,128000,BOS,6.8125,1,True
llama32_3b,47,0,128000,BOS,6.8125,1,True
llama32_3b,48,0,128000,BOS,6.8125,1,True
llama32_3b,48,549,19475,massive,0.83984375,1,True
llama32_3b,48,641,7043,massive,0.7421875,1,True
llama32_3b,48,1862,18984,massive,0.6953125,1,True
llama32_3b,49,0,128000,BOS,6.8125,1,True
llama32_3b,49,6,8529,massive,0.80859375,1,True
llama32_3b,49,1322,8563,massive,0.7578125,1,True
llama32_3b,49,1642,64120,massive,0.71875,1,True
llama32_3b,49,1681,12565,massive,0.71484375,1,True
llama32_3b,50,0,128000,BOS,6.8125,1,True
llama32_3b,50,579,6941,massive,0.7578125,1,True
llama32_3b,51,0,128000,BOS,6.8125,1,True
llama32_3b,52,0,128000,BOS,6.8125,1,True
llama32_3b,53,0,128000,BOS,6.8125,1,True
llama32_3b,54,0,128000,BOS,6.8125,1,True
llama32_3b,55,0,128000,BOS,6.8125,1,True
llama32_3b,55,1228,11220,massive,0.6953125,1,True
llama32_3b,56,0,128000,BOS,6.8125,1,True
llama32_3b,57,0,128000,BOS,6.8125,1,True
llama32_3b,58,0,128000,BOS,6.8125,1,True
llama32_3b,58,1550,15274,massive,0.76171875,1,True
llama32_3b,59,0,128000,BOS,6.8125,1,True
llama32_3b,59,502,8096,massive,0.76171875,1,True
llama32_3b,59,725,12131,massive,0.71875,1,True
llama32_3b,60,0,128000,BOS,6.8125,1,True
llama32_3b,60,289,15274,massive,0.7421875,1,True
llama32_3b,61,0,128000,BOS,6.8125,1,True
llama32_3b,61,779,15274,massive,0.71875,1,True
llama32_3b,61,1153,8096,massive,0.72265625,1,True
llama32_3b,61,1755,3842,massive,0.6953125,1,True
llama32_3b,62,0,128000,BOS,6.8125,1,True
