model,row,seed,site,layer,round_trip,anchor_residual
llama32_3b,Had_asym,0,qkv,0,1.4712227880409046e-07,0.0
llama32_3b,Had_asym,0,qkv,1,1.4791392288771021e-07,0.0
llama32_3b,Had_asym,0,qkv,2,1.4612736265462445e-07,0.0
llama32_3b,Had_asym,0,qkv,3,1.4560995964529866e-07,0.0
llama32_3b,Had_asym,0,qkv,4,1.4736338016518857e-07,0.0
llama32_3b,Had_asym,0,qkv,5,1.4651550372946076e-07,0.0
llama32_3b,Had_asym,0,qkv,6,1.4668684400476195e-07,0.0
llama32_3b,Had_asym,0,qkv,7,1.4724022889822663e-07,0.0
llama32_3b,Had_asym,0,qkv,8,1.4575148554740736e-07,0.0
llama32_3b,Had_asym,0,qkv,9,1.474005983936877e-07,0.0
llama32_3b,Had_asym,0,qkv,10,1.4613350174386142e-07,0.0
llama32_3b,Had_asym,0,qkv,11,1.4676336945740331e-07,0.0
llama32_3b,Had_asym,0,qkv,12,1.467318639924997e-07,0.0
llama32_3b,Had_asym,0,qkv,13,1.4748620458249206e-07,0.0
llama32_3b,Had_asym,0,qkv,14,1.4711899609665124e-07,0.0
llama32_3b,Had_asym,0,qkv,15,1.4624578170696623e-07,0.0
llama32_3b,Had_asym,0,qkv,16,1.458370633145023e-07,0.0
llama32_3b,Had_asym,0,qkv,17,1.480342177728744e-07,0.0
llama32_3b,Had_asym,0,qkv,18,1.4765866751531576e-07,0.0
llama32_3b,Had_asym,0,qkv,19,1.4626478161972045e-07,0.0
llama32_3b,Had_asym,0,qkv,20,1.4693532079945726e-07,0.0
llama32_3b,Had_asym,0,qkv,21,1.4686686711229413e-07,0.0
llama32_3b,Had_asym,0,qkv,22,1.4667129732970352e-07,0.0
llama32_3b,Had_asym,0,qkv,23,1.464111107907229e-07,0.0
llama32_3b,Had_asym,0,qkv,24,1.4677088699954766e-07,0.0
llama32_3b,Had_asym,0,qkv,25,1.4666990466594143e-07,0.0
llama32_3b,Had_asym,0,qkv,26,1.4699945438678697e-07,0.0
llama32_3b,Had_asym,0,qkv,27,1.4737551623511536e-07,0.0
llama32_3b,Had_asym,0,down,0,1.4779942603126983e-07,0.0
llama32_3b,Had_asym,0,down,1,1.4707467244079453e-07,0.0
llama32_3b,Had_asym,0,down,2,1.4705143769333517e-07,0.0
llama32_3b,Had_asym,0,down,3,1.4772565748444322e-07,0.0
llama32_3b,Had_asym,0,down,4,1.4794305513987638e-07,0.0
llama32_3b,Had_asym,0,down,5,1.486013729845581e-07,0.0
llama32_3b,Had_asym,0,down,6,1.482410993958183e-07,0.0
llama32_3b,Had_asym,0,down,7,1.4780535195768607e-07,0.0
llama32_3b,Had_asym,0,down,8,1.4834786554729362e-07,0.0
llama32_3b,Had_asym,0,down,9,1.4859260488719883e-07,0.0
llama32_3b,Had_asym,0,down,10,1.4780829360461212e-07,0.0
llama32_3b,Had_asym,0,down,11,1.4714686358274776e-07,0.0
llama32_3b,Had_asym,0,down,12,1.476697377711389e-07,0.0
llama32_3b,Had_asym,0,down,13,1.4712725260324078e-07,0.0
llama32_3b,Had_asym,0,down,14,1.474954842706211e-07,0.0
llama32_3b,Had_asym,0,down,15,1.477548039474641e-07,0.0
llama32_3b,Had_asym,0,down,16,1.4770579070955137e-07,0.0
llama32_3b,Had_asym,0,down,17,1.479621403177589e-07,0.0
llama32_3b,Had_asym,0,down,18,1.470066735009823e-07,0.0
llama32_3b,Had_asym,0,down,19,1.4767677214422292e-07,0.0
llama32_3b,Had_asym,0,down,20,1.468014971806042e-07,0.0
llama32_3b,Had_asym,0,down,21,1.4792584579481627e-07,0.0
llama32_3b,Had_asym,0,down,22,1.4788541591315152e-07,0.0
llama32_3b,Had_asym,0,down,23,1.4841512552266067e-07,0.0
llama32_3b,Had_asym,0,down,24,1.4813926441092917e-07,0.0
llama32_3b,Had_asym,0,down,25,1.4819272564636776e-07,0.0
llama32_3b,Had_asym,0,down,26,1.476099953379162e-07,0.0
llama32_3b,Had_asym,0,down,27,1.4679370963222027e-07,0.0
llama32_3b,Had_sym,0,qkv,0,1.4712227880409046e-07,0.0
llama32_3b,Had_sym,0,qkv,1,1.4791392288771021e-07,0.0
llama32_3b,Had_sym,0,qkv,2,1.4612736265462445e-07,0.0
llama32_3b,Had_sym,0,qkv,3,1.4560995964529866e-07,0.0
llama32_3b,Had_sym,0,qkv,4,1.4736338016518857e-07,0.0
llama32_3b,Had_sym,0,qkv,5,1.4651550372946076e-07,0.0
llama32_3b,Had_sym,0,qkv,6,1.4668684400476195e-07,0.0
llama32_3b,Had_sym,0,qkv,7,1.4724022889822663e-07,0.0
llama32_3b,Had_sym,0,qkv,8,1.4575148554740736e-07,0.0
llama32_3b,Had_sym,0,qkv,9,1.474005983936877e-07,0.0
llama32_3b,Had_sym,0,qkv,10,1.4613350174386142e-07,0.0
llama32_3b,Had_sym,0,qkv,11,1.4676336945740331e-07,0.0
llama32_3b,Had_sym,0,qkv,12,1.467318639924997e-07,0.0
llama32_3b,Had_sym,0,qkv,13,1.4748620458249206e-07,0.0
llama32_3b,Had_sym,0,qkv,14,1.4711899609665124e-07,0.0
llama32_3b,Had_sym,0,qkv,15,1.4624578170696623e-07,0.0
llama32_3b,Had_sym,0,qkv,16,1.458370633145023e-07,0.0
llama32_3b,Had_sym,0,qkv,17,1.480342177728744e-07,0.0
llama32_3b,Had_sym,0,qkv,18,1.4765866751531576e-07,0.0
llama32_3b,Had_sym,0,qkv,19,1.4626478161972045e-07,0.0
llama32_3b,Had_sym,0,qkv,20,1.4693532079945726e-07,0.0
llama32_3b,Had_sym,0,qkv,21,1.4686686711229413e-07,0.0
llama32_3b,Had_sym,0,qkv,22,1.4667129732970352e-07,0.0
llama32_3b,Had_sym,0,qkv,23,1.464111107907229e-07,0.0
llama32_3b,Had_sym,0,qkv,24,1.4677088699954766e-07,0.0
llama32_3b,Had_sym,0,qkv,25,1.4666990466594143e-07,0.0
llama32_3b,Had_sym,0,qkv,26,1.4699945438678697e-07,0.0
llama32_3b,Had_sym,0,qkv,27,1.4737551623511536e-07,0.0
llama32_3b,Had_sym,0,down,0,1.4779942603126983e-07,0.0
llama32_3b,Had_sym,0,down,1,1.4707467244079453e-07,0.0
llama32_3b,Had_sym,0,down,2,1.4705143769333517e-07,0.0
llama32_3b,Had_sym,0,down,3,1.4772565748444322e-07,0.0
llama32_3b,Had_sym,0,down,4,1.4794305513987638e-07,0.0
llama32_3b,Had_sym,0,down,5,1.486013729845581e-07,0.0
llama32_3b,Had_sym,0,down,6,1.482410993958183e-07,0.0
llama32_3b,Had_sym,0,down,7,1.4780535195768607e-07,0.0
llama32_3b,Had_sym,0,down,8,1.4834786554729362e-07,0.0
llama32_3b,Had_sym,0,down,9,1.4859260488719883e-07,0.0
llama32_3b,Had_sym,0,down,10,1.4780829360461212e-07,0.0
llama32_3b,Had_sym,0,down,11,1.4714686358274776e-07,0.0
llama32_3b,Had_sym,0,down,12,1.476697377711389e-07,0.0
llama32_3b,Had_sym,0,down,13,1.4712725260324078e-07,0.0
llama32_3b,Had_sym,0,down,14,1.474954842706211e-07,0.0
llama32_3b,Had_sym,0,down,15,1.477548039474641e-07,0.0
llama32_3b,Had_sym,0,down,16,1.4770579070955137e-07,0.0
llama32_3b,Had_sym,0,down,17,1.479621403177589e-07,0.0
llama32_3b,Had_sym,0,down,18,1.470066735009823e-07,0.0
llama32_3b,Had_sym,0,down,19,1.4767677214422292e-07,0.0
llama32_3b,Had_sym,0,down,20,1.468014971806042e-07,0.0
llama32_3b,Had_sym,0,down,21,1.4792584579481627e-07,0.0
llama32_3b,Had_sym,0,down,22,1.4788541591315152e-07,0.0
llama32_3b,Had_sym,0,down,23,1.4841512552266067e-07,0.0
llama32_3b,Had_sym,0,down,24,1.4813926441092917e-07,0.0
llama32_3b,Had_sym,0,down,25,1.4819272564636776e-07,0.0
llama32_3b,Had_sym,0,down,26,1.476099953379162e-07,0.0
llama32_3b,Had_sym,0,down,27,1.4679370963222027e-07,0.0
llama32_3b,M1_had_asym,0,qkv,0,1.4712227880409046e-07,0.0
llama32_3b,M1_had_asym,0,qkv,1,1.4791392288771021e-07,0.0
llama32_3b,M1_had_asym,0,qkv,2,1.4612736265462445e-07,0.0
llama32_3b,M1_had_asym,0,qkv,3,1.4560995964529866e-07,0.0
llama32_3b,M1_had_asym,0,qkv,4,1.4736338016518857e-07,0.0
llama32_3b,M1_had_asym,0,qkv,5,1.4651550372946076e-07,0.0
llama32_3b,M1_had_asym,0,qkv,6,1.4668684400476195e-07,0.0
llama32_3b,M1_had_asym,0,qkv,7,1.4724022889822663e-07,0.0
llama32_3b,M1_had_asym,0,qkv,8,1.4575148554740736e-07,0.0
llama32_3b,M1_had_asym,0,qkv,9,1.474005983936877e-07,0.0
