model,row,quantizer,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,0,anchor,131072,0.050472243362449376,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,1,anchor,131072,0.04795652770257064,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,2,anchor,131072,0.049159090956983675,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,3,anchor,131072,0.04743643431112332,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,4,anchor,131072,0.04917592744439858,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,5,anchor,131072,0.0488475186078432,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,6,anchor,131072,0.04885745241877615,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,7,anchor,131072,0.04901648410222492,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,8,anchor,131072,0.048514980968548116,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,9,anchor,131072,0.04865345032988344,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,10,anchor,131072,0.05055555972124992,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,11,anchor,131072,0.048602237529337344,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,12,anchor,131072,0.04758618495379352,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,13,anchor,131072,0.049961750431897656,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,14,anchor,131072,0.04812405458656599,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,15,anchor,131072,0.049253014353890734,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,16,anchor,131072,0.048077539858006446,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,17,anchor,131072,0.0483355355509012,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,18,anchor,131072,0.04929561777199609,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,19,anchor,131072,0.048995665191679194,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,20,anchor,131072,0.05003719062110079,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,21,anchor,131072,0.04936782925931027,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,22,anchor,131072,0.05007035385168024,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,23,anchor,131072,0.04949995478515845,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,24,anchor,131072,0.04896320303783597,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,25,anchor,131072,0.05144625937718317,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,26,anchor,131072,0.0486859737462062,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,27,anchor,131072,0.04833655079250576,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,0,28,anchor,131072,0.049630802047669675,common_unquantized_bf16_forward
