model,row,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1_asym,0,down,0,0,anchor,131072,0.05044446604931352,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,1,anchor,131072,0.04794265937844955,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,2,anchor,131072,0.04911826717048484,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,3,anchor,131072,0.04744406131363377,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,4,anchor,131072,0.049228141068368814,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,5,anchor,131072,0.048794712890924075,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,6,anchor,131072,0.04896371185770931,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,7,anchor,131072,0.04899402032021882,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,8,anchor,131072,0.048459999729558945,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,9,anchor,131072,0.04865389276001508,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,10,anchor,131072,0.05054938114049179,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,11,anchor,131072,0.048576544487687556,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,12,anchor,131072,0.04759923520694542,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,13,anchor,131072,0.049995589904561655,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,14,anchor,131072,0.04805435075912001,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,15,anchor,131072,0.049264192167495224,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,16,anchor,131072,0.048022283682886524,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,17,anchor,131072,0.04834246376323037,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,18,anchor,131072,0.04933255493046218,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,19,anchor,131072,0.04905123465493233,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,20,anchor,131072,0.05006774394989577,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,21,anchor,131072,0.04946017806655334,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,22,anchor,131072,0.05008388731246782,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,23,anchor,131072,0.049482855435382334,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,24,anchor,131072,0.048945233193400384,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,25,anchor,131072,0.05141865250654831,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,26,anchor,131072,0.04860879082833236,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,27,anchor,131072,0.04835411451394478,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,28,anchor,131072,0.04960663638263796,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,29,anchor,131072,0.04898670853548026,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,30,anchor,131072,0.050610536236131765,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,31,anchor,131072,0.04986933221494283,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,32,anchor,131072,0.05166639922285654,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,33,anchor,131072,0.0491520597668611,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,34,anchor,131072,0.04834105515806186,actual_quantized_forward
llama32_3b,Q1_asym,0,down,0,35,anchor,131072,0.04995568009045215,actual_quantized_forward
