model,seed,site,layer,column,selected_directions,group_count,other_groups,changed_target_coordinates,unchanged_G,unchanged_source_order,unchanged_D,original_target_sha256,new_target_sha256,D_sha256,column_sign_transitions,column_crest_factor
llama32_3b,0,qkv,0,0,24,24,0,0,True,True,True,5abf485a3546fed9ee3f54f4b4ce98c90807fc9150a6d5a790c102da8bd54208,5abf485a3546fed9ee3f54f4b4ce98c90807fc9150a6d5a790c102da8bd54208,edb24a012704b1fceb3cab3fe6b39406e03536c1881b173e4679610b45e21afa,0,1.0
llama32_3b,0,qkv,1,0,24,24,0,0,True,True,True,3f3bb807eddb3a71734ae1a3e9a1b6ef3cae0e471ca72ca7b69c1f02d3e45e84,3f3bb807eddb3a71734ae1a3e9a1b6ef3cae0e471ca72ca7b69c1f02d3e45e84,882883eb12289be9daaf5ba8917978ad4bb0f3299ed243959a0a89dfc38ae6a4,0,1.0
llama32_3b,0,qkv,2,0,24,24,0,0,True,True,True,e6eb0f6df3063b70071f86ac393592080b01731ede2abb5cd0c035619cfbcdc1,e6eb0f6df3063b70071f86ac393592080b01731ede2abb5cd0c035619cfbcdc1,d4668f26722553374d52740174f539447402a39d94d538921aa90bb5e87415a9,0,1.0
llama32_3b,0,qkv,3,0,24,24,0,0,True,True,True,a52068676fe0aa410d95d70352cab474cf35c25f990cf190efe3286b55e34cce,a52068676fe0aa410d95d70352cab474cf35c25f990cf190efe3286b55e34cce,ed5835f8c172415333cd13ceb03d2a47401d3f84b1643faf500d0d634d04e34e,0,1.0
llama32_3b,0,qkv,4,0,24,24,0,0,True,True,True,5fa9a2bbd99d0ac2c58a9b492f5ee37af6b03ec5beb81035d06de117027f2777,5fa9a2bbd99d0ac2c58a9b492f5ee37af6b03ec5beb81035d06de117027f2777,ff56c080b92c626013cc7b1a2246ed217c0a8e150e0b4270b7c83e20abc0dfeb,0,1.0
llama32_3b,0,qkv,5,0,24,24,0,0,True,True,True,49fedc3099b2c671de3c5bf8eade244cf0b4d05e6937acfa17766975b7ed09c0,49fedc3099b2c671de3c5bf8eade244cf0b4d05e6937acfa17766975b7ed09c0,f937c7d3fb2ef9d2a57239dbb27db26d7606dbfd1d75ae50515d112f80c8829e,0,1.0
llama32_3b,0,qkv,6,0,24,24,0,0,True,True,True,5b776b57f22e1bb20fd28891def2faa41c887fe3006ed4fadd27167f1265ae99,5b776b57f22e1bb20fd28891def2faa41c887fe3006ed4fadd27167f1265ae99,58ec9719994992a273d964cd85696b98b0d1940e6cc040ab64a0fd04cad0ccb8,0,1.0
llama32_3b,0,qkv,7,0,24,24,0,0,True,True,True,83a949526d2097c9ee3dbed36912319f5d1d03ab11400e1bb3cfb1f87bc0a55d,83a949526d2097c9ee3dbed36912319f5d1d03ab11400e1bb3cfb1f87bc0a55d,6be80bd39bda6e1c23fed669ea007d2c6ee61f1cb64421ce3648e5d119ba8d8f,0,1.0
llama32_3b,0,qkv,8,0,24,24,0,0,True,True,True,9742951d2db7462c3f8d5e8643b71e7197a36a97bc36704fdb4f81fb4fd1eb47,9742951d2db7462c3f8d5e8643b71e7197a36a97bc36704fdb4f81fb4fd1eb47,0de874adf9de80961f91d714ef01e38966508ee380277ef392f34726d5683183,0,1.0
llama32_3b,0,qkv,9,0,24,24,0,0,True,True,True,7311b7629693e269563b6c521f1fca2b4b69a4c3c8aaede14aed9d4d8063fa47,7311b7629693e269563b6c521f1fca2b4b69a4c3c8aaede14aed9d4d8063fa47,ea758a415ac8f5267857908673c5e0606cb24a7a04c2165556ccd5c51307d0be,0,1.0
llama32_3b,0,qkv,10,0,24,24,0,0,True,True,True,8b6093dd48a30240bf3427638697e2b4e1d8f2ec54efa3feba2931a0c7bdab0d,8b6093dd48a30240bf3427638697e2b4e1d8f2ec54efa3feba2931a0c7bdab0d,4750d8b666a331aab7cf15f6dc5f1f308d5a7df5b82f2d0ae164db1ef347b71c,0,1.0
llama32_3b,0,qkv,11,0,24,24,0,0,True,True,True,0a58191b54036a0f183912dbdb1f5ac063157d8e5f159a0040ae10fb2280de99,0a58191b54036a0f183912dbdb1f5ac063157d8e5f159a0040ae10fb2280de99,f4bac678d504f615fd727139c2b7d86ef32c20bf77f45b9a6f751cefd2384ab9,0,1.0
llama32_3b,0,qkv,12,0,24,24,0,0,True,True,True,05492b64def7df3a25f4f14ebf1f0837cfd28c9dd9a72fd734a1a3bd3b2e3cf4,05492b64def7df3a25f4f14ebf1f0837cfd28c9dd9a72fd734a1a3bd3b2e3cf4,a3cfd931a32a2b24e3ece44981fdf9c08b6bcfa48f8f97fc55ed470d69441c4e,0,1.0
llama32_3b,0,qkv,13,0,24,24,0,0,True,True,True,6f176dad87fe384469556a432118d94eaa4ca8998988645df69d82b0ddf3f686,6f176dad87fe384469556a432118d94eaa4ca8998988645df69d82b0ddf3f686,41079b6164a32d85e040a317502eda6014d6cca337ace6585996bc639e47c9cc,0,1.0
llama32_3b,0,qkv,14,0,24,24,0,0,True,True,True,fe96fbfd36e28c7a72a256e0d564bec26cab0e034b296a73c1ee02f4c6ddfc10,fe96fbfd36e28c7a72a256e0d564bec26cab0e034b296a73c1ee02f4c6ddfc10,70523a10b8212af12d77e65b3a6d40ca54670c854cd6ce6cb31d37e7ca321761,0,1.0
llama32_3b,0,qkv,15,0,24,24,0,0,True,True,True,c98ca2e9b618ad80d4a37bb38fc2ed091a57709907f74c460f836805aa122cfb,c98ca2e9b618ad80d4a37bb38fc2ed091a57709907f74c460f836805aa122cfb,4d7e2a31087ae9549d5da4d0c0d160abd5076b52b7d4ab33a10d51f77018e1fe,0,1.0
llama32_3b,0,qkv,16,0,24,24,0,0,True,True,True,cbac853f3ade81d7de0881b79c85d527ac8a24debc49d66b70426a3eeb618795,cbac853f3ade81d7de0881b79c85d527ac8a24debc49d66b70426a3eeb618795,df4fb56a716a1afbb60acbb617d8fa7e2a17f0ec37306efab647080aa32c9f0a,0,1.0
llama32_3b,0,qkv,17,0,24,24,0,0,True,True,True,4188e20f019febe9767c531df097d95b01654df5200a6575017f08536ad34e62,4188e20f019febe9767c531df097d95b01654df5200a6575017f08536ad34e62,38008640c54f06a4cb81ef4f324f9936481eb7f14e64970e41a7e698c93219e5,0,1.0
llama32_3b,0,qkv,18,0,24,24,0,0,True,True,True,01e3411c3908416f7aaa239ed3ec08f264c40e8941ceb7172aa9bcafcf5d0848,01e3411c3908416f7aaa239ed3ec08f264c40e8941ceb7172aa9bcafcf5d0848,70c7ce51a9e6447bec1d387f580402db7bf6aca486dca3b533e88867fdc3303e,0,1.0
llama32_3b,0,qkv,19,0,24,24,0,0,True,True,True,451b13eae2b2e00476b60c588d2dcd0086386f8671fd74c943888cf5dc769a13,451b13eae2b2e00476b60c588d2dcd0086386f8671fd74c943888cf5dc769a13,66475adc221d73fff84caf72c119b144d1e6b92e5b43c4ca02e06929a8e54811,0,1.0
llama32_3b,0,qkv,20,0,24,24,0,0,True,True,True,41fb5941a4c21ee9fd94e36663c9fbec944049740a35dfc464d037f9f1c7f564,41fb5941a4c21ee9fd94e36663c9fbec944049740a35dfc464d037f9f1c7f564,381ed61628e2639a6397a994776c92e6109049a38dd1d36e9b5510a2a3d1fd94,0,1.0
llama32_3b,0,qkv,21,0,24,24,0,0,True,True,True,ec3aac63910405452d82ac96b68c4d016516b242b8f0686b24d6c4dd403aa95a,ec3aac63910405452d82ac96b68c4d016516b242b8f0686b24d6c4dd403aa95a,d8ccc637b29db40835da445db2089bb3513277fa164954b73bdad9f27c6727ef,0,1.0
llama32_3b,0,qkv,22,0,24,24,0,0,True,True,True,da686c1ab58352d695478faaa9aae4fb781424f884ae3aecf7ec15cb285eadee,da686c1ab58352d695478faaa9aae4fb781424f884ae3aecf7ec15cb285eadee,4e4c4d32210172a7658c64bfb70af87caf078310a31ac716e25b7cacede1ddfe,0,1.0
llama32_3b,0,qkv,23,0,24,24,0,0,True,True,True,b2ffc729c2cb07d48e7b9fc651e444be6dcd89a4ff927805d0b7a39c168c05da,b2ffc729c2cb07d48e7b9fc651e444be6dcd89a4ff927805d0b7a39c168c05da,83bf02af10e43dd1afb94f7082a80124e0775d5e0288aeafe10a9f7cac771c48,0,1.0
llama32_3b,0,qkv,24,0,24,24,0,0,True,True,True,f1da3cea55777f031a8731f9c92e6555c612a222d40aa3088d0901b22a5f8a3d,f1da3cea55777f031a8731f9c92e6555c612a222d40aa3088d0901b22a5f8a3d,797efd3f60427dd4f925126cca02e869cd9460cf297cea9fa020aff5f65608aa,0,1.0
llama32_3b,0,qkv,25,0,24,24,0,0,True,True,True,16e53a4df839fd9d11f4b0026c136344097daafd7ab27c16a8c40b876dada8b3,16e53a4df839fd9d11f4b0026c136344097daafd7ab27c16a8c40b876dada8b3,e0310f55fc5a15d6fff98db406d4b61f3f09568031929b8951dd465421bcc45e,0,1.0
llama32_3b,0,qkv,26,0,24,24,0,0,True,True,True,a0273603314eb48f49730c833207554e304e1b52f06334bab87333e52d8e2128,a0273603314eb48f49730c833207554e304e1b52f06334bab87333e52d8e2128,f86e31b8b6930a203397ad621337f9b41ed8d028980e24158e10bfc1362babb0,0,1.0
llama32_3b,0,qkv,27,0,24,24,0,0,True,True,True,8b3c290a85deaf7ccbfda30e582be8813357f0b52c0e1bcbb851eccc610a7447,8b3c290a85deaf7ccbfda30e582be8813357f0b52c0e1bcbb851eccc610a7447,3e9ff3012f0694654847ed197275e15293f1f8d594f294c90f540c1f6455943d,0,1.0
llama32_3b,0,down,0,0,64,64,0,0,True,True,True,ad07164981979ace6f1312051012aef50bd07d18d9e481e8c46da4d331f7c38a,ad07164981979ace6f1312051012aef50bd07d18d9e481e8c46da4d331f7c38a,29ce1d1bd738d4926475c6ff425726ce1ef9e724b36ac8dc4372b96820a37046,0,1.0
llama32_3b,0,down,1,0,64,64,0,0,True,True,True,1a890d873c6e3e3ad09f464c1c22e1e56f7e1018134ce12339cbc114f4b5792f,1a890d873c6e3e3ad09f464c1c22e1e56f7e1018134ce12339cbc114f4b5792f,ff09a7a134a9eeee17a963df9e8c4d51e352777fd6b64282e87e731367e96f68,0,1.0
llama32_3b,0,down,2,0,64,64,0,0,True,True,True,49a89e8e42c60bff9c8222defbba8adfe53175a96c13f77030ca643da33a861c,49a89e8e42c60bff9c8222defbba8adfe53175a96c13f77030ca643da33a861c,3e211db4ef8519f7338684e4264467352f73837ee5d17df4c44bcc27e09f10a8,0,1.0
llama32_3b,0,down,3,0,64,64,0,0,True,True,True,957f34ed05c81953a266d9c377a47e87b6bc7199d8a3c65f6e9f665dd4922ea7,957f34ed05c81953a266d9c377a47e87b6bc7199d8a3c65f6e9f665dd4922ea7,98c0ef922fe8f28921f875c0e2ad010337f449cd59c1724b95a3bf07fdbc680b,0,1.0
llama32_3b,0,down,4,0,64,64,0,0,True,True,True,5b0b7e7c8cbd9502bd12ead893b3a65deca743dd2b6baa589d63945e5db44d3a,5b0b7e7c8cbd9502bd12ead893b3a65deca743dd2b6baa589d63945e5db44d3a,4945e23cb3539e546fbca028b4d11a2f75fdb388fab6e3d2efb9f9a80a1e1b16,0,1.0
llama32_3b,0,down,5,0,64,64,0,0,True,True,True,3a32a3ffb9b47d10934c1043fc9b3fedc4ed556a4c84320575534111e5e7beac,3a32a3ffb9b47d10934c1043fc9b3fedc4ed556a4c84320575534111e5e7beac,366a50aaf8130ff57244f8f2c94a19d38f04789c9eabd499fdc9685179fd7ecc,0,1.0
llama32_3b,0,down,6,0,64,64,0,0,True,True,True,11cdd48251d51e6b6dafe49f9c07022d6937c08436a4d9aca307a817b469aa48,11cdd48251d51e6b6dafe49f9c07022d6937c08436a4d9aca307a817b469aa48,d3ba0ec8f77c73d45d144627a94c6a2c564a96c855ff32973008788a9dc947f7,0,1.0
llama32_3b,0,down,7,0,64,64,0,0,True,True,True,d79d4a24bb807aaed225b0dc25d192a961fada465356d897049690fb84f7ae2b,d79d4a24bb807aaed225b0dc25d192a961fada465356d897049690fb84f7ae2b,819b776f9cfda389ce3396875e38e43b06748daba938b51f93bd806c4bd7841b,0,1.0
llama32_3b,0,down,8,0,64,64,0,0,True,True,True,d0669df6a8c128ae2f4d31dea75372288c182e19171da3452bf5fa1842c93a12,d0669df6a8c128ae2f4d31dea75372288c182e19171da3452bf5fa1842c93a12,bf93b96fbd5332dc10307c876b740917cb22eee83728b0e09bd037471ae651bb,0,1.0
llama32_3b,0,down,9,0,64,64,0,0,True,True,True,9a14c3b31065c098de0fd8b309092d278cb37a9623bc5760a56b05c8b612ebaa,9a14c3b31065c098de0fd8b309092d278cb37a9623bc5760a56b05c8b612ebaa,c9179ebfd147d9964708a19642aa4b0c221a9cd4a98c00adf4e75f2eeb7ca72e,0,1.0
llama32_3b,0,down,10,0,64,64,0,0,True,True,True,fc06200a6e58cde646b6aab9125ac0b7eb9a09025e5fd9e02f52fac1bd54ee1c,fc06200a6e58cde646b6aab9125ac0b7eb9a09025e5fd9e02f52fac1bd54ee1c,299434c696b6512e5e3dcf486b9c7a583f2a9b75b718673d6ee61443d4efbf42,0,1.0
llama32_3b,0,down,11,0,64,64,0,0,True,True,True,5309b0c9af555a4a72fe4a373ff64633909264dacecf273e6854602f8e13edad,5309b0c9af555a4a72fe4a373ff64633909264dacecf273e6854602f8e13edad,44170617c41d448218c4451e52f3ee7338ca165e13e63f6fb175ee72d5540d01,0,1.0
llama32_3b,0,down,12,0,64,64,0,0,True,True,True,6cc8f8a1b626c03fc1ffa173cf2511d6648a3e8f8edafc8188bd6d3edb62c77f,6cc8f8a1b626c03fc1ffa173cf2511d6648a3e8f8edafc8188bd6d3edb62c77f,00a8cf45d579a7426baf52db4a002584a468517cefad20ed22c980d5d7366ea7,0,1.0
llama32_3b,0,down,13,0,64,64,0,0,True,True,True,1bae49a693956974924e47fefff387f6828f9a91886df3e1be9a83861e7f5b23,1bae49a693956974924e47fefff387f6828f9a91886df3e1be9a83861e7f5b23,c665d054edb206a0710acf4d2e42422cf2080caa607d1d823ac4ffda1ae3eb80,0,1.0
llama32_3b,0,down,14,0,64,64,0,0,True,True,True,47e3349eeaa80cc75bf7346b8806bfce49dee358b4f60fe975c0d44f57e32f4d,47e3349eeaa80cc75bf7346b8806bfce49dee358b4f60fe975c0d44f57e32f4d,632009d6099c84f2c377be29d83724844414a1a8a0b48bb18f9b3c1b70e25e23,0,1.0
