model,row,reference,mean_ppl,seed_std,seed_ppls,delta,ci90_low,ci90_high,seed_ci90_low,seed_ci90_high,nll_delta,nll_ci90_low,nll_ci90_high,ci_method,seeds,chunks_per_seed
llama32_3b,Q1_asym,Q1_asym,7.705228861648433,0.00839897178004475,"[7.6963706224009965, 7.706238708683079, 7.713077253861222]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Had_asym,Q1_asym,7.766634196013815,0.005198424487590678,"[7.760776233627323, 7.770697560150345, 7.7684287942637775]",0.0614053343653825,0.054711570491424055,0.06809909823934095,0.05256672489356559,0.07024394383719941,0.007937966535488764,0.007119232517282334,0.008756700553695195,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Q1_sym,Q1_sym,7.75931645346445,0.011426864372063717,"[7.746615884092027, 7.762569177402305, 7.768764298899017]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Had_sym,Q1_sym,7.81937000001134,0.002480778098459445,"[7.8221373913996475, 7.8186269435696065, 7.817345665064768]",0.060053546546890914,0.052311993734271214,0.06779509935951061,0.03660758984447593,0.0834995032493059,0.007710433875521024,0.006743511227263835,0.008677356523778212,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Q5a_asym,Q1_asym,7.720705817907671,0.0010951704563164086,"[7.721242979849875, 7.721428696020079, 7.71944577785306]",0.015476956259238802,0.009813164688041085,0.02114074783043652,-0.00012605497553020914,0.031079967494007814,0.0020070051153500876,0.001275533764792833,0.0027384764659073423,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Q5b_asym,Q1_asym,7.718515525342197,0.005565754164838633,"[7.716642979723946, 7.7247760632747084, 7.714127533027939]",0.01328666369376504,0.007529152136960988,0.019044175250569093,-0.004638130910280638,0.031211458297810718,0.0017231075714031856,0.0009791008497494994,0.0024671142930568716,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Q5a_sym,Q1_sym,7.764011069687338,0.01536281244489596,"[7.749731182259208, 7.76203621129181, 7.780265815510994]",0.004694616222887582,-0.0013105751137073981,0.010699807559482563,-0.00570833224066148,0.015097564686436644,0.0006042650590340296,-0.00017203519825912165,0.0013805653163271809,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,Q5b_sym,Q1_sym,7.762935026685881,0.006261521986331887,"[7.769394946755343, 7.756892819843446, 7.7625173134588525]",0.0036185732214306654,-0.0032231786358565646,0.010460325078717896,-0.024359738136462118,0.03159688457932345,0.00046674969295660657,-0.0004158152845741264,0.0013493146704873396,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M1_pq_asym,M1_had_asym,7.622006743820314,0.00415567174491649,"[7.621468590827642, 7.618146365005248, 7.626405275628049]",-0.015720290486275584,-0.01823291490043813,-0.01320766607211304,-0.028130909892674447,-0.00330967107987672,-0.002060322711865107,-0.0023844623431032667,-0.0017361830806269473,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M1_had_asym,M1_had_asym,7.637727034306589,0.004939898120602755,"[7.632524028196598, 7.642353170416358, 7.6383039043068095]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M1_pq_sym,M1_had_sym,7.623336716662339,0.003302696286953537,"[7.622760842813121, 7.620359828975089, 7.626889478198806]",-0.01884891670092929,-0.02173867213486374,-0.015959161266994842,-0.025166940685459226,-0.012530892716399355,-0.002469525362054507,-0.002836200820169735,-0.0021028499039392784,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M1_had_sym,M1_had_sym,7.642185633363268,0.0015634509462672979,"[7.643984518011821, 7.641154322250852, 7.6414180598271315]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M2_pq_asym,M2_had_asym,7.699166720056248,0.005271136945346419,"[7.699010747859537, 7.693975300191691, 7.704514112117518]",-0.044328712383630155,-0.050122140679770985,-0.038535284087489324,-0.049584115943682595,-0.039073308823577714,-0.005741082752744357,-0.0064536122547963395,-0.005028553250692375,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M2_had_asym,M2_had_asym,7.743495432439879,0.005373760064464399,"[7.74683594689351, 7.7372965971118, 7.7463537533143265]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M2_pq_sym,M2_had_sym,7.75313746399511,0.0033939587397857356,"[7.749317341882361, 7.755805124028604, 7.754289926074366]",-0.04192557927454862,-0.04896823614930609,-0.03488292239979115,-0.06103362960142335,-0.022817528947673887,-0.0053926364829142885,-0.006278506592547884,-0.004506766373280693,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
llama32_3b,M2_had_sym,M2_had_sym,7.79506304326966,0.008770548621588641,"[7.803373532829195, 7.795920217624828, 7.785895379354954]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
