model,source_row,seed,chunk,fp64_mean_of_token_losses,frozen_fp32_chunk_nll,difference,interpretation
llama32_3b,Q1_pq,0,0,1.8314763482413012,1.8314764499664307,-1.0172512943107392e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,1,2.43397879196721,2.433978796005249,-4.038039236320401e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,2,2.505597532500047,2.5055973529815674,1.7951847963715295e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,3,2.0158147790430427,2.015814781188965,-2.1459221066777445e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,4,1.9250313784331197,1.925031304359436,7.407368363132605e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,5,1.5538817247756602,1.5538817644119263,-3.963626604708281e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,6,1.6737350713784693,1.6737351417541504,-7.037568106049719e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,7,1.9183392223532447,1.9183393716812134,-1.4932796865707587e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,8,2.247673683259209,2.247673749923706,-6.666449703374155e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,9,1.9713727256635598,1.9713727235794067,2.0841530723458845e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,10,1.9015444280462004,1.901544451713562,-2.3667361626067418e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,11,2.2478360118092873,2.247836112976074,-1.0116678694771508e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,12,2.1218948884807207,2.1218948364257812,5.2054939470025374e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,13,2.280153525712007,2.280153512954712,1.2757295220211518e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,14,2.195398777565029,2.1953988075256348,-2.996060555204849e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,15,2.4017414878415346,2.4017415046691895,-1.6827654825135596e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,16,2.122725867896025,2.12272572517395,1.427220746030855e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,17,2.1435778490047284,2.143578052520752,-2.0351602358914533e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,18,1.948658340782121,1.9486584663391113,-1.255569903602094e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,19,2.107029342685767,2.1070291996002197,1.4308554741049306e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,20,2.2381264842304653,2.238126754760742,-2.705302768468698e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,21,2.1539338975278324,2.1539337635040283,1.3402380405480585e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,22,2.206306604677539,2.2063066959381104,-9.126057154418277e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,23,2.2512300067643762,2.251230001449585,5.3147912737472325e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
llama32_3b,Q1_pq,0,24,2.281629643750725,2.281629800796509,-1.5704578393282986e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
