model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,0,1.8208203315734863,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,1,2.4220356941223145,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,2,2.4922232627868652,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,3,2.007396936416626,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,4,1.9157811403274536,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,5,1.5419397354125977,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,6,1.6579393148422241,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,7,1.90771484375,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,8,2.2407782077789307,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,9,1.9640158414840698,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,10,1.8904613256454468,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,11,2.2446377277374268,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,12,2.108149290084839,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,13,2.26754093170166,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,14,2.188316822052002,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,15,2.3944945335388184,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,16,2.1199371814727783,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,17,2.136223554611206,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,18,1.9425047636032104,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,19,2.104306697845459,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,20,2.222465753555298,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,21,2.149143934249878,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,22,2.2034170627593994,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,23,2.2406511306762695,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,24,2.272462844848633,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,25,2.327946662902832,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,26,2.4166054725646973,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,27,2.216716766357422,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,28,1.9890705347061157,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,29,1.796256184577942,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,30,1.6761308908462524,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,31,1.7096079587936401,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,32,2.0046536922454834,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,33,1.9724562168121338,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,34,2.14935302734375,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,35,1.468401312828064,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,36,1.4374489784240723,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,37,1.4809367656707764,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,38,1.4642419815063477,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,39,1.6596097946166992,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,40,2.2617948055267334,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,41,2.6821632385253906,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,42,2.677431344985962,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,43,2.2995517253875732,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,44,2.2928600311279297,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,45,2.2690839767456055,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,46,2.362253189086914,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,47,2.1525115966796875,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,48,2.0257222652435303,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,49,2.0200743675231934,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,50,1.737009882926941,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,51,1.8338342905044556,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,52,1.6674857139587402,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,53,1.8943290710449219,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,none,bf16,-1,54,1.6217155456542969,2047,False,0.0
