model,layer,b,max_abs_error,relative_l2_error
llama32_3b,0,32,1.105357121389261e-07,3.610820299760471e-08
llama32_3b,0,64,1.2247805813991874e-07,3.645775323737976e-08
llama32_3b,0,128,1.0230501867880548e-07,4.04004644300084e-08
llama32_3b,1,32,1.2054324871613176e-07,3.558039266317058e-08
llama32_3b,1,64,1.2824220541052256e-07,3.784836636883502e-08
llama32_3b,1,128,1.1858306125933638e-07,3.8734839779899856e-08
llama32_3b,2,32,1.0765843860838231e-07,3.6257606782903606e-08
llama32_3b,2,64,1.1397059029860657e-07,3.687155914136787e-08
llama32_3b,2,128,1.2331826515499245e-07,3.6144533153603195e-08
llama32_3b,3,32,1.1528641952196494e-07,3.662926568398259e-08
llama32_3b,3,64,1.1190710269559645e-07,3.453026805290036e-08
llama32_3b,3,128,1.135005635033437e-07,3.403379430970897e-08
llama32_3b,4,32,1.3362328131483192e-07,4.092483727424392e-08
llama32_3b,4,64,1.436820138422945e-07,4.2478534873320724e-08
llama32_3b,4,128,9.018931379500827e-08,3.420608869158841e-08
llama32_3b,5,32,1.0997858179706554e-07,3.7935572589958976e-08
llama32_3b,5,64,9.297273195763012e-08,3.623629029814259e-08
llama32_3b,5,128,9.882989360221472e-08,3.733937190279202e-08
llama32_3b,6,32,1.1064192095844305e-07,3.80538179336255e-08
llama32_3b,6,64,1.1127356147611067e-07,4.034327621353658e-08
llama32_3b,6,128,1.1140081321997508e-07,3.5135724127712315e-08
llama32_3b,7,32,1.127447512017099e-07,3.74160542372133e-08
llama32_3b,7,64,1.0528213456595381e-07,4.141142808695132e-08
llama32_3b,7,128,1.1348223463020224e-07,3.699813300316585e-08
llama32_3b,8,32,1.1342506822664689e-07,3.8796749578824824e-08
llama32_3b,8,64,1.189357077269193e-07,3.6693252882119895e-08
llama32_3b,8,128,9.220342334081977e-08,3.9918930531544004e-08
llama32_3b,9,32,9.91591022625471e-08,3.544407314240684e-08
llama32_3b,9,64,1.0003060996188751e-07,3.5921573859773397e-08
llama32_3b,9,128,1.0181649967577755e-07,3.408781053666481e-08
llama32_3b,10,32,1.0023700847128225e-07,3.80089894584538e-08
llama32_3b,10,64,1.227582679952377e-07,3.7241888425606767e-08
llama32_3b,10,128,9.28680282119565e-08,3.4270782628999685e-08
llama32_3b,11,32,8.58384678892321e-08,3.802738248145376e-08
llama32_3b,11,64,1.2353208478366184e-07,4.281224874552814e-08
llama32_3b,11,128,1.0204721229145619e-07,3.7982721621498524e-08
llama32_3b,12,32,8.241672960762614e-08,3.758838823192349e-08
llama32_3b,12,64,1.3555712796708974e-07,3.692052138510554e-08
llama32_3b,12,128,9.57841765902856e-08,3.437388219933089e-08
llama32_3b,13,32,9.274389078939294e-08,3.2569643734915837e-08
llama32_3b,13,64,1.0084674423316287e-07,3.46563437230375e-08
llama32_3b,13,128,1.376429020483183e-07,3.5805947495496066e-08
llama32_3b,14,32,1.299340188776199e-07,3.2642826316792394e-08
llama32_3b,14,64,1.0631252639337063e-07,3.8287676019045034e-08
llama32_3b,14,128,9.779088200323471e-08,3.531005516949693e-08
llama32_3b,15,32,1.0592823174171428e-07,3.755683197280449e-08
llama32_3b,15,64,8.655946655278246e-08,3.624108220479706e-08
llama32_3b,15,128,9.375210374695797e-08,3.8033273991650255e-08
llama32_3b,16,32,9.712324694488572e-08,3.6074022755882835e-08
llama32_3b,16,64,1.0686287554850793e-07,3.290688934107054e-08
llama32_3b,16,128,1.1593982784940948e-07,3.8538543795369213e-08
llama32_3b,17,32,1.1061198512685166e-07,3.759273360891788e-08
llama32_3b,17,64,1.0878921852253143e-07,3.897466659454399e-08
llama32_3b,17,128,9.509527432172149e-08,3.336395606758107e-08
llama32_3b,18,32,1.4057080496843177e-07,3.8040539955066406e-08
llama32_3b,18,64,1.0866498045825068e-07,3.5121278609692644e-08
llama32_3b,18,128,1.157849571775671e-07,4.141447859605703e-08
llama32_3b,19,32,1.1093718077503922e-07,3.4753855749058014e-08
llama32_3b,19,64,9.775395193312164e-08,3.530270157903844e-08
llama32_3b,19,128,1.134392708657117e-07,4.2392609131148294e-08
llama32_3b,20,32,1.0827965546411633e-07,4.3718197779005244e-08
llama32_3b,20,64,1.4379110757634095e-07,3.72043924407938e-08
llama32_3b,20,128,1.1014906720063777e-07,3.196015614772775e-08
llama32_3b,21,32,1.1581101455604426e-07,4.225266849685192e-08
llama32_3b,21,64,1.2146519101641218e-07,3.579997954179916e-08
llama32_3b,21,128,1.0909985218021667e-07,3.614543629489861e-08
llama32_3b,22,32,1.0667575944811603e-07,3.904460730749938e-08
llama32_3b,22,64,1.1000464095189955e-07,3.4329721838738646e-08
llama32_3b,22,128,1.3509478830053823e-07,3.4158637161251484e-08
llama32_3b,23,32,1.5209537951310637e-07,3.844265132837756e-08
llama32_3b,23,64,1.0818857054673003e-07,3.4999049642905624e-08
llama32_3b,23,128,1.2002310785519388e-07,3.651373084146331e-08
llama32_3b,24,32,1.0804846040102234e-07,3.691123709382808e-08
llama32_3b,24,64,1.1078885864268528e-07,3.4381656999260364e-08
llama32_3b,24,128,1.0407255121580583e-07,3.6357172170938833e-08
llama32_3b,25,32,1.0661311011794794e-07,3.532228757421301e-08
llama32_3b,25,64,1.0976119790839789e-07,3.32621150417237e-08
llama32_3b,25,128,1.0609875322753481e-07,3.5726437832689664e-08
llama32_3b,26,32,9.99362268494508e-08,3.2003957736510715e-08
llama32_3b,26,64,8.905678150483709e-08,3.373942895816409e-08
llama32_3b,26,128,1.2233248258830542e-07,3.729275195295041e-08
llama32_3b,27,32,1.0914321962873785e-07,3.454448902214932e-08
llama32_3b,27,64,1.1443486114259827e-07,3.791311646000529e-08
llama32_3b,27,128,9.335979234137426e-08,3.456063669244427e-08
