model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,0,32,bf16,0.23612168431282043,0.0,-0.13493589015876567,-0.005984626708214102,65536
llama32_3b,0,32,identity,0.23612168431282043,0.008551518212621016,-0.13493589015876567,0.0025668915044069138,65536
llama32_3b,0,32,hadamard,0.208048477768898,0.005984626708214102,0.0,0.0,65536
llama32_3b,0,32,nar,0.19151899218559265,0.005079162156905853,0.07945016354153021,-0.000905464551308249,65536
llama32_3b,0,64,bf16,0.29691171646118164,0.0,-0.26838309388490816,-0.007756631395989129,65536
llama32_3b,0,64,identity,0.29691171646118164,0.013571402665041131,-0.26838309388490816,0.005814771269052003,65536
llama32_3b,0,64,hadamard,0.2340867817401886,0.007756631395989129,0.0,0.0,65536
llama32_3b,0,64,nar,0.22196118533611298,0.006968985807373201,0.05179957754955059,-0.0007876455886159277,65536
llama32_3b,0,128,bf16,0.36668211221694946,0.0,-0.4183556780061558,-0.009620799106612338,65536
llama32_3b,0,128,identity,0.36668211221694946,0.020967828291564832,-0.4183556780061558,0.011347029184952494,65536
llama32_3b,0,128,hadamard,0.2585262060165405,0.009620799106612338,0.0,0.0,65536
llama32_3b,0,128,nar,0.24940717220306396,0.008837071554395488,0.03527315065650685,-0.0007837275522168501,65536
llama32_3b,1,32,bf16,0.5695606470108032,0.0,-0.1018445287091643,-0.006084239428511805,65536
llama32_3b,1,32,identity,0.5695606470108032,0.007782246469667837,-0.1018445287091643,0.0016980070411560322,65536
llama32_3b,1,32,hadamard,0.5169156193733215,0.006084239428511805,0.0,0.0,65536
llama32_3b,1,32,nar,0.4953666627407074,0.0056018132791054815,0.041687571094753996,-0.00048242614940632346,65536
llama32_3b,1,64,bf16,0.6839036345481873,0.0,-0.17544146671832572,-0.00790125402372476,65536
llama32_3b,1,64,identity,0.6839036345481873,0.011465756180728839,-0.17544146671832572,0.003564502157004079,65536
llama32_3b,1,64,hadamard,0.5818270444869995,0.00790125402372476,0.0,0.0,65536
llama32_3b,1,64,nar,0.5680387020111084,0.007554689200008383,0.023698352640256486,-0.00034656482371637695,65536
llama32_3b,1,128,bf16,0.8086304664611816,0.0,-0.25317279795924097,-0.009806334626974686,65536
llama32_3b,1,128,identity,0.8086304664611816,0.01616543893547593,-0.25317279795924097,0.0063591043085012445,65536
llama32_3b,1,128,hadamard,0.6452665328979492,0.009806334626974686,0.0,0.0,65536
llama32_3b,1,128,nar,0.6395117044448853,0.009653842481570795,0.008918529258318295,-0.00015249214540389092,65536
llama32_3b,2,32,bf16,1.0317778587341309,0.0,-0.09242947602466933,-0.006075125544211942,65536
llama32_3b,2,32,identity,1.0317778587341309,0.0075840078602435745,-0.09242947602466933,0.0015088823160316327,65536
llama32_3b,2,32,hadamard,0.9444800615310669,0.006075125544211942,0.0,0.0,65536
llama32_3b,2,32,nar,0.8884614109992981,0.005429128674835119,0.05931162849638004,-0.0006459968693768225,65536
llama32_3b,2,64,bf16,1.258338451385498,0.0,-0.17763160977412187,-0.007961535534808023,65536
llama32_3b,2,64,identity,1.258338451385498,0.01134394913568313,-0.17763160977412187,0.0033824136008751074,65536
llama32_3b,2,64,hadamard,1.068533182144165,0.007961535534808023,0.0,0.0,65536
llama32_3b,2,64,nar,1.0293821096420288,0.0074114718451890335,0.03664001563673857,-0.0005500636896189895,65536
llama32_3b,2,128,bf16,1.5027165412902832,0.0,-0.2767228420530872,-0.009776476014063864,65536
llama32_3b,2,128,identity,1.5027165412902832,0.016143674741185186,-0.2767228420530872,0.0063671987271213225,65536
llama32_3b,2,128,hadamard,1.1770107746124268,0.009776476014063864,0.0,0.0,65536
llama32_3b,2,128,nar,1.1566245555877686,0.009470631167584637,0.01732033339403465,-0.00030584484647922655,65536
llama32_3b,3,32,bf16,1.1668736934661865,0.0,-0.057021600463824304,-0.00608360261220363,65536
llama32_3b,3,32,identity,1.1668736934661865,0.007115759875801419,-0.057021600463824304,0.0010321572635977891,65536
llama32_3b,3,32,hadamard,1.1039260625839233,0.00608360261220363,0.0,0.0,65536
llama32_3b,3,32,nar,1.0477163791656494,0.005500873860908568,0.05091797840763518,-0.000582728751295062,65536
llama32_3b,3,64,bf16,1.3933340311050415,0.0,-0.11581765219095577,-0.007971711827633425,65536
llama32_3b,3,64,identity,1.3933340311050415,0.010404966791508898,-0.11581765219095577,0.0024332549638754735,65536
llama32_3b,3,64,hadamard,1.2487112283706665,0.007971711827633425,0.0,0.0,65536
llama32_3b,3,64,nar,1.2071104049682617,0.007439823393656865,0.03331500707067882,-0.0005318884339765599,65536
llama32_3b,3,128,bf16,1.6471577882766724,0.0,-0.1953752979817052,-0.009812573697267553,65536
llama32_3b,3,128,identity,1.6471577882766724,0.014990878814492153,-0.1953752979817052,0.005178305117224601,65536
llama32_3b,3,128,hadamard,1.3779419660568237,0.009812573697267553,0.0,0.0,65536
llama32_3b,3,128,nar,1.3552720546722412,0.00948367037792102,0.01645200737260052,-0.00032890331934653204,65536
llama32_3b,4,32,bf16,1.092970609664917,0.0,-0.05253247742454078,-0.0060589175419095125,65536
