model,layer,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,orthogonality_max_abs_error
llama32_3b,0,32,0,4,0.2018119841814041,0.005710275289046218,0.02997615581894065,-0.0002743514191678835,0.0,1.0,8.881784197001252e-16
llama32_3b,0,32,1,4,0.19765233993530273,0.00539944874620181,0.04996978562440333,-0.000585177962012292,0.08412177753761145,0.9570152676224076,1.2212453270876722e-15
llama32_3b,0,32,2,4,0.1958862841129303,0.0052924080865749705,0.0584584601934823,-0.0006922186216391313,0.11718650059813823,0.9395815554819399,1.1102230246251565e-15
llama32_3b,0,32,3,4,0.19334676861763,0.0051569701058218915,0.0706648244146193,-0.0008276566023922103,0.14822854820439374,0.9229146503310077,1.2212453270876722e-15
llama32_3b,0,32,4,4,0.19151899218559265,0.005079162156905853,0.07945016354153021,-0.000905464551308249,0.1715816081915514,0.9101749237418314,1.3322676295501878e-15
llama32_3b,0,64,0,2,0.23071043193340302,0.007556158039840551,0.014423496199511906,-0.00020047335614857727,0.0,1.0,1.2212453270876722e-15
llama32_3b,0,64,1,2,0.22493118047714233,0.007148465408529348,0.039111995965701335,-0.0006081659874597805,0.08412177753761145,0.9570152676224076,1.1102230246251565e-15
llama32_3b,0,64,2,2,0.22196118533611298,0.006968985807373201,0.05179957754955059,-0.0007876455886159277,0.11718650059813823,0.9395815554819399,9.992007221626409e-16
llama32_3b,0,128,0,1,0.25743257999420166,0.009414923564483601,0.004230232745801007,-0.0002058755421287372,0.0,1.0,1.2212453270876722e-15
llama32_3b,0,128,1,1,0.24940717220306396,0.008837071554395488,0.03527315065650685,-0.0007837275522168501,0.08412177753761145,0.9570152676224076,1.2212453270876722e-15
llama32_3b,1,32,0,4,0.513375997543335,0.006029725942484647,0.006847581495559767,-5.4513486027157713e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,1,32,1,4,0.5085250735282898,0.005916843905313881,0.016231944887260225,-0.0001673955231979241,0.025999764325166735,0.9869145027178562,1.1102230246251565e-15
llama32_3b,1,32,2,4,0.5030810832977295,0.005789433415353628,0.026763625545624312,-0.0002948060131581767,0.0506849532680883,0.9743279975100334,1.3322676295501878e-15
llama32_3b,1,32,3,4,0.49888646602630615,0.005695778368485791,0.034878329598306355,-0.0003884610600260142,0.07264197100002724,0.9629943037214564,1.3322676295501878e-15
llama32_3b,1,32,4,4,0.4953666627407074,0.0056018132791054815,0.041687571094753996,-0.00048242614940632346,0.0931874653720138,0.952267050058956,1.1102230246251565e-15
llama32_3b,1,64,0,2,0.5814462900161743,0.007895171616682333,0.0006544117782646368,-6.08240704242681e-06,0.0,1.0,1.1102230246251565e-15
llama32_3b,1,64,1,2,0.5749845504760742,0.007725275287095186,0.011760357439139602,-0.00017597873662957356,0.025999764325166735,0.9869145027178562,9.992007221626409e-16
llama32_3b,1,64,2,2,0.5680387020111084,0.007554689200008383,0.023698352640256486,-0.00034656482371637695,0.0506849532680883,0.9743279975100334,1.1102230246251565e-15
llama32_3b,1,128,0,1,0.6459833383560181,0.009842748945883327,-0.0011108672486849903,3.641431890864105e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,1,128,1,1,0.6395117044448853,0.009653842481570795,0.008918529258318295,-0.00015249214540389092,0.025999764325166735,0.9869145027178562,9.992007221626409e-16
llama32_3b,2,32,0,4,0.9314870238304138,0.0059620513618614665,0.013756815236089232,-0.00011307418235047533,0.0,1.0,1.2212453270876722e-15
llama32_3b,2,32,1,4,0.9183475971221924,0.0057966365780023925,0.027668624752662324,-0.00027848896620954935,0.03442395384048461,0.9826372912522278,8.881784197001252e-16
llama32_3b,2,32,2,4,0.9096887707710266,0.005679482766163798,0.036836448091494084,-0.000395642778048144,0.06715685022279946,0.9658380556683406,1.2212453270876722e-15
llama32_3b,2,32,3,4,0.8971118330955505,0.005550045520064229,0.050152703444823615,-0.0005250800241477132,0.09551011807708024,0.9510467296210633,1.1102230246251565e-15
llama32_3b,2,32,4,4,0.8884614109992981,0.005429128674835119,0.05931162849638004,-0.0006459968693768225,0.12290248939719442,0.9365348421723592,1.3322676295501878e-15
llama32_3b,2,64,0,2,1.0580353736877441,0.007832791265791755,0.00982450393852584,-0.00012874426901626768,0.0,1.0,8.881784197001252e-16
llama32_3b,2,64,1,2,1.0422790050506592,0.0076273675735167405,0.024570296488896196,-0.0003341679612912825,0.03442395384048461,0.9826372912522278,8.881784197001252e-16
llama32_3b,2,64,2,2,1.0293821096420288,0.0074114718451890335,0.03664001563673857,-0.0005500636896189895,0.06715685022279946,0.9658380556683406,8.881784197001252e-16
llama32_3b,2,128,0,1,1.175407886505127,0.00973846543948403,0.0013618295956786066,-3.8010574579833145e-05,0.0,1.0,1.3322676295501878e-15
llama32_3b,2,128,1,1,1.1566245555877686,0.009470631167584637,0.01732033339403465,-0.00030584484647922655,0.03442395384048461,0.9826372912522278,1.3322676295501878e-15
llama32_3b,3,32,0,4,1.0917928218841553,0.005986397876661037,0.010990990348908141,-9.720473554259302e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,3,32,1,4,1.077488660812378,0.005815088299242194,0.023948525782301267,-0.00026851431296143636,0.040284420937195704,0.9796507434095093,9.992007221626409e-16
llama32_3b,3,32,2,4,1.064690113067627,0.005662435822728605,0.03554218968656116,-0.000421166789475025,0.07132967010455021,0.9636754276702555,1.3322676295501878e-15
llama32_3b,3,32,3,4,1.056901454925537,0.005593994220958575,0.04259760617329505,-0.0004896083912450553,0.09541428581378242,0.9510971108074178,1.1102230246251565e-15
llama32_3b,3,32,4,4,1.0477163791656494,0.005500873860908568,0.05091797840763518,-0.000582728751295062,0.11613824055544553,0.9401392234369091,1.2212453270876722e-15
llama32_3b,3,64,0,2,1.2380752563476562,0.007862271686745158,0.008517559369501465,-0.00010944014088826691,0.0,1.0,8.881784197001252e-16
llama32_3b,3,64,1,2,1.221346139907837,0.007632688333440663,0.02191466516925285,-0.0003390234941927613,0.040284420937195704,0.9796507434095093,1.1102230246251565e-15
llama32_3b,3,64,2,2,1.2071104049682617,0.007439823393656865,0.03331500707067882,-0.0005318884339765599,0.07132967010455021,0.9636754276702555,1.1102230246251565e-15
llama32_3b,3,128,0,1,1.3761284351348877,0.009769805504659725,0.0013161156032758846,-4.2768192607827576e-05,0.0,1.0,1.3322676295501878e-15
llama32_3b,3,128,1,1,1.3552720546722412,0.00948367037792102,0.01645200737260052,-0.00032890331934653204,0.040284420937195704,0.9796507434095093,1.2212453270876722e-15
llama32_3b,4,32,0,4,1.03975248336792,0.006081567145860643,-0.001283335114627116,2.264960395113088e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,4,32,1,4,1.0279314517974854,0.005928520375043263,0.010100337542735266,-0.0001303971668662491,0.036316215059694706,0.9816739707969776,1.3322676295501878e-15
llama32_3b,4,32,2,4,1.0162698030471802,0.005794899955230128,0.02133052428469766,-0.00026401758667938483,0.06109479487742722,0.968971209645866,1.4432899320127035e-15
llama32_3b,4,32,3,4,1.0100595951080322,0.005723648872105991,0.027310964645776432,-0.00033526866980352135,0.0809927215750888,0.9586486730940127,1.1102230246251565e-15
