model,layer,split,method,mean_group_range,relative_quantization_error_nmse,range_delta_vs_second_moment,nmse_delta_vs_second_moment
llama32_3b,0.0,calibration_a,second_moment,0.04754734838959429,0.0018749928672720131,0.0,0.0
llama32_3b,0.0,calibration_a,range_direct,0.04718748373963333,0.0018497416797343719,-0.00035986464996096146,-2.525118753764124e-05
llama32_3b,0.0,heldout_cal_b,second_moment,0.048289393165043215,0.0019218158710700972,0.0,0.0
llama32_3b,0.0,heldout_cal_b,range_direct,0.04820363921224846,0.001913102951070852,-8.575395279475373e-05,-8.712919999245318e-06
llama32_3b,1.0,calibration_a,second_moment,0.06127438778560723,3.5022119039748585e-06,0.0,0.0
llama32_3b,1.0,calibration_a,range_direct,0.09793025961593926,6.835010498752225e-05,0.03665587183033203,6.48478930835474e-05
llama32_3b,1.0,heldout_cal_b,second_moment,0.061692222065497404,3.463243637050026e-06,0.0,0.0
llama32_3b,1.0,heldout_cal_b,range_direct,0.09837007125099007,6.848576289972586e-05,0.03667784918549266,6.502251926267583e-05
llama32_3b,2.0,calibration_a,second_moment,0.08824668395973134,0.0059681319107780335,0.0,0.0
llama32_3b,2.0,calibration_a,range_direct,0.08661838437513936,0.005820854339847058,-0.0016282995845919856,-0.00014727757093097558
llama32_3b,2.0,heldout_cal_b,second_moment,0.08854817571691953,0.006001692147071349,0.0,0.0
llama32_3b,2.0,heldout_cal_b,range_direct,0.08788590820013553,0.005959866108590465,-0.0006622675167839986,-4.1826038480884294e-05
llama32_3b,3.0,calibration_a,second_moment,0.12466555123802436,0.0068360644869323445,0.0,0.0
llama32_3b,3.0,calibration_a,range_direct,0.12285614689244895,0.006682663750062202,-0.001809404345575416,-0.00015340073687014275
llama32_3b,3.0,heldout_cal_b,second_moment,0.12555546981636923,0.006984646951746187,0.0,0.0
llama32_3b,3.0,heldout_cal_b,range_direct,0.12510490944110586,0.006961729429358137,-0.0004505603752633647,-2.2917522388049387e-05
llama32_3b,4.0,calibration_a,second_moment,0.15525014210169985,0.006948412496019334,0.0,0.0
llama32_3b,4.0,calibration_a,range_direct,0.1529550670211961,0.006784873054341771,-0.00229507508050375,-0.00016353944167756332
llama32_3b,4.0,heldout_cal_b,second_moment,0.15641294172699816,0.007155793861611435,0.0,0.0
llama32_3b,4.0,heldout_cal_b,range_direct,0.1559310836733161,0.007135897058760744,-0.00048185805368206047,-1.9896802850690593e-05
llama32_3b,5.0,calibration_a,second_moment,0.17683685378582226,0.00695371854937167,0.0,0.0
llama32_3b,5.0,calibration_a,range_direct,0.1744758225584846,0.006798495168231676,-0.002361031227337662,-0.00015522338113999404
llama32_3b,5.0,heldout_cal_b,second_moment,0.17787169520945412,0.007156109763816634,0.0,0.0
llama32_3b,5.0,heldout_cal_b,range_direct,0.177475685465474,0.00714001392125115,-0.0003960097439801302,-1.609584256548422e-05
llama32_3b,6.0,calibration_a,second_moment,0.19361299439555069,0.007054907325756238,0.0,0.0
llama32_3b,6.0,calibration_a,range_direct,0.19111132355787674,0.00690329823409029,-0.0025016708376739416,-0.00015160909166594787
llama32_3b,6.0,heldout_cal_b,second_moment,0.19491273808741028,0.007245257330707198,0.0,0.0
llama32_3b,6.0,heldout_cal_b,range_direct,0.19451385802281607,0.007235950942703134,-0.0003988800645942092,-9.306388004064366e-06
llama32_3b,7.0,calibration_a,second_moment,0.20044806098044887,0.007291108609450669,0.0,0.0
llama32_3b,7.0,calibration_a,range_direct,0.19812692500468643,0.007144359654524708,-0.002321135975762445,-0.00014674895492596072
llama32_3b,7.0,heldout_cal_b,second_moment,0.201666066339655,0.007463725411262825,0.0,0.0
llama32_3b,7.0,heldout_cal_b,range_direct,0.20147843883123073,0.007462600552084446,-0.00018762750842427067,-1.1248591783794004e-06
llama32_3b,8.0,calibration_a,second_moment,0.20566836697445012,0.0073015040885456555,0.0,0.0
llama32_3b,8.0,calibration_a,range_direct,0.20331147801276472,0.007151467028660246,-0.0023568889616853994,-0.00015003705988540957
llama32_3b,8.0,heldout_cal_b,second_moment,0.2079021050488734,0.007543477311069352,0.0,0.0
llama32_3b,8.0,heldout_cal_b,range_direct,0.2077713505247516,0.007545425567667321,-0.0001307545241218122,1.948256597968448e-06
llama32_3b,9.0,calibration_a,second_moment,0.20758461765852587,0.007231528220112462,0.0,0.0
llama32_3b,9.0,calibration_a,range_direct,0.20525070902287723,0.007084876852795218,-0.0023339086356486405,-0.00014665136731724458
llama32_3b,9.0,heldout_cal_b,second_moment,0.2092865296015276,0.0074816700157768245,0.0,0.0
llama32_3b,9.0,heldout_cal_b,range_direct,0.20921617004479742,0.007485633270089485,-7.03595567301818e-05,3.963254312660397e-06
llama32_3b,10.0,calibration_a,second_moment,0.21352836035256928,0.007078422333965436,0.0,0.0
llama32_3b,10.0,calibration_a,range_direct,0.2111820210411679,0.006939567132921697,-0.0023463393114013797,-0.00013885520104373918
llama32_3b,10.0,heldout_cal_b,second_moment,0.21455365881209332,0.007234783721940826,0.0,0.0
llama32_3b,10.0,heldout_cal_b,range_direct,0.21446176048517884,0.007239530375570438,-9.189832691447464e-05,4.74665362961129e-06
