model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
mistral_7b_v03,down,0,1,0.13264840640439055,0.2441731392977079,0.2441731392977079,6.168563634408293e-06
mistral_7b_v03,down,0,2,0.022592662392029936,0.04158754297083376,0.2857606822685416,0.00022004182559021363
mistral_7b_v03,down,0,3,0.00916564388028953,0.016871699408980183,0.3026323816775218,0.001323218243742929
mistral_7b_v03,down,0,4,0.008042595383173139,0.014804442933327524,0.3174368246108494,0.001764144818307514
mistral_7b_v03,down,0,5,0.004553559293932715,0.008381984359376395,0.3258188089702258,0.003947170666827519
mistral_7b_v03,down,0,6,0.004186055725058991,0.007705500543645923,0.33352430951387174,0.005708146791811159
mistral_7b_v03,down,0,7,0.0031493935780274067,0.00579726012302504,0.33932156963689675,0.0112203376695671
mistral_7b_v03,down,0,8,0.0031349070025460733,0.0057705938952969296,0.3450921635321937,0.01263806013213093
mistral_7b_v03,down,0,9,0.002676630410475745,0.004927019236651326,0.350019182768845,0.014792488629926851
mistral_7b_v03,down,0,10,0.0025968954156527163,0.004780246693161644,0.35479942946200665,0.01698283131494063
mistral_7b_v03,down,0,11,0.0024113755166963644,0.004438750120694214,0.3592381795827008,0.01910987057623588
mistral_7b_v03,down,0,12,0.002151095905698034,0.0039596392784659205,0.3631978188611668,0.021520244167173064
mistral_7b_v03,down,0,13,0.001994122235489931,0.003670689302505056,0.36686850816367184,0.026185540078985582
mistral_7b_v03,down,0,14,0.0018168693132521781,0.003344410203904049,0.3702129183675759,0.030415557321667747
mistral_7b_v03,down,0,15,0.0016188567923615476,0.002979917782497033,0.373192836150073,0.03391577924099405
mistral_7b_v03,down,0,16,0.0015403443145139892,0.002835395592523362,0.3760282317425963,0.04445299163638952
mistral_7b_v03,down,0,17,0.0013571077889782625,0.002498102149753573,0.37852633389234985,0.047445229703289446
mistral_7b_v03,down,0,18,0.0013093835638903558,0.002410253571876659,0.38093658746422654,0.048440173812361785
mistral_7b_v03,down,0,19,0.0012655442887915484,0.0023295562328315266,0.383266143697058,0.05552707717565576
mistral_7b_v03,down,0,20,0.0012311214251347932,0.0022661921946910074,0.38553233589174907,0.06303164989911414
mistral_7b_v03,down,0,21,0.001210002209751239,0.002227316905801474,0.3877596527975505,0.059492367439083
mistral_7b_v03,down,0,22,0.001151277037482236,0.0021192182858677596,0.38987887108341823,0.0653088233640336
mistral_7b_v03,down,0,23,0.0011064133800848652,0.0020366353105872492,0.3919155063940055,0.07120772971377773
mistral_7b_v03,down,0,24,0.0010394347217791118,0.0019133440498192422,0.39382885044382476,0.07159459790702888
mistral_7b_v03,down,0,25,0.0009909311313265631,0.001824060851709015,0.39565291129553376,0.08533260778067032
mistral_7b_v03,down,0,26,0.0009394804528649751,0.0017293527883443947,0.3973822640838782,0.08785183174130905
mistral_7b_v03,down,0,27,0.0009202067785843634,0.0016938746873821303,0.3990761387712603,0.08921102218929065
mistral_7b_v03,down,0,28,0.0009116981492960004,0.0016782123904818093,0.4007543511617421,0.08558760173359768
mistral_7b_v03,down,0,29,0.0009022827472255947,0.0016608809475825072,0.40241523210932456,0.09982463665694476
mistral_7b_v03,down,0,30,0.0008687658896908893,0.0015991846442082046,0.4040144167535328,0.10604542482296352
mistral_7b_v03,down,0,31,0.0008331997782077294,0.0015337161675875316,0.4055481329211203,0.10004991569737719
mistral_7b_v03,down,0,32,0.0008051950421498412,0.0014821663261396665,0.40703029924726003,0.11359202373562208
mistral_7b_v03,down,0,33,0.0007890576634054843,0.0014524613750222493,0.4084827606222823,0.11641632261417643
mistral_7b_v03,down,0,34,0.0007728772090270631,0.00142267713224139,0.4099054377545237,0.1246232598706053
mistral_7b_v03,down,0,35,0.0007594820744027494,0.0013980199790859802,0.41130345773360966,0.11961922553946633
mistral_7b_v03,down,0,36,0.0007464270430208646,0.0013739888724745148,0.41267744660608413,0.10913295591228042
mistral_7b_v03,down,0,37,0.0007178070497314878,0.001321306493563439,0.4139987530996476,0.12788099051985802
mistral_7b_v03,down,0,38,0.0006979069272288035,0.0012846752552726746,0.4152834283549203,0.13853180348590557
mistral_7b_v03,down,0,39,0.0006747528326874632,0.0012420542535961114,0.41652548260851635,0.1445908767100294
mistral_7b_v03,down,0,40,0.0006740405426733951,0.001240743102610285,0.41776622571112665,0.1385873320064875
mistral_7b_v03,down,0,41,0.0006660392677542427,0.0012260147205033984,0.4189922404316301,0.14079965709820552
mistral_7b_v03,down,0,42,0.0006294584719123305,0.001158678459172839,0.4201509188908029,0.15101146546764657
mistral_7b_v03,down,0,43,0.0006189243600103003,0.0011392877462155298,0.42129020663701844,0.15285148018444353
mistral_7b_v03,down,0,44,0.0006047663300954838,0.0011132262901884396,0.42240343292720683,0.1524626922081591
mistral_7b_v03,down,0,45,0.0005922792072323488,0.0010902405636883214,0.4234936734908952,0.17866165235339462
mistral_7b_v03,down,0,46,0.0005853760820415798,0.0010775336055386955,0.42457120709643387,0.14031629843654472
mistral_7b_v03,down,0,47,0.0005782680444137019,0.0010644494539164434,0.4256356565503503,0.17046409544366323
mistral_7b_v03,down,0,48,0.0005648313082932535,0.0010397157226234891,0.42667537227297386,0.16452625458991305
mistral_7b_v03,down,0,49,0.000554380916715947,0.0010204791182232662,0.4276958513911971,0.16186568655721867
mistral_7b_v03,down,0,50,0.0005421010787301436,0.0009978749522755808,0.4286937263434727,0.19097356143119637
mistral_7b_v03,down,0,51,0.0005305752760025333,0.0009766587800560135,0.42967038512352873,0.1699311470912323
mistral_7b_v03,down,0,52,0.000518754048601956,0.0009548988035663487,0.4306252839270951,0.16506426370348534
mistral_7b_v03,down,0,53,0.000508322536853841,0.0009356969522950028,0.4315609808793901,0.2058574749073717
mistral_7b_v03,down,0,54,0.0005025776576930898,0.0009251220406349999,0.43248610292002504,0.18055303879367637
mistral_7b_v03,down,0,55,0.0004953190489330999,0.0009117607245370334,0.43339786364456206,0.17519369937259546
mistral_7b_v03,down,0,56,0.0004883598152850423,0.0008989504844971183,0.4342968141290592,0.17665324297115856
mistral_7b_v03,down,0,57,0.00048375935592565543,0.0008904821686353467,0.43518729629769454,0.20171110493637556
mistral_7b_v03,down,0,58,0.0004760148375591743,0.0008762264122855301,0.4360635227099801,0.18919906253745533
mistral_7b_v03,down,0,59,0.00046895595138354536,0.000863232736415848,0.4369267554463959,0.21581622122015556
mistral_7b_v03,down,0,60,0.0004558532088028106,0.0008391138052046106,0.43776586925160055,0.2203126938283177
mistral_7b_v03,down,0,61,0.0004486802029919985,0.0008259100631130003,0.43859177931471355,0.21705388940813242
mistral_7b_v03,down,0,62,0.00043916750691911163,0.0008083995258493963,0.43940017884056287,0.2290463837820482
mistral_7b_v03,down,0,63,0.00043497885939131054,0.0008006892544334185,0.4402008680949963,0.21932304819183446
mistral_7b_v03,down,0,64,0.0004244395287470857,0.0007812889350533906,0.44098215703004967,0.2485156323836252
mistral_7b_v03,down,0,65,0.0004176728050159552,0.0007688330584923606,0.4417509900885421,0.20154825686455188
mistral_7b_v03,down,0,66,0.00041034787841044777,0.0007553496675276813,0.44250633975606973,0.20633328509831284
mistral_7b_v03,down,0,67,0.00040553308736798315,0.0007464868196747112,0.4432528265757445,0.22981303261556574
mistral_7b_v03,down,0,68,0.00039947750148719305,0.0007353399732490428,0.4439881665489935,0.23840673267199944
mistral_7b_v03,down,0,69,0.0003959041037124865,0.000728762225530389,0.44471692877452385,0.24371872003259196
mistral_7b_v03,down,0,70,0.00038965954979377864,0.0007172675353552476,0.4454341963098791,0.2419353099768276
mistral_7b_v03,down,0,71,0.00038019409254273583,0.000699843953161358,0.44613404026304043,0.22167789402371704
mistral_7b_v03,down,0,72,0.00037588630088439674,0.0006919143666614608,0.4468259546297019,0.2377325537228612
mistral_7b_v03,down,0,73,0.00037137201127729157,0.0006836046681513594,0.44750955929785324,0.26831386813834146
mistral_7b_v03,down,0,74,0.0003659130169565815,0.0006735560002719085,0.4481831152981252,0.23877344587404092
mistral_7b_v03,down,0,75,0.00036237646699993165,0.0006670460803369052,0.4488501613784621,0.2497454213752257
mistral_7b_v03,down,0,76,0.00035744790382731545,0.0006579738059334267,0.4495081351843956,0.2265175046351663
mistral_7b_v03,down,0,77,0.0003528909821163673,0.0006495856321900951,0.45015772081658567,0.23684280785846099
mistral_7b_v03,down,0,78,0.00034807781077682965,0.0006407257658124334,0.4507984465823981,0.23839363549533135
mistral_7b_v03,down,0,79,0.000345514818247967,0.0006360079260077009,0.4514344545084058,0.24967707958318208
mistral_7b_v03,down,0,80,0.0003438405308052831,0.0006329259740110781,0.45206738048241685,0.2700608560081317
mistral_7b_v03,down,0,81,0.0003347997551713036,0.0006162841263773779,0.4526836646087942,0.2634809508723843
mistral_7b_v03,down,0,82,0.0003331560357449381,0.0006132584425916508,0.45329692305138586,0.25390107643337073
mistral_7b_v03,down,0,83,0.0003313437306356748,0.0006099224339663754,0.45390684548535226,0.2468865441237378
mistral_7b_v03,down,0,84,0.00032624254272275424,0.0006005323998106081,0.4545073778851629,0.2750070761068411
mistral_7b_v03,down,0,85,0.0003194495059185152,0.0005880280873441674,0.4550954059725071,0.26404810710261495
mistral_7b_v03,down,0,86,0.00031499256445969496,0.0005798239526910259,0.4556752299251981,0.2702589519234954
mistral_7b_v03,down,0,87,0.00030871201074257967,0.0005682629957281448,0.4562434929209262,0.24869201408575484
mistral_7b_v03,down,0,88,0.0003053557010263442,0.0005620848538108554,0.4568055777747371,0.27419441303506087
mistral_7b_v03,down,0,89,0.000303274985994046,0.0005582547684356015,0.45736383254317275,0.24608394974340778
