rotation,site,layer,n,round_trip_relative_error,tolerance
hadamard,r1,0,4096,1.3372920193432947e-07,1e-06
hadamard,r2,0,128,1.120687116440422e-07,1e-06
hadamard,r4,0,14336,1.9324045297253178e-07,1e-06
hadamard,r2,1,128,1.1344121730871848e-07,1e-06
hadamard,r4,1,14336,1.9500609482747677e-07,1e-06
hadamard,r2,2,128,1.1334680749541803e-07,1e-06
hadamard,r4,2,14336,1.9427710640229634e-07,1e-06
hadamard,r2,3,128,1.1108675579407645e-07,1e-06
hadamard,r4,3,14336,1.937927578410381e-07,1e-06
hadamard,r2,4,128,1.1224690155131611e-07,1e-06
hadamard,r4,4,14336,1.9490495617446868e-07,1e-06
hadamard,r2,5,128,1.1025962010080548e-07,1e-06
hadamard,r4,5,14336,1.9483732671687903e-07,1e-06
hadamard,r2,6,128,1.149059372096417e-07,1e-06
hadamard,r4,6,14336,1.943890595157427e-07,1e-06
hadamard,r2,7,128,1.1193679938514833e-07,1e-06
hadamard,r4,7,14336,1.9470780898700468e-07,1e-06
hadamard,r2,8,128,1.1756154094655358e-07,1e-06
hadamard,r4,8,14336,1.9410705931477423e-07,1e-06
hadamard,r2,9,128,1.1887252071574039e-07,1e-06
hadamard,r4,9,14336,1.9500915016124054e-07,1e-06
hadamard,r2,10,128,1.1180815562283897e-07,1e-06
hadamard,r4,10,14336,1.941503171565273e-07,1e-06
hadamard,r2,11,128,1.1450432424453538e-07,1e-06
hadamard,r4,11,14336,1.9434435216680868e-07,1e-06
hadamard,r2,12,128,1.1471995975398386e-07,1e-06
hadamard,r4,12,14336,1.9471907819479384e-07,1e-06
hadamard,r2,13,128,1.1087022500078092e-07,1e-06
hadamard,r4,13,14336,1.932290700779049e-07,1e-06
hadamard,r2,14,128,1.118946073574989e-07,1e-06
hadamard,r4,14,14336,1.939201581535599e-07,1e-06
hadamard,r2,15,128,1.103660665080497e-07,1e-06
hadamard,r4,15,14336,1.9407629281431582e-07,1e-06
hadamard,r2,16,128,1.1085050743986358e-07,1e-06
hadamard,r4,16,14336,1.9370183679257025e-07,1e-06
hadamard,r2,17,128,1.1614254447067651e-07,1e-06
hadamard,r4,17,14336,1.9411508844768832e-07,1e-06
hadamard,r2,18,128,1.1449497350213278e-07,1e-06
hadamard,r4,18,14336,1.9447128352112486e-07,1e-06
hadamard,r2,19,128,1.1162447322021762e-07,1e-06
hadamard,r4,19,14336,1.949292851577411e-07,1e-06
hadamard,r2,20,128,1.1431342272771872e-07,1e-06
hadamard,r4,20,14336,1.9378786930701608e-07,1e-06
hadamard,r2,21,128,1.1129542798471448e-07,1e-06
hadamard,r4,21,14336,1.9432569331456762e-07,1e-06
hadamard,r2,22,128,1.115301770937549e-07,1e-06
hadamard,r4,22,14336,1.9404033935188636e-07,1e-06
hadamard,r2,23,128,1.1373257535751691e-07,1e-06
hadamard,r4,23,14336,1.944589769209415e-07,1e-06
hadamard,r2,24,128,1.1973439484336268e-07,1e-06
hadamard,r4,24,14336,1.93571864315345e-07,1e-06
hadamard,r2,25,128,1.1112717857031384e-07,1e-06
hadamard,r4,25,14336,1.9469064227450872e-07,1e-06
hadamard,r2,26,128,1.1231857399707224e-07,1e-06
hadamard,r4,26,14336,1.9398900974465505e-07,1e-06
hadamard,r2,27,128,1.1857931525582899e-07,1e-06
hadamard,r4,27,14336,1.9424922470534511e-07,1e-06
hadamard,r2,28,128,1.1257723286917098e-07,1e-06
hadamard,r4,28,14336,1.9468181733373058e-07,1e-06
hadamard,r2,29,128,1.1727315296639063e-07,1e-06
hadamard,r4,29,14336,1.934915445644947e-07,1e-06
hadamard,r2,30,128,1.0836434682914842e-07,1e-06
hadamard,r4,30,14336,1.9446612498086324e-07,1e-06
hadamard,r2,31,128,1.0980470221966243e-07,1e-06
hadamard,r4,31,14336,1.9555902497359057e-07,1e-06
nar_k8,r1,0,4096,1.3968249845675018e-07,1e-06
nar_k8,r2,0,128,1.2372917979064368e-07,1e-06
nar_k8,r4,0,14336,1.3086777528314997e-07,1e-06
nar_k8,r2,1,128,1.1429047930278102e-07,1e-06
nar_k8,r4,1,14336,1.484890930214533e-07,1e-06
nar_k8,r2,2,128,1.145131705015956e-07,1e-06
