protocol,row,benchmark,headline_metric,value,effective_bits,kv_policy,git_commit,artifact
g128_asym,bf16,c4,ppl,8.318133505301208,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,d792e873702335c438dc94bc623f218e9d28e2f7,results/mistral_7b_v03/e25_bf16_c4.json
g128_asym,bf16,eight_task,eight-task mean,68.76588084967223,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,3c7720056b410d422efd698e561bc92568da1490,results/mistral_7b_v03/e25_bf16_eight_task.json
g128_asym,bf16,six_task,six_task_mean,74.4295699767957,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_bf16_six_task.json
g128_asym,bf16,wikitext,ppl,5.451695091296454,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,618ac3a93e962caf441c572836c82d9db4f1c2cf,results/mistral_7b_v03/e25_bf16_wikitext.json
g128_asym,hadamard_asym_g128,c4,ppl,8.654518710226723,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25_hadamard_asym_g128_c4.json
g128_asym,hadamard_asym_g128,eight_task,eight-task mean,67.29291071283683,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,3c7720056b410d422efd698e561bc92568da1490,results/mistral_7b_v03/e25_hadamard_asym_g128_eight_task.json
g128_asym,hadamard_asym_g128,six_task,six_task_mean,73.20363806705662,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_hadamard_asym_g128_six_task.json
g128_asym,hadamard_asym_g128,wikitext,ppl,5.642183804779718,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,618ac3a93e962caf441c572836c82d9db4f1c2cf,results/mistral_7b_v03/e25_hadamard_asym_g128_wikitext.json
g128_asym,nar_k8_asym_g128,c4,ppl,8.614018838335815,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25_nar_k8_asym_g128_c4.json
g128_asym,nar_k8_asym_g128,eight_task,eight-task mean,67.67224336985744,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_nar_k8_asym_g128_eight_task.json
