model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_0.6b_base,down,0,1,0.9799301078513162,0.039465718073029885,0.039465718073029885,0.005774955487060426
qwen3_0.6b_base,down,0,2,0.5743769964910018,0.023132466723419603,0.06259818479644949,0.017777503358533852
qwen3_0.6b_base,down,0,3,0.516395407140212,0.020797315430066687,0.08339550022651618,0.027461848413633434
qwen3_0.6b_base,down,0,4,0.3892587344007398,0.015677011397281136,0.09907251162379731,0.06488039944817435
qwen3_0.6b_base,down,0,5,0.35738086744831465,0.014393161763685783,0.11346567338748308,0.06166935358319656
qwen3_0.6b_base,down,0,6,0.3025724903834551,0.01218580846373976,0.12565148185122285,0.048884083928195876
qwen3_0.6b_base,down,0,7,0.2614034344118615,0.010527765361185935,0.13617924721240876,0.08523223994546923
qwen3_0.6b_base,down,0,8,0.2415089959337426,0.00972653648383236,0.14590578369624116,0.10349045364356696
qwen3_0.6b_base,down,0,9,0.2308306574441349,0.009296476938827356,0.1552022606350685,0.09115351704505024
qwen3_0.6b_base,down,0,10,0.21961781012072526,0.008844890578008288,0.16404715121307684,0.12162347118895878
qwen3_0.6b_base,down,0,11,0.2065941510232426,0.00832037555994489,0.1723675267730217,0.1020719540707616
qwen3_0.6b_base,down,0,12,0.1968998777310207,0.007929948269663303,0.180297475042685,0.10423766022576571
qwen3_0.6b_base,down,0,13,0.18677218818692828,0.007522065567544134,0.18781954061022912,0.14257289410055138
qwen3_0.6b_base,down,0,14,0.18221194192232032,0.007338406149407435,0.19515794675963652,0.11676180179757428
qwen3_0.6b_base,down,0,15,0.1787508292605692,0.007199013252471984,0.2023569600121085,0.09473462371971385
qwen3_0.6b_base,down,0,16,0.16986100028341872,0.00684098416313319,0.20919794417524173,0.10617869965075453
qwen3_0.6b_base,down,0,17,0.15676384594386783,0.006313509196722522,0.21551145337196426,0.13467150043943188
qwen3_0.6b_base,down,0,18,0.15182494935688004,0.006114600010514025,0.22162605338247832,0.15076199131588766
qwen3_0.6b_base,down,0,19,0.1451790317003766,0.005846942235263862,0.22747299561774215,0.22040319693261187
qwen3_0.6b_base,down,0,20,0.14180084261123138,0.005710889003383961,0.23318388462112608,0.17975097336094217
qwen3_0.6b_base,down,0,21,0.1357041133782331,0.005465349249936955,0.23864923387106304,0.18379934219965732
qwen3_0.6b_base,down,0,22,0.12850067005983906,0.0051752376788350655,0.24382447154989814,0.22434480053135192
qwen3_0.6b_base,down,0,23,0.12387362003982182,0.004988887805372952,0.24881335935527107,0.22807466060476245
qwen3_0.6b_base,down,0,24,0.12307991042158886,0.0049569219337520475,0.2537702812890231,0.17906205335149822
qwen3_0.6b_base,down,1,1,2.892063273874486,0.0688555087516428,0.0688555087516428,0.0026987796320038283
qwen3_0.6b_base,down,1,2,1.1718910907682771,0.027900896216653554,0.09675640496829635,0.015062604507363147
qwen3_0.6b_base,down,1,3,0.6815800583666043,0.016227356468219406,0.11298376143651576,0.02744553856486082
qwen3_0.6b_base,down,1,4,0.595963691590894,0.014188964519791855,0.12717272595630763,0.04301092642292786
qwen3_0.6b_base,down,1,5,0.5712185952719881,0.013599822431671479,0.1407725483879791,0.04472290165957857
qwen3_0.6b_base,down,1,6,0.44004869359732796,0.010476871978166406,0.1512494203661455,0.07042940615202335
qwen3_0.6b_base,down,1,7,0.430403993495558,0.01024724673508702,0.16149666710123253,0.07525489083258434
qwen3_0.6b_base,down,1,8,0.4010240280669128,0.009547755653764697,0.17104442275499723,0.07599569661710186
qwen3_0.6b_base,down,1,9,0.37611301323991886,0.008954663305154199,0.17999908606015141,0.0806536123777749
qwen3_0.6b_base,down,1,10,0.3705507689411738,0.008822234957389206,0.18882132101754062,0.09683312262465649
qwen3_0.6b_base,down,1,11,0.3541487067542784,0.008431727478988932,0.19725304849652955,0.09350196913723792
qwen3_0.6b_base,down,1,12,0.3407655425568529,0.008113095245785414,0.205366143742315,0.10499960367585523
qwen3_0.6b_base,down,1,13,0.33761425886158497,0.008038068103738229,0.2134042118460532,0.08362218588259154
qwen3_0.6b_base,down,1,14,0.3335419834434111,0.007941113587483983,0.2213453254335372,0.09591433265461881
qwen3_0.6b_base,down,1,15,0.321292629975565,0.007649475616583957,0.22899480105012113,0.11623853873002069
qwen3_0.6b_base,down,1,16,0.30727894324196364,0.007315831626756732,0.23631063267687785,0.12365532179080602
qwen3_0.6b_base,down,1,17,0.2994640606090874,0.007129771479185969,0.2434404041560638,0.1297511082615857
qwen3_0.6b_base,down,1,18,0.29034268692886483,0.006912605820696013,0.25035300997675985,0.1322024074618791
qwen3_0.6b_base,down,1,19,0.26577984725715686,0.00632780297863555,0.2566808129553954,0.14683706267682647
qwen3_0.6b_base,down,1,20,0.23131165133166173,0.005507169077696814,0.26218798203309224,0.19012457641158712
qwen3_0.6b_base,down,1,21,0.2177573430695783,0.0051844621716642825,0.26737244420475653,0.16807733526980687
qwen3_0.6b_base,down,1,22,0.19564499348442133,0.004658001670563144,0.27203044587531966,0.1761935879814452
qwen3_0.6b_base,down,1,23,0.1856211684505492,0.004419350055095525,0.2764497959304152,0.20789240447899685
qwen3_0.6b_base,down,1,24,0.17810229019837243,0.004240337309429794,0.28069013323984493,0.21557314985955264
qwen3_0.6b_base,down,2,1,16077.99358753484,0.996716975957151,0.996716975957151,1.176328056701798e-07
qwen3_0.6b_base,down,2,2,6.4498771789673075,0.0003998447966852944,0.9971168207538363,0.0006640822719974004
qwen3_0.6b_base,down,2,3,2.007573074593336,0.000124454718371888,0.9972412754722083,0.003805476904889693
qwen3_0.6b_base,down,2,4,1.097584259144741,6.804212588323658e-05,0.9973093175980916,0.01978036852024211
qwen3_0.6b_base,down,2,5,0.8347048352268047,5.174554117430979e-05,0.9973610631392659,0.024808464654658902
qwen3_0.6b_base,down,2,6,0.7394696772530652,4.584166404290081e-05,0.9974069048033087,0.024213766793456597
qwen3_0.6b_base,down,2,7,0.5191080185320887,3.218086707209237e-05,0.9974390856703809,0.043085625821071054
qwen3_0.6b_base,down,2,8,0.4411957450885793,2.73508809700474e-05,0.9974664365513509,0.12632647061910582
qwen3_0.6b_base,down,2,9,0.4052511977164354,2.5122584238626395e-05,0.9974915591355895,0.09270624984902755
qwen3_0.6b_base,down,2,10,0.38052492241749525,2.358973760521619e-05,0.9975151488731947,0.08957981332290801
qwen3_0.6b_base,down,2,11,0.3635149041809279,2.2535241977672722e-05,0.9975376841151724,0.07677418017417188
