rotation,site,layer,n,round_trip_relative_error,tolerance
hadamard,r1,0,1024,1.2389180881200446e-07,1e-06
hadamard,r2,0,128,1.120687116440422e-07,1e-06
hadamard,r4,0,3072,1.466459451648916e-07,1e-06
hadamard,r2,1,128,1.1344121730871848e-07,1e-06
hadamard,r4,1,3072,1.4632341560627538e-07,1e-06
hadamard,r2,2,128,1.1334680749541803e-07,1e-06
hadamard,r4,2,3072,1.463022130110403e-07,1e-06
hadamard,r2,3,128,1.1108675579407645e-07,1e-06
hadamard,r4,3,3072,1.4735319098235777e-07,1e-06
hadamard,r2,4,128,1.1224690155131611e-07,1e-06
hadamard,r4,4,3072,1.4667634218312742e-07,1e-06
hadamard,r2,5,128,1.1025962010080548e-07,1e-06
hadamard,r4,5,3072,1.4529392444728728e-07,1e-06
hadamard,r2,6,128,1.149059372096417e-07,1e-06
hadamard,r4,6,3072,1.4682672144772368e-07,1e-06
hadamard,r2,7,128,1.1193679938514833e-07,1e-06
hadamard,r4,7,3072,1.4779806178921717e-07,1e-06
hadamard,r2,8,128,1.1756154094655358e-07,1e-06
hadamard,r4,8,3072,1.4819804050603125e-07,1e-06
hadamard,r2,9,128,1.1887252071574039e-07,1e-06
hadamard,r4,9,3072,1.4720184537964087e-07,1e-06
hadamard,r2,10,128,1.1180815562283897e-07,1e-06
hadamard,r4,10,3072,1.4698673567181686e-07,1e-06
hadamard,r2,11,128,1.1450432424453538e-07,1e-06
hadamard,r4,11,3072,1.4729259589785215e-07,1e-06
hadamard,r2,12,128,1.1471995975398386e-07,1e-06
hadamard,r4,12,3072,1.4805473824708315e-07,1e-06
hadamard,r2,13,128,1.1087022500078092e-07,1e-06
hadamard,r4,13,3072,1.473107715810329e-07,1e-06
hadamard,r2,14,128,1.118946073574989e-07,1e-06
hadamard,r4,14,3072,1.4640872336713073e-07,1e-06
hadamard,r2,15,128,1.103660665080497e-07,1e-06
hadamard,r4,15,3072,1.4764546563128533e-07,1e-06
hadamard,r2,16,128,1.1085050743986358e-07,1e-06
hadamard,r4,16,3072,1.4580538731934212e-07,1e-06
hadamard,r2,17,128,1.1614254447067651e-07,1e-06
hadamard,r4,17,3072,1.466012520268123e-07,1e-06
hadamard,r2,18,128,1.1449497350213278e-07,1e-06
hadamard,r4,18,3072,1.4677797821605054e-07,1e-06
hadamard,r2,19,128,1.1162447322021762e-07,1e-06
hadamard,r4,19,3072,1.4690756700019847e-07,1e-06
hadamard,r2,20,128,1.1431342272771872e-07,1e-06
hadamard,r4,20,3072,1.4704895079376001e-07,1e-06
hadamard,r2,21,128,1.1129542798471448e-07,1e-06
hadamard,r4,21,3072,1.4783861956857436e-07,1e-06
hadamard,r2,22,128,1.115301770937549e-07,1e-06
hadamard,r4,22,3072,1.4662619207683747e-07,1e-06
hadamard,r2,23,128,1.1373257535751691e-07,1e-06
hadamard,r4,23,3072,1.4688183114230924e-07,1e-06
hadamard,r2,24,128,1.1973439484336268e-07,1e-06
hadamard,r4,24,3072,1.47263762073635e-07,1e-06
hadamard,r2,25,128,1.1112717857031384e-07,1e-06
hadamard,r4,25,3072,1.47881848988618e-07,1e-06
hadamard,r2,26,128,1.1231857399707224e-07,1e-06
hadamard,r4,26,3072,1.4652547974947083e-07,1e-06
hadamard,r2,27,128,1.1857931525582899e-07,1e-06
hadamard,r4,27,3072,1.4630337830112694e-07,1e-06
nar_k8,r1,0,1024,1.4850617446882097e-07,1e-06
nar_k8,r2,0,128,1.1754423923093782e-07,1e-06
nar_k8,r4,0,3072,1.39181082658979e-07,1e-06
nar_k8,r2,1,128,1.1853377657189412e-07,1e-06
nar_k8,r4,1,3072,1.2974112451047404e-07,1e-06
nar_k8,r2,2,128,1.2536055749023944e-07,1e-06
nar_k8,r4,2,3072,1.3047953473233065e-07,1e-06
nar_k8,r2,3,128,1.2028084483972634e-07,1e-06
nar_k8,r4,3,3072,1.4730176189914346e-07,1e-06
nar_k8,r2,4,128,1.1757007456481006e-07,1e-06
nar_k8,r4,4,3072,1.3818400645959628e-07,1e-06
nar_k8,r2,5,128,1.2404004223753873e-07,1e-06
nar_k8,r4,5,3072,1.3519242259008024e-07,1e-06
nar_k8,r2,6,128,1.1607667005364419e-07,1e-06
nar_k8,r4,6,3072,1.3330461001714866e-07,1e-06
nar_k8,r2,7,128,1.1556557666381195e-07,1e-06
nar_k8,r4,7,3072,1.4606681020268297e-07,1e-06
nar_k8,r2,8,128,1.2156480977409956e-07,1e-06
nar_k8,r4,8,3072,1.4017700777912978e-07,1e-06
nar_k8,r2,9,128,1.1152226164767853e-07,1e-06
nar_k8,r4,9,3072,1.4719377361416264e-07,1e-06
nar_k8,r2,10,128,1.198886536712962e-07,1e-06
nar_k8,r4,10,3072,1.4008381299390749e-07,1e-06
nar_k8,r2,11,128,1.2150121619924903e-07,1e-06
nar_k8,r4,11,3072,1.5224050287088176e-07,1e-06
nar_k8,r2,12,128,1.148256814076376e-07,1e-06
nar_k8,r4,12,3072,1.500881694482814e-07,1e-06
nar_k8,r2,13,128,1.1647397002434445e-07,1e-06
nar_k8,r4,13,3072,1.2556343165215367e-07,1e-06
nar_k8,r2,14,128,1.1674679711859426e-07,1e-06
nar_k8,r4,14,3072,1.4790516900120565e-07,1e-06
nar_k8,r2,15,128,1.234031401509128e-07,1e-06
nar_k8,r4,15,3072,1.326951490909778e-07,1e-06
nar_k8,r2,16,128,1.229644368549998e-07,1e-06
nar_k8,r4,16,3072,1.2842060925777332e-07,1e-06
nar_k8,r2,17,128,1.1524713272592635e-07,1e-06
nar_k8,r4,17,3072,1.270874747660855e-07,1e-06
nar_k8,r2,18,128,1.2215384970204468e-07,1e-06
nar_k8,r4,18,3072,1.4975739759393036e-07,1e-06
nar_k8,r2,19,128,1.210983811006372e-07,1e-06
nar_k8,r4,19,3072,1.2875588595306908e-07,1e-06
nar_k8,r2,20,128,1.1985683556758886e-07,1e-06
nar_k8,r4,20,3072,1.4111199675426178e-07,1e-06
nar_k8,r2,21,128,1.1972714730745793e-07,1e-06
nar_k8,r4,21,3072,1.612836371123194e-07,1e-06
