model,layer,top_eigenvalue,trace,rows,anchor_error
qwen3_1.7b_base,0,0.16511979266540744,3.027939692918154,2097152,2.9802322387695312e-08
qwen3_1.7b_base,1,0.08629205062675485,2.451669053043588,2097152,5.960464477539063e-08
qwen3_1.7b_base,2,0.19200454993266045,4.224361576474621,2097152,2.384185791015625e-07
qwen3_1.7b_base,3,0.9534779705640302,23.479466489399783,2097152,1.1920928955078125e-07
qwen3_1.7b_base,4,0.8528062865608196,24.131666505651076,2097152,1.1920928955078125e-07
qwen3_1.7b_base,5,1.1102708081134063,33.44608544628136,2097152,1.1920928955078125e-07
qwen3_1.7b_base,6,0.708113689771463,22.564947822364044,2097152,5.960464477539063e-08
qwen3_1.7b_base,7,1.3187080065214964,50.97330396878533,2097152,1.1920928955078125e-07
qwen3_1.7b_base,8,4.542363076486488,75.16877318685873,2097152,5.960464477539063e-08
qwen3_1.7b_base,9,3.031276475989735,110.66052163252607,2097152,1.7881393432617188e-07
qwen3_1.7b_base,10,4.136782672247018,111.3391985797789,2097152,1.1920928955078125e-07
qwen3_1.7b_base,11,5.969844591748095,179.12515395926312,2097152,1.4901161193847656e-08
qwen3_1.7b_base,12,16.059131541717136,271.4356588385999,2097152,1.1920928955078125e-07
qwen3_1.7b_base,13,30.49174609451961,336.4919177116826,2097152,5.960464477539063e-08
qwen3_1.7b_base,14,32.02040640963154,457.90340663958335,2097152,1.4901161193847656e-08
qwen3_1.7b_base,15,20.718144569953193,721.0785489752889,2097152,1.1920928955078125e-07
qwen3_1.7b_base,16,32.14988471645384,886.9980504661798,2097152,1.1920928955078125e-07
qwen3_1.7b_base,17,100.1602065218193,2266.431067056954,2097152,2.9802322387695312e-08
qwen3_1.7b_base,18,78.27561992206441,2851.9616264924407,2097152,1.1920928955078125e-07
qwen3_1.7b_base,19,108.2532954550887,4804.305657416582,2097152,5.960464477539063e-08
qwen3_1.7b_base,20,234.4187298024827,7486.846216648817,2097152,5.960464477539063e-08
qwen3_1.7b_base,21,239.56817500856783,12014.633736819027,2097152,1.1920928955078125e-07
qwen3_1.7b_base,22,388.25703857328926,17441.758595347404,2097152,2.9802322387695312e-08
qwen3_1.7b_base,23,475.6427976596199,21766.648239016533,2097152,5.960464477539063e-08
qwen3_1.7b_base,24,1244.4988703262313,35545.65049445629,2097152,1.4901161193847656e-08
qwen3_1.7b_base,25,1129.6322244164212,54525.95904660225,2097152,1.1920928955078125e-07
qwen3_1.7b_base,26,1993.123729732603,58041.886012315765,2097152,7.450580596923828e-09
qwen3_1.7b_base,27,1093.768607827917,29802.435893654823,2097152,7.450580596923828e-09
