model,layer,top_eigenvalue,trace,rows,anchor_error
qwen3_30b_a3b_base,0,0.0004428247060066112,0.008538559307972093,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,1,0.0018589018233592623,0.027733212448822542,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,2,0.0016588077708968574,0.038000227577981605,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,3,0.011407193187759589,0.2335559589155309,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,4,0.007716041457491888,0.14197710366306637,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,5,0.006196263408468202,0.13528279905858653,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,6,0.00994837558208265,0.2161554629838065,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,7,0.005663924829766554,0.15958970270139614,1048576,2.384185791015625e-07
qwen3_30b_a3b_base,8,0.029997201641958068,0.38692826074475306,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,9,0.008856438115921962,0.24554029815772083,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,10,0.01064375053001313,0.23678113912819754,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,11,0.00966001567894425,0.2514147099955153,1048576,7.450580596923828e-09
qwen3_30b_a3b_base,12,0.006121309855223972,0.30408290349532774,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,13,0.01399437602670844,0.35196091289708414,1048576,7.450580596923828e-09
qwen3_30b_a3b_base,14,0.015486547238311436,0.6946540345579708,1048576,1.4901161193847656e-08
qwen3_30b_a3b_base,15,0.007802737434358263,0.41323551060304453,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,16,0.01775703253878387,0.4598568123292353,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,17,0.03267360899384131,0.5702957391404196,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,18,0.030773212830310242,0.6022068280035455,1048576,7.450580596923828e-09
qwen3_30b_a3b_base,19,0.02530779466748458,0.5434054347624624,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,20,0.036673857161286655,0.6201144511178427,1048576,1.7881393432617188e-07
qwen3_30b_a3b_base,21,0.029946116083872345,0.8333925920032925,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,22,0.047447367025066425,0.9218398139637429,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,23,0.036953357307281325,1.0848006771193468,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,24,0.03510432299240749,1.1363925819423457,1048576,1.4901161193847656e-08
qwen3_30b_a3b_base,25,0.04426791819147099,1.4191373627400026,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,26,0.05729564735728293,1.9403089130646551,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,27,0.028587032762564128,1.5916649199098174,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,28,0.06593846908663228,1.5171668662187587,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,29,0.12958220716391086,1.9153263530279219,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,30,0.09194508444057257,1.4896980371886455,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,31,0.055865356150459684,1.289512439714599,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,32,0.0712680538642166,1.7059262287184538,1048576,7.450580596923828e-09
qwen3_30b_a3b_base,33,0.06696713230652704,1.9658009410850357,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,34,0.11850613930396278,2.217048789425462,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,35,0.10675030686176248,2.6054332550556865,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,36,0.1253119926956241,3.0823040142349782,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,37,0.16297071597793908,4.134484354581218,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,38,0.21002387187454397,7.211267612961819,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,39,0.11086357807743581,6.497021239105379,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,40,0.4779577794873879,9.093407658074284,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,41,0.6498494035238574,14.83774670076673,1048576,5.960464477539063e-08
qwen3_30b_a3b_base,42,0.8131919941070951,28.17211077210959,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,43,0.7083853064192348,32.59896142198704,1048576,1.4901161193847656e-08
qwen3_30b_a3b_base,44,1.2468166166629788,39.444118954823345,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,45,1.9383474324633656,135.3773865918629,1048576,7.450580596923828e-09
qwen3_30b_a3b_base,46,5.886222991358623,103.88711473485455,1048576,1.1920928955078125e-07
qwen3_30b_a3b_base,47,12.146645444762262,80.69222561386415,1048576,5.960464477539063e-08
