layer,expert,routed_tokens,source,f_at_k6,f_at_k6_own_sigma
0,0,18968,own,0.20519219175144793,0.20519219175144793
0,1,6634,own,0.8467800498593461,0.8467800498593461
0,2,12994,own,0.1754027087375868,0.1754027087375868
0,3,13858,own,0.11672642603809448,0.11672642603809448
0,4,16711,own,0.1518987135464589,0.1518987135464589
0,5,83,shrinkage,0.09778470485033593,0.7402503147373244
0,6,6879,own,0.27449167723057877,0.27449167723057877
0,7,12381,own,0.15915837394540358,0.15915837394540358
0,8,3704,own,0.8773042942519833,0.8773042942519833
0,9,4419,own,0.17134519873514417,0.17134519873514417
0,10,4,shrinkage,0.044822886948562395,nan
0,11,13828,own,0.2054879913899515,0.2054879913899515
0,12,17522,own,0.10124785159114566,0.10124785159114566
0,13,20234,own,0.528049934035488,0.528049934035488
0,14,28533,own,0.32123580331839063,0.32123580331839063
0,15,15,shrinkage,0.039073175370373976,0.9073040283349482
0,16,13288,own,0.3458036510060643,0.3458036510060643
0,17,9411,own,0.182413824754497,0.182413824754497
0,18,11907,own,0.11788043259436967,0.11788043259436967
0,19,483,shrinkage,0.07924568799185358,0.34799175449632663
0,20,1393,shrinkage,0.22229543920267927,0.8830893183738465
0,21,24163,own,0.16129059749848987,0.16129059749848987
0,22,6165,own,0.14963423281280008,0.14963423281280008
0,23,12628,own,0.17141261036670316,0.17141261036670316
0,24,18018,own,0.16154688616457988,0.16154688616457988
0,25,360,shrinkage,0.09245124964965362,0.5252844775684075
0,26,12090,own,0.6077742671976933,0.6077742671976933
0,27,13742,own,0.39590610231231105,0.39590610231231105
0,28,77043,own,0.09774341291922854,0.09774341291922854
0,29,24185,own,0.15012759825371713,0.15012759825371713
0,30,11225,own,0.16945020402380656,0.16945020402380656
0,31,23577,own,0.3758732261282838,0.3758732261282838
0,32,10426,own,0.2710349888132176,0.2710349888132176
0,33,35891,own,0.1983574113302798,0.1983574113302798
0,34,18367,own,0.13508474202671455,0.13508474202671455
0,35,8187,own,0.8286736842937775,0.8286736842937775
0,36,269,shrinkage,0.07062675991448686,0.3443713900114117
0,37,3475,own,0.24111323440726765,0.24111323440726765
0,38,21587,own,0.10537469853417403,0.10537469853417403
0,39,212,shrinkage,0.058313432827443536,0.4534434645862546
0,40,19774,own,0.7207121638913504,0.7207121638913504
0,41,13148,own,0.13940881643510672,0.13940881643510672
0,42,1623,shrinkage,0.15598141248776717,0.4004277904972493
0,43,9868,own,0.44351481484596467,0.44351481484596467
0,44,3608,own,0.2622169429835784,0.2622169429835784
0,45,10667,own,0.7810413460303011,0.7810413460303011
0,46,95961,own,0.15825261724650078,0.15825261724650078
0,47,15141,own,0.13002809992515552,0.13002809992515552
0,48,6915,own,0.3072482299285445,0.3072482299285445
0,49,5785,own,0.5516178135455658,0.5516178135455658
0,50,20277,own,0.35516108002883795,0.35516108002883795
0,51,56622,own,0.1194110504828437,0.1194110504828437
0,52,11975,own,0.36079193193284764,0.36079193193284764
0,53,19087,own,0.5649870632329304,0.5649870632329304
0,54,484,shrinkage,0.13146593128820977,0.5052417697631102
0,55,14,shrinkage,0.0421149521554932,0.9697380993678725
0,56,629,shrinkage,0.16360989565073356,0.44838917087484365
