layer,expert,routed_tokens,share_of_tokens
0,0,18968,0.072357177734375
0,1,6634,0.02530670166015625
0,2,12994,0.04956817626953125
0,3,13858,0.05286407470703125
0,4,16711,0.06374740600585938
0,5,83,0.000316619873046875
0,6,6879,0.026241302490234375
0,7,12381,0.047229766845703125
0,8,3704,0.014129638671875
0,9,4419,0.016857147216796875
0,10,4,1.52587890625e-05
0,11,13828,0.0527496337890625
0,12,17522,0.06684112548828125
0,13,20234,0.07718658447265625
0,14,28533,0.10884475708007812
0,15,15,5.7220458984375e-05
0,16,13288,0.050689697265625
0,17,9411,0.035900115966796875
0,18,11907,0.045421600341796875
0,19,483,0.001842498779296875
0,20,1393,0.005313873291015625
0,21,24163,0.09217453002929688
0,22,6165,0.023517608642578125
0,23,12628,0.0481719970703125
0,24,18018,0.06873321533203125
0,25,360,0.001373291015625
0,26,12090,0.04611968994140625
0,27,13742,0.05242156982421875
0,28,77043,0.2938957214355469
0,29,24185,0.09225845336914062
0,30,11225,0.042819976806640625
0,31,23577,0.08993911743164062
0,32,10426,0.03977203369140625
0,33,35891,0.13691329956054688
0,34,18367,0.07006454467773438
0,35,8187,0.031230926513671875
0,36,269,0.001026153564453125
0,37,3475,0.013256072998046875
0,38,21587,0.08234786987304688
0,39,212,0.0008087158203125
0,40,19774,0.07543182373046875
0,41,13148,0.0501556396484375
0,42,1623,0.006191253662109375
0,43,9868,0.0376434326171875
0,44,3608,0.013763427734375
0,45,10667,0.040691375732421875
0,46,95961,0.3660621643066406
0,47,15141,0.057758331298828125
0,48,6915,0.026378631591796875
0,49,5785,0.022068023681640625
0,50,20277,0.07735061645507812
0,51,56622,0.21599578857421875
0,52,11975,0.045680999755859375
0,53,19087,0.07281112670898438
0,54,484,0.0018463134765625
0,55,14,5.340576171875e-05
0,56,629,0.002399444580078125
0,57,18554,0.07077789306640625
0,58,8760,0.033416748046875
0,59,24,9.1552734375e-05
0,60,2487,0.009487152099609375
0,61,31844,0.1214752197265625
0,62,27028,0.1031036376953125
0,63,20908,0.0797576904296875
0,64,41459,0.15815353393554688
0,65,21125,0.08058547973632812
0,66,13939,0.053173065185546875
0,67,24691,0.09418869018554688
0,68,18008,0.068695068359375
0,69,27806,0.10607147216796875
0,70,7971,0.030406951904296875
0,71,12248,0.046722412109375
0,72,55702,0.21248626708984375
0,73,10120,0.038604736328125
0,74,5944,0.022674560546875
0,75,32733,0.12486648559570312
0,76,19986,0.07624053955078125
0,77,29185,0.11133193969726562
0,78,4841,0.018466949462890625
0,79,13799,0.052639007568359375
0,80,15146,0.05777740478515625
0,81,20730,0.07907867431640625
0,82,27626,0.10538482666015625
0,83,10071,0.038417816162109375
0,84,6407,0.024440765380859375
0,85,7124,0.0271759033203125
0,86,18604,0.0709686279296875
0,87,32011,0.12211227416992188
0,88,13941,0.053180694580078125
0,89,4784,0.01824951171875
0,90,132,0.0005035400390625
0,91,40768,0.155517578125
0,92,9407,0.035884857177734375
0,93,29772,0.1135711669921875
0,94,2715,0.010356903076171875
0,95,10451,0.039867401123046875
0,96,1321,0.005039215087890625
0,97,11938,0.04553985595703125
0,98,22958,0.08757781982421875
0,99,9074,0.03461456298828125
0,100,42615,0.16256332397460938
0,101,19141,0.07301712036132812
0,102,24903,0.09499740600585938
0,103,23793,0.09076309204101562
0,104,12846,0.04900360107421875
0,105,23872,0.091064453125
