rotation,layer,tokens,top8_set_agreement,argmax_agreement,set_flips,flip_positions,tie_gap,tie_share,median_gap,nontie_top8_agreement,nontie_argmax_agreement,max_flip_gap,flips_above_tie_gap
null,0,131072,1.0,1.0,0,[],0.001,0.01006317138671875,0.0706324577331543,1.0,1.0,0.0,0
null,1,131072,1.0,0.9999923706054688,0,[],0.001,0.01287841796875,0.05438423156738281,1.0,0.9999922513961792,0.0,0
null,2,131072,1.0,1.0,0,[],0.001,0.0129852294921875,0.05687141418457031,1.0,1.0,0.0,0
null,3,131072,0.9999923706054688,1.0,1,[84155],0.001,0.01171112060546875,0.05970335006713867,1.0,1.0,0.0,0
null,4,131072,0.9999923706054688,1.0,1,[86275],0.001,0.011810302734375,0.05927920341491699,1.0,1.0,4.76837158203125e-07,0
null,5,131072,0.9999923706054688,1.0,1,[86275],0.001,0.0109100341796875,0.06467199325561523,0.999992311000824,1.0,0.03229689598083496,1
null,6,131072,0.9999847412109375,1.0,2,"[86275, 86299]",0.001,0.01206207275390625,0.05756831169128418,0.9999922513961792,1.0,0.11714696884155273,1
null,7,131072,0.9999847412109375,1.0,2,"[86299, 87366]",0.001,0.01036834716796875,0.06699514389038086,0.999992311000824,1.0,0.005938529968261719,1
null,8,131072,0.9999771118164062,0.9999923706054688,3,"[69878, 86310, 86831]",0.001,0.0093536376953125,0.07000017166137695,1.0,0.999992311000824,0.0002779960632324219,0
null,9,131072,0.9999923706054688,0.9999847412109375,1,[10503],0.001,0.01088714599609375,0.06811094284057617,1.0,0.9999845623970032,4.76837158203125e-07,0
null,10,131072,0.999969482421875,1.0,4,"[11182, 84339, 86293, 86322]",0.001,0.01026153564453125,0.06575632095336914,0.999992311000824,1.0,0.003265857696533203,1
null,11,131072,0.9999847412109375,1.0,2,"[69878, 87251]",0.001,0.01076507568359375,0.0660543441772461,0.999992311000824,1.0,0.0035943984985351562,1
null,12,131072,0.999969482421875,0.9999771118164062,4,"[70106, 86275, 86375, 86832]",0.001,0.01108551025390625,0.06224417686462402,0.999992311000824,0.9999845623970032,0.020312786102294922,1
null,13,131072,0.9999618530273438,0.9999923706054688,5,"[69878, 84339, 84573, 86318, 86878]",0.001,0.00997161865234375,0.07225155830383301,0.9999691843986511,0.999992311000824,0.012235164642333984,4
null,14,131072,0.999969482421875,1.0,4,"[11182, 20776, 53264, 86293]",0.001,0.0110015869140625,0.06560802459716797,0.9999845623970032,1.0,0.014703512191772461,2
null,15,131072,0.9999237060546875,0.99993896484375,10,"[20791, 69911, 84339, 84346, 86285, 86293, 86311, 86375, 86735, 86860]",0.001,0.010101318359375,0.06951427459716797,0.9999691843986511,0.9999383687973022,0.024361371994018555,4
null,16,131072,0.9999237060546875,0.999969482421875,10,"[10695, 20778, 53264, 53394, 69911, 69954, 84573, 86285, 86891, 86985]",0.001,0.0091552734375,0.07523059844970703,0.9999691843986511,0.9999691843986511,0.05673384666442871,4
null,17,131072,0.9999618530273438,1.0,5,"[10695, 11182, 53264, 84339, 87227]",0.001,0.00992584228515625,0.07225608825683594,0.9999691843986511,1.0,0.05512523651123047,4
