rotation,layer,tokens,top8_set_agreement,argmax_agreement,set_flips,flip_positions
hadamard,0,131072,1.0,1.0,0,[]
hadamard,1,131072,1.0,0.9999923706054688,0,[]
hadamard,2,131072,1.0,1.0,0,[]
hadamard,3,131072,0.9999923706054688,0.9999923706054688,1,[116031]
hadamard,4,131072,0.9999847412109375,1.0,2,"[86275, 92782]"
hadamard,5,131072,0.9999923706054688,1.0,1,[86275]
hadamard,6,131072,0.9999771118164062,1.0,3,"[74708, 86275, 86299]"
hadamard,7,131072,0.9999542236328125,1.0,6,"[79115, 84752, 86299, 87366, 93679, 116141]"
hadamard,8,131072,0.9999618530273438,0.9999923706054688,5,"[69878, 79115, 86310, 86831, 93547]"
hadamard,9,131072,0.99993896484375,0.9999847412109375,8,"[10503, 24247, 32815, 84956, 85678, 92915, 93569, 93681]"
hadamard,10,131072,0.9999465942382812,0.9999923706054688,7,"[84339, 85381, 86293, 86322, 92782, 93092, 123987]"
hadamard,11,131072,0.9999313354492188,1.0,9,"[24247, 69878, 84960, 85381, 85443, 87251, 93573, 105455, 116145]"
hadamard,12,131072,0.9999237060546875,0.9999847412109375,10,"[70106, 84752, 85430, 86275, 86375, 86832, 93573, 93577, 93680, 93710]"
hadamard,13,131072,0.9998626708984375,0.9999771118164062,18,"[69878, 73210, 79116, 84339, 84573, 84778, 84892, 85228, 85381, 85420, 85763, 86318, 86878, 92782, 92923, 116143, 116214, 122559]"
hadamard,14,131072,0.9998626708984375,0.9999771118164062,18,"[20776, 24249, 32833, 73210, 73223, 79122, 79147, 79160, 84793, 85395, 85814, 86293, 93547, 93569, 93573, 93680, 116368, 124477]"
hadamard,15,131072,0.9998321533203125,0.9999237060546875,22,"[20791, 24247, 69911, 73210, 79130, 84339, 84346, 84793, 85430, 85599, 86285, 86293, 86311, 86375, 86735, 86860, 92836, 92968, 93680, 93703]"
hadamard,16,131072,0.9998016357421875,0.9999465942382812,26,"[10695, 20778, 28267, 69911, 69954, 79117, 79119, 84573, 84775, 84793, 84958, 84961, 85443, 85494, 85500, 85764, 86285, 86891, 86985, 92782]"
hadamard,17,131072,0.99981689453125,1.0,24,"[10695, 20945, 32817, 73210, 73219, 79115, 79126, 79128, 84339, 84914, 84928, 84956, 84961, 84969, 85380, 85381, 85459, 85621, 85764, 87227]"
hadamard,18,131072,0.9997940063476562,0.9999313354492188,27,"[11369, 69878, 69919, 73524, 79122, 84573, 84752, 84889, 85219, 85393, 85396, 85421, 85443, 85910, 85927, 86285, 86318, 86321, 86380, 86808]"
hadamard,19,131072,0.999755859375,0.9999465942382812,32,"[10695, 20945, 21315, 32994, 69878, 69984, 79122, 79193, 79207, 84339, 84753, 84864, 85420, 85433, 85568, 85763, 86288, 86393, 86507, 86573]"
hadamard,20,131072,0.999725341796875,0.999969482421875,36,"[10594, 11490, 11562, 21190, 24253, 32854, 69954, 69984, 73211, 73644, 79122, 84756, 84961, 84987, 85219, 85246, 85422, 85470, 85621, 85622]"
hadamard,21,131072,0.9996490478515625,0.9999237060546875,46,"[10826, 12039, 12188, 20812, 20870, 24260, 28306, 69878, 69911, 69916, 69954, 69984, 70106, 73226, 79122, 79860, 84573, 84756, 85393, 85610]"
hadamard,22,131072,0.9996109008789062,0.9999542236328125,51,"[10512, 20876, 20945, 33015, 69524, 69941, 69954, 69984, 73210, 74713, 79122, 79126, 79860, 84514, 84753, 84760, 84764, 84778, 85434, 85450]"
hadamard,23,131072,0.999542236328125,0.9998397827148438,60,"[10695, 10846, 11420, 21188, 21635, 21866, 24267, 33061, 59870, 69878, 69911, 70035, 70129, 79126, 79193, 84753, 84761, 84928, 84961, 84989]"
hadamard,24,131072,0.9993743896484375,0.9998703002929688,82,"[10512, 10594, 10595, 10933, 11545, 20780, 20845, 20870, 20945, 21724, 21940, 24247, 24253, 24260, 32817, 33063, 69916, 69945, 69954, 69984]"
hadamard,25,131072,0.9995040893554688,0.9998397827148438,65,"[10515, 10826, 10933, 12242, 20780, 20870, 20879, 21188, 32815, 32817, 69527, 69556, 69878, 69941, 69954, 70033, 70111, 70147, 70310, 73210]"
hadamard,26,131072,0.999359130859375,0.9997787475585938,84,"[10620, 10695, 10742, 10768, 10818, 11562, 11642, 12191, 12242, 20812, 20818, 20945, 21031, 21134, 32817, 32964, 33146, 34049, 34378, 34443]"
hadamard,27,131072,0.9993133544921875,0.9998245239257812,90,"[10603, 10695, 10714, 10768, 10826, 10942, 10992, 11420, 20872, 20879, 20902, 21555, 24255, 32815, 32854, 32964, 32983, 69524, 69545, 69887]"
hadamard,28,131072,0.999176025390625,0.999847412109375,108,"[10515, 10520, 10695, 10742, 10823, 10888, 10903, 10942, 11038, 11371, 11420, 11438, 11519, 11826, 12128, 20812, 20855, 20870, 20993, 24253]"
hadamard,29,131072,0.9991607666015625,0.99981689453125,110,"[10515, 10721, 10948, 11803, 20812, 20825, 20859, 20870, 20945, 21135, 21724, 24272, 24301, 28267, 32838, 32890, 32891, 32905, 32958, 32960]"
hadamard,30,131072,0.9988250732421875,0.9997329711914062,154,"[10586, 10771, 10775, 10835, 10841, 10888, 10927, 10944, 11369, 11395, 11642, 20799, 20844, 20873, 20875, 20903, 24253, 24260, 32854, 32858]"
hadamard,31,131072,0.9989852905273438,0.999725341796875,133,"[10503, 10586, 10620, 10714, 10733, 10757, 10760, 10828, 10888, 10999, 11414, 11523, 11642, 11808, 12128, 20781, 20812, 20832, 20846, 20875]"
hadamard,32,131072,0.9987945556640625,0.9996490478515625,158,"[10515, 10565, 10619, 10772, 10790, 10826, 10846, 10888, 11113, 11420, 11523, 11642, 11809, 20791, 20809, 20812, 20870, 20875, 20881, 20945]"
hadamard,33,131072,0.9986953735351562,0.9996261596679688,171,"[10586, 10595, 10695, 10759, 10760, 10772, 10789, 10790, 10933, 11043, 11084, 11113, 11130, 11368, 11369, 11425, 11523, 11525, 12175, 12242]"
hadamard,34,131072,0.99871826171875,0.9997100830078125,168,"[10515, 10695, 10710, 10768, 10772, 10933, 10942, 10976, 11130, 11169, 11208, 11327, 11803, 12156, 12242, 20858, 20870, 20877, 20902, 21031]"
hadamard,35,131072,0.99847412109375,0.9995956420898438,200,"[10520, 10760, 10762, 10769, 10770, 11369, 11398, 11421, 11423, 11525, 11604, 11645, 11781, 11792, 11884, 12175, 20845, 20858, 20942, 20945]"
hadamard,36,131072,0.998382568359375,0.999603271484375,212,"[10515, 10606, 10721, 10768, 10782, 10818, 10846, 10888, 11218, 11406, 11420, 11530, 11610, 11642, 11792, 11808, 11809, 11826, 20801, 20861]"
