layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
41,0,self_attn.k_proj,2048,512,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,5.06809137994989,1.1753113991657258,0.011753113991657259,0.007506963971193048,0.0078125,0.0026884826393855947,6.482189099001345,512,0.7847656011581421,0.007777108810842037,nan
41,0,self_attn.v_proj,2048,512,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,5.06809137994989,1.1753113991657258,0.011753113991657259,0.007506963971193048,0.0078125,0.0026884826393855947,6.482189099001345,512,0.7848827838897705,0.007698255591094494,nan
41,0,self_attn.q_proj,2048,4096,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,5.06809137994989,1.1753113991657258,0.011753113991657259,0.007506963971193048,0.0078125,0.0026884826393855947,6.482189099001345,4096,0.7836962938308716,0.00789797492325306,nan
41,1,self_attn.o_proj,4096,2048,128,0,0.6999651193618774,128,128,False,False,False,torch.float32,torch.float32,24.163630620735244,1.879909026708933,0.01879909026708933,0.0070831795570436284,0.0078125,0.006385933971058957,39.13600562962479,2048,0.7358154654502869,0.007595087867230177,nan
42,0,self_attn.k_proj,2048,512,128,0,40.959964752197266,128,128,False,False,False,torch.float32,torch.float32,6.033165231063375,1.187155495896979,0.01187155495896979,0.007421883894138009,0.0078125,0.002863477278198713,6.681102204251865,512,0.7834374904632568,0.007692287676036358,nan
42,0,self_attn.v_proj,2048,512,128,0,40.959964752197266,128,128,False,False,False,torch.float32,torch.float32,6.033165231063375,1.187155495896979,0.01187155495896979,0.007421883894138009,0.0078125,0.002863477278198713,6.681102204251865,512,0.7847460508346558,0.0077569023706018925,nan
42,0,self_attn.q_proj,2048,4096,128,0,40.959964752197266,128,128,False,False,False,torch.float32,torch.float32,6.033165231063375,1.187155495896979,0.01187155495896979,0.007421883894138009,0.0078125,0.002863477278198713,6.681102204251865,4096,0.7841382026672363,0.007850412279367447,nan
42,1,self_attn.o_proj,4096,2048,128,0,1.1823465824127197,128,128,False,False,False,torch.float32,torch.float32,20.28434071620924,2.117463244913806,0.021174632449138062,0.008396555588977247,0.0078125,0.0059716214482256015,79.60186369618394,2048,0.7322802543640137,0.007913886569440365,nan
43,0,self_attn.k_proj,2048,512,128,0,40.95997619628906,128,128,False,False,False,torch.float32,torch.float32,5.577673164754033,1.1601589557992265,0.011601589557992264,0.007474875342026557,0.0078125,0.0029569425549760787,7.215718961419111,512,0.784960925579071,0.0081493454053998,nan
43,0,self_attn.v_proj,2048,512,128,0,40.95997619628906,128,128,False,False,False,torch.float32,torch.float32,5.577673164754033,1.1601589557992265,0.011601589557992264,0.007474875342026557,0.0078125,0.0029569425549760787,7.215718961419111,512,0.7819139957427979,0.007824295200407505,nan
43,0,self_attn.q_proj,2048,4096,128,0,40.95997619628906,128,128,False,False,False,torch.float32,torch.float32,5.577673164754033,1.1601589557992265,0.011601589557992264,0.007474875342026557,0.0078125,0.0029569425549760787,7.215718961419111,4096,0.7840796113014221,0.007755106780678034,nan
43,1,self_attn.o_proj,4096,2048,128,0,0.7104294300079346,128,128,False,False,False,torch.float32,torch.float32,19.598403024217184,1.8042495599209845,0.018042495599209844,0.007284743059863886,0.0078125,0.008556941546967425,47.66403047679385,2048,0.7362939715385437,0.007864881306886673,nan
44,0,self_attn.k_proj,2048,512,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,5.111548418477976,1.1414993237974382,0.011414993237974383,0.007483691751631142,0.0078125,0.003212410858603529,7.440598052505912,512,0.7853125333786011,0.00786274392157793,nan
44,0,self_attn.v_proj,2048,512,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,5.111548418477976,1.1414993237974382,0.011414993237974383,0.007483691751631142,0.0078125,0.003212410858603529,7.440598052505912,512,0.7872655987739563,0.007780340034514666,nan
44,0,self_attn.q_proj,2048,4096,128,0,40.95998001098633,128,128,False,False,False,torch.float32,torch.float32,5.111548418477976,1.1414993237974382,0.011414993237974383,0.007483691751631142,0.0078125,0.003212410858603529,7.440598052505912,4096,0.78570556640625,0.008127748966217041,nan
44,1,self_attn.o_proj,4096,2048,128,0,0.8230662941932678,128,128,False,False,False,torch.float32,torch.float32,39.43699560344802,1.8258269820765722,0.01825826982076572,0.00832799517662757,0.0078125,0.010225904689382139,8.1296418592587,2048,0.7428222298622131,0.0074368491768836975,nan
45,0,self_attn.k_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,5.239575020749787,1.151487756132812,0.011514877561328121,0.007138506733986164,0.0078125,0.003479626109987894,6.0621261916482805,512,0.7876757383346558,0.00779741071164608,nan
45,0,self_attn.v_proj,2048,512,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,5.239575020749787,1.151487756132812,0.011514877561328121,0.007138506733986164,0.0078125,0.003479626109987894,6.0621261916482805,512,0.786562442779541,0.0076805041171610355,nan
45,0,self_attn.q_proj,2048,4096,128,0,40.959983825683594,128,128,False,False,False,torch.float32,torch.float32,5.239575020749787,1.151487756132812,0.011514877561328121,0.007138506733986164,0.0078125,0.003479626109987894,6.0621261916482805,4096,0.7866723537445068,0.00843607448041439,nan
45,1,self_attn.o_proj,4096,2048,128,0,0.9906178116798401,128,128,False,False,False,torch.float32,torch.float32,24.58863920670264,1.9610753556218516,0.019610753556218517,0.00667419632387021,0.0078125,0.006963466791358992,18.43049175960641,2048,0.7435204982757568,0.00789301935583353,nan
46,0,self_attn.k_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,4.3500928104154575,1.1509775776594762,0.01150977577659476,0.007211523452913393,0.0078125,0.003729385980146761,5.88346864699291,512,0.7860351204872131,0.007373366504907608,nan
46,0,self_attn.v_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,4.3500928104154575,1.1509775776594762,0.01150977577659476,0.007211523452913393,0.0078125,0.003729385980146761,5.88346864699291,512,0.7848242521286011,0.007848033681511879,nan
46,0,self_attn.q_proj,2048,4096,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,4.3500928104154575,1.1509775776594762,0.01150977577659476,0.007211523452913393,0.0078125,0.003729385980146761,5.88346864699291,4096,0.7851366996765137,0.007793167140334845,nan
46,1,self_attn.o_proj,4096,2048,128,0,1.863388180732727,128,128,False,False,False,torch.float32,torch.float32,28.382535198218257,1.584645809909865,0.015846458099098654,0.01051333679539328,0.0078125,0.0077141616301180296,7.483384004330518,2048,0.740673840045929,0.007898624986410141,nan
47,0,self_attn.k_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,3.8989417077074777,1.1394024314867985,0.011394024314867985,0.00701365461153498,0.0078125,0.0037666700913268547,4.574392878682877,512,0.7837890386581421,0.007605969440191984,nan
47,0,self_attn.v_proj,2048,512,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,3.8989417077074777,1.1394024314867985,0.011394024314867985,0.00701365461153498,0.0078125,0.0037666700913268547,4.574392878682877,512,0.7832226157188416,0.007771601434797049,nan
47,0,self_attn.q_proj,2048,4096,128,0,40.95998764038086,128,128,False,False,False,torch.float32,torch.float32,3.8989417077074777,1.1394024314867985,0.011394024314867985,0.00701365461153498,0.0078125,0.0037666700913268547,4.574392878682877,4096,0.7841333150863647,0.007891333661973476,nan
47,1,self_attn.o_proj,4096,2048,128,0,7.539780139923096,128,128,False,False,False,torch.float32,torch.float32,112.65340688074905,3.599430183325607,0.035994301833256075,0.0064478212171914335,0.0078125,0.004441045414150985,3.484746820101328,2048,0.7390967011451721,0.0075706010684370995,nan
