layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
25,0,self_attn.k_proj,2048,512,128,0,40.95969772338867,128,128,False,False,False,torch.float32,torch.float32,8.473451731546715,1.4578919035174045,0.014578919035174047,0.0074579163324311505,0.0078125,0.3622152456456697,6.380400492275813,512,0.78173828125,0.007907425984740257,nan
25,0,self_attn.v_proj,2048,512,128,0,40.95969772338867,128,128,False,False,False,torch.float32,torch.float32,8.473451731546715,1.4578919035174045,0.014578919035174047,0.0074579163324311505,0.0078125,0.3622152456456697,6.380400492275813,512,0.7813085317611694,0.007995307445526123,nan
25,0,self_attn.q_proj,2048,4096,128,0,40.95969772338867,128,128,False,False,False,torch.float32,torch.float32,8.473451731546715,1.4578919035174045,0.014578919035174047,0.0074579163324311505,0.0078125,0.3622152456456697,6.380400492275813,4096,0.7817578315734863,0.00790979154407978,nan
25,1,self_attn.o_proj,4096,2048,128,0,0.0768432766199112,128,128,False,False,False,torch.float32,torch.float32,10.35208161478763,1.4744302357667818,0.01474430235766782,0.007246196181413527,0.0078125,0.04207793460138637,51.21567747236169,2048,0.7280126810073853,0.008038493804633617,nan
26,0,self_attn.k_proj,2048,512,128,0,40.959716796875,128,128,False,False,False,torch.float32,torch.float32,8.597199769546387,1.4700925976634807,0.014700925976634808,0.007392179599443312,0.0078125,0.37028578417689684,6.1346675283272525,512,0.7839648723602295,0.008073067292571068,nan
26,0,self_attn.v_proj,2048,512,128,0,40.959716796875,128,128,False,False,False,torch.float32,torch.float32,8.597199769546387,1.4700925976634807,0.014700925976634808,0.007392179599443312,0.0078125,0.37028578417689684,6.1346675283272525,512,0.7845703363418579,0.007872603833675385,nan
26,0,self_attn.q_proj,2048,4096,128,0,40.959716796875,128,128,False,False,False,torch.float32,torch.float32,8.597199769546387,1.4700925976634807,0.014700925976634808,0.007392179599443312,0.0078125,0.37028578417689684,6.1346675283272525,4096,0.7833154201507568,0.007683517877012491,nan
26,1,self_attn.o_proj,4096,2048,128,0,0.11524606496095657,128,128,False,False,False,torch.float32,torch.float32,11.337446841697211,1.8479326179804663,0.018479326179804665,0.007331811570942633,0.0078125,0.03227672439717037,80.05534269308806,2048,0.7277100086212158,0.007773358840495348,nan
27,0,self_attn.k_proj,2048,512,128,0,40.95975112915039,128,128,False,False,False,torch.float32,torch.float32,8.899354005490435,1.4955461072920682,0.014955461072920683,0.007409558975697489,0.0078125,0.3773811157270553,5.675315650726342,512,0.7862499952316284,0.007811195217072964,nan
27,0,self_attn.v_proj,2048,512,128,0,40.95975112915039,128,128,False,False,False,torch.float32,torch.float32,8.899354005490435,1.4955461072920682,0.014955461072920683,0.007409558975697489,0.0078125,0.3773811157270553,5.675315650726342,512,0.7859765291213989,0.00786556489765644,nan
27,0,self_attn.q_proj,2048,4096,128,0,40.95975112915039,128,128,False,False,False,torch.float32,torch.float32,8.899354005490435,1.4955461072920682,0.014955461072920683,0.007409558975697489,0.0078125,0.3773811157270553,5.675315650726342,4096,0.7831152081489563,0.0077294553630054,nan
27,1,self_attn.o_proj,4096,2048,128,0,0.08373312652111053,128,128,False,False,False,torch.float32,torch.float32,6.265433093531576,1.2197624451110338,0.012197624451110339,0.007672813730950433,0.0078125,0.01764497773647204,162.6258885791685,2048,0.7233057022094727,0.007822612300515175,nan
28,0,self_attn.k_proj,2048,512,128,0,40.95977020263672,128,128,False,False,False,torch.float32,torch.float32,8.86610381842994,1.4885358200227152,0.014885358200227152,0.0074137832050395775,0.0078125,0.370836428321854,5.822506847742383,512,0.784863293170929,0.00783459097146988,nan
28,0,self_attn.v_proj,2048,512,128,0,40.95977020263672,128,128,False,False,False,torch.float32,torch.float32,8.86610381842994,1.4885358200227152,0.014885358200227152,0.0074137832050395775,0.0078125,0.370836428321854,5.822506847742383,512,0.7830663919448853,0.007891232147812843,nan
28,0,self_attn.q_proj,2048,4096,128,0,40.95977020263672,128,128,False,False,False,torch.float32,torch.float32,8.86610381842994,1.4885358200227152,0.014885358200227152,0.0074137832050395775,0.0078125,0.370836428321854,5.822506847742383,4096,0.7839306592941284,0.007638147100806236,nan
28,1,self_attn.o_proj,4096,2048,128,0,0.10831326991319656,128,128,False,False,False,torch.float32,torch.float32,5.102494397369397,1.2753123358483693,0.012753123358483692,0.007126961374320161,0.0078125,0.04788679278923915,67.82906797080707,2048,0.7207226753234863,0.007750725373625755,nan
