model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_4b_base,down,0,1,0.30940517444105514,0.021169502217390994,0.021169502217390994,0.005314167075160595
qwen3_4b_base,down,0,2,0.27196434864735447,0.018607800894546132,0.039777303111937126,0.006347897406222763
qwen3_4b_base,down,0,3,0.26851240524754094,0.018371618925098875,0.058148922037036,0.007034293603083316
qwen3_4b_base,down,0,4,0.20531538778744185,0.01404767895327743,0.07219660099031344,0.01273696119758375
qwen3_4b_base,down,0,5,0.11541326340699186,0.007896575550245387,0.08009317654055882,0.03523695299718876
qwen3_4b_base,down,0,6,0.0943889390377365,0.0064580912645247875,0.0865512678050836,0.050661935257156274
qwen3_4b_base,down,0,7,0.08731857591339628,0.0059743370153954,0.092525604820479,0.0641697005524861
qwen3_4b_base,down,0,8,0.07853601124484606,0.005373433935603262,0.09789903875608227,0.06773021563987089
qwen3_4b_base,down,0,9,0.07301042067555796,0.004995373025599884,0.10289441178168215,0.06998272163303429
qwen3_4b_base,down,0,10,0.06644110180005133,0.0045459002242706345,0.10744031200595279,0.08208005082858001
qwen3_4b_base,down,0,11,0.06333786840502598,0.004333576993556255,0.11177388899950903,0.09593767955133713
qwen3_4b_base,down,0,12,0.05700288406305509,0.003900137361149464,0.11567402636065849,0.08703458988969168
qwen3_4b_base,down,0,13,0.055992497061896386,0.0038310066819354127,0.1195050330425939,0.1135315897275504
qwen3_4b_base,down,0,14,0.05511105176969083,0.0037706981945238383,0.12327573123711774,0.10572045333901581
qwen3_4b_base,down,0,15,0.054140889020250126,0.0037043196586360105,0.12698005089575376,0.12125626767032892
qwen3_4b_base,down,0,16,0.052719649370570006,0.003607078440968272,0.13058712933672204,0.12072922879507705
qwen3_4b_base,down,0,17,0.05163019073391056,0.0035325376804067133,0.13411966701712874,0.14548562532018142
qwen3_4b_base,down,0,18,0.04971310229290629,0.0034013704881446912,0.13752103750527345,0.14207451493262105
qwen3_4b_base,down,0,19,0.04643116428023358,0.0031768202873856833,0.14069785779265911,0.1325997673915688
qwen3_4b_base,down,0,20,0.04600473847756041,0.0031476442337157657,0.1438455020263749,0.1423328119094332
qwen3_4b_base,down,0,21,0.04424993061298349,0.0030275802785884303,0.1468730823049633,0.12456763232019645
qwen3_4b_base,down,0,22,0.04361042017566115,0.0029838249740903825,0.14985690727905368,0.15191072352109716
qwen3_4b_base,down,0,23,0.04272044877278871,0.0029229331301819607,0.15277984040923565,0.14518840005733857
qwen3_4b_base,down,0,24,0.0425971373426143,0.0029144961620568392,0.1556943365712925,0.15252092094428382
qwen3_4b_base,down,0,25,0.04011673002564343,0.0027447866919695792,0.15843912326326207,0.13401056743728573
qwen3_4b_base,down,0,26,0.03910979230502124,0.002675892012531867,0.16111501527579394,0.16647606336263318
qwen3_4b_base,down,0,27,0.038215649133009705,0.0026147147361764923,0.16372973001197044,0.1626624188936246
qwen3_4b_base,down,0,28,0.0368952081314555,0.002524370162072865,0.1662541001740433,0.15561355444887173
qwen3_4b_base,down,0,29,0.03559772162734145,0.002435596134697605,0.16868969630874092,0.14910209280595518
qwen3_4b_base,down,0,30,0.034985739375081384,0.002393724308637723,0.17108342061737863,0.18422742702852848
qwen3_4b_base,down,0,31,0.0336940539165664,0.002305347188805766,0.1733887678061844,0.19112842101640523
qwen3_4b_base,down,0,32,0.03312852224262669,0.002266653511341906,0.17565542131752626,0.15505866812553115
qwen3_4b_base,down,0,33,0.03229586608796588,0.002209683176749863,0.17786510449427614,0.17583200259416323
qwen3_4b_base,down,0,34,0.03219147221544146,0.00220254054793029,0.1800676450422065,0.17721774525061235
qwen3_4b_base,down,0,35,0.031716570344961635,0.0021700477616725055,0.18223769280387894,0.18025145582984042
qwen3_4b_base,down,0,36,0.03135761888175129,0.0021454883023483535,0.1843831811062273,0.20402660740060988
qwen3_4b_base,down,0,37,0.030784866480483446,0.002106300582716452,0.18648948168894375,0.2082724871699339
qwen3_4b_base,down,0,38,0.030014298051550998,0.0020535782903552922,0.18854305997929904,0.19854273662399405
qwen3_4b_base,down,0,39,0.02924183154649149,0.002000726131624402,0.19054378611092346,0.22040659536583346
qwen3_4b_base,down,0,40,0.029219165624741875,0.0019991753292449505,0.1925429614401684,0.2179709431584093
qwen3_4b_base,down,0,41,0.028394127670929584,0.001942726231959448,0.19448568767212787,0.2263093050223417
