rotation,site,layer,n,round_trip_relative_error,tolerance
hadamard,r1,0,2560,1.6819652159938414e-07,1e-06
hadamard,r2,0,128,1.120687116440422e-07,1e-06
hadamard,r4,0,9728,2.582191598321515e-07,1e-06
hadamard,r2,1,128,1.1344121730871848e-07,1e-06
hadamard,r4,1,9728,2.572086543750629e-07,1e-06
hadamard,r2,2,128,1.1334680749541803e-07,1e-06
hadamard,r4,2,9728,2.569631476490031e-07,1e-06
hadamard,r2,3,128,1.1108675579407645e-07,1e-06
hadamard,r4,3,9728,2.557709422035259e-07,1e-06
hadamard,r2,4,128,1.1224690155131611e-07,1e-06
hadamard,r4,4,9728,2.577789643964934e-07,1e-06
hadamard,r2,5,128,1.1025962010080548e-07,1e-06
hadamard,r4,5,9728,2.5826287242125545e-07,1e-06
hadamard,r2,6,128,1.149059372096417e-07,1e-06
hadamard,r4,6,9728,2.5743986498127924e-07,1e-06
hadamard,r2,7,128,1.1193679938514833e-07,1e-06
hadamard,r4,7,9728,2.5620801125114667e-07,1e-06
hadamard,r2,8,128,1.1756154094655358e-07,1e-06
hadamard,r4,8,9728,2.573239896719315e-07,1e-06
hadamard,r2,9,128,1.1887252071574039e-07,1e-06
hadamard,r4,9,9728,2.570214121533354e-07,1e-06
hadamard,r2,10,128,1.1180815562283897e-07,1e-06
hadamard,r4,10,9728,2.5656592583800375e-07,1e-06
hadamard,r2,11,128,1.1450432424453538e-07,1e-06
hadamard,r4,11,9728,2.5775855760912236e-07,1e-06
hadamard,r2,12,128,1.1471995975398386e-07,1e-06
hadamard,r4,12,9728,2.558304572630732e-07,1e-06
hadamard,r2,13,128,1.1087022500078092e-07,1e-06
hadamard,r4,13,9728,2.5663649694251944e-07,1e-06
hadamard,r2,14,128,1.118946073574989e-07,1e-06
hadamard,r4,14,9728,2.593234569303604e-07,1e-06
hadamard,r2,15,128,1.103660665080497e-07,1e-06
hadamard,r4,15,9728,2.5853501028905157e-07,1e-06
hadamard,r2,16,128,1.1085050743986358e-07,1e-06
hadamard,r4,16,9728,2.567149692822568e-07,1e-06
hadamard,r2,17,128,1.1614254447067651e-07,1e-06
hadamard,r4,17,9728,2.5753408294804103e-07,1e-06
hadamard,r2,18,128,1.1449497350213278e-07,1e-06
hadamard,r4,18,9728,2.560843768151244e-07,1e-06
hadamard,r2,19,128,1.1162447322021762e-07,1e-06
hadamard,r4,19,9728,2.560418295161071e-07,1e-06
hadamard,r2,20,128,1.1431342272771872e-07,1e-06
hadamard,r4,20,9728,2.5737426767591387e-07,1e-06
hadamard,r2,21,128,1.1129542798471448e-07,1e-06
hadamard,r4,21,9728,2.569636592397728e-07,1e-06
hadamard,r2,22,128,1.115301770937549e-07,1e-06
hadamard,r4,22,9728,2.5655052127149247e-07,1e-06
hadamard,r2,23,128,1.1373257535751691e-07,1e-06
hadamard,r4,23,9728,2.5745606535565457e-07,1e-06
hadamard,r2,24,128,1.1973439484336268e-07,1e-06
hadamard,r4,24,9728,2.5645448431532714e-07,1e-06
hadamard,r2,25,128,1.1112717857031384e-07,1e-06
hadamard,r4,25,9728,2.563538430422341e-07,1e-06
hadamard,r2,26,128,1.1231857399707224e-07,1e-06
hadamard,r4,26,9728,2.575475832600205e-07,1e-06
hadamard,r2,27,128,1.1857931525582899e-07,1e-06
hadamard,r4,27,9728,2.5612948206799047e-07,1e-06
hadamard,r2,28,128,1.1257723286917098e-07,1e-06
hadamard,r4,28,9728,2.57573702810987e-07,1e-06
hadamard,r2,29,128,1.1727315296639063e-07,1e-06
hadamard,r4,29,9728,2.5655342028585437e-07,1e-06
hadamard,r2,30,128,1.0836434682914842e-07,1e-06
hadamard,r4,30,9728,2.5768656541913515e-07,1e-06
hadamard,r2,31,128,1.0980470221966243e-07,1e-06
hadamard,r4,31,9728,2.5717972107486275e-07,1e-06
hadamard,r2,32,128,1.1129338162163549e-07,1e-06
hadamard,r4,32,9728,2.56319168556729e-07,1e-06
hadamard,r2,33,128,1.1247742293107876e-07,1e-06
hadamard,r4,33,9728,2.57172274586992e-07,1e-06
hadamard,r2,34,128,1.1216224748977766e-07,1e-06
hadamard,r4,34,9728,2.559967526849505e-07,1e-06
hadamard,r2,35,128,1.1451133019590998e-07,1e-06
hadamard,r4,35,9728,2.5612700937927e-07,1e-06
nar_k8,r1,0,2560,1.3955047961644595e-07,1e-06
nar_k8,r2,0,128,1.205431061634954e-07,1e-06
nar_k8,r4,0,9728,1.457574114738236e-07,1e-06
nar_k8,r2,1,128,1.1411334810418339e-07,1e-06
nar_k8,r4,1,9728,2.604873827749543e-07,1e-06
nar_k8,r2,2,128,1.228149528742506e-07,1e-06
nar_k8,r4,2,9728,3.666459633677732e-07,1e-06
nar_k8,r2,3,128,1.311349819843599e-07,1e-06
nar_k8,r4,3,9728,2.6289461629858124e-07,1e-06
nar_k8,r2,4,128,1.1858079318471937e-07,1e-06
nar_k8,r4,4,9728,1.3706416268632893e-07,1e-06
nar_k8,r2,5,128,1.1646521613783989e-07,1e-06
nar_k8,r4,5,9728,1.4252881896936742e-07,1e-06
nar_k8,r2,6,128,1.278539230042952e-07,1e-06
nar_k8,r4,6,9728,2.1943618833120127e-07,1e-06
nar_k8,r2,7,128,1.1505852626214619e-07,1e-06
nar_k8,r4,7,9728,1.3768379858447588e-07,1e-06
nar_k8,r2,8,128,1.1199742289136339e-07,1e-06
nar_k8,r4,8,9728,1.2237957491834095e-07,1e-06
nar_k8,r2,9,128,1.2830497553295572e-07,1e-06
