model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,qkv,0,20,0.5648338338514519,0.5241510139372639,-0.040682819914187984,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,0,qkv,1,20,0.49278369594135246,0.45600425420453694,-0.03677944173681552,0.009861932938856016,0.98046875,2560,1.0,0.0,20,,,0,0.005940594059405941,0.9881889763779528,2540
qwen3_4b_base,0,qkv,2,20,0.3552152987897244,0.30370066773166315,-0.051514631058061255,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,0,qkv,3,20,0.43113490352415174,0.397138414042195,-0.033996489481956715,0.00946372239747634,0.98125,2560,1.0,0.0,20,,,0,0.0055423594615993665,0.988976377952756,2540
qwen3_4b_base,0,qkv,4,20,0.3487069842250176,0.30866241332104205,-0.04004457090397556,0.008270972823946435,0.98359375,2560,1.0,0.0,20,,,0,0.004349545274812179,0.9913385826771653,2540
qwen3_4b_base,0,qkv,5,20,0.45153278284147996,0.41823625354177785,-0.033296529299702116,0.00846956864289935,0.983203125,2560,1.0,0.0,20,,,0,0.004548151077714059,0.9909448818897638,2540
qwen3_4b_base,0,qkv,6,20,0.4365987620571026,0.41065578756717896,-0.02594297448992361,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,0,qkv,7,20,0.5624232919252431,0.5458857205273621,-0.016537571397881035,0.00946372239747634,0.98125,2560,1.0,0.0,20,,,0,0.0055423594615993665,0.988976377952756,2540
qwen3_4b_base,0,qkv,8,20,0.47812488284533305,0.4630493245874817,-0.01507555825785134,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,0,qkv,9,20,0.479386578862254,0.4615370729271542,-0.01784950593509982,0.008866995073891626,0.982421875,2560,1.0,0.0,20,,,0,0.004945598417408506,0.9901574803149606,2540
qwen3_4b_base,0,qkv,10,20,0.5208401372406911,0.5026176630330761,-0.018222474207615025,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
