model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_k8,qkv,0,0,1.4203571652160463e-07,1e-06
qwen3_4b_base,E22_k8,qkv,0,1,1.3872494264433044e-07,1e-06
qwen3_4b_base,E22_k8,qkv,0,2,1.4084639587963466e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,0,0,1.5864189606418222e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,0,1,1.5746685733120103e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,0,2,1.5916047857444937e-07,1e-06
qwen3_4b_base,E22_k8,down,0,0,1.591487261975999e-07,1e-06
qwen3_4b_base,E22_k8,down,0,1,1.5854804757964303e-07,1e-06
qwen3_4b_base,E22_k8,down,0,2,1.5906383055153128e-07,1e-06
qwen3_4b_base,E22_kmax,down,0,0,2.419565134914592e-07,1e-06
qwen3_4b_base,E22_kmax,down,0,1,2.4211126969930774e-07,1e-06
qwen3_4b_base,E22_kmax,down,0,2,2.425146874429629e-07,1e-06
qwen3_4b_base,E22_k8,qkv,1,0,1.7830357990078483e-07,1e-06
qwen3_4b_base,E22_k8,qkv,1,1,1.8080756092331285e-07,1e-06
qwen3_4b_base,E22_k8,qkv,1,2,1.7862411993974092e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,1,0,1.98348402591364e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,1,1,1.9539233164778125e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,1,2,1.947840928551159e-07,1e-06
qwen3_4b_base,E22_k8,down,1,0,3.322930979265948e-07,1e-06
qwen3_4b_base,E22_k8,down,1,1,3.3350784178765025e-07,1e-06
qwen3_4b_base,E22_k8,down,1,2,3.3131226473415154e-07,1e-06
qwen3_4b_base,E22_kmax,down,1,0,7.975677931426617e-07,1e-06
qwen3_4b_base,E22_kmax,down,1,1,7.97764926119271e-07,1e-06
qwen3_4b_base,E22_kmax,down,1,2,7.992709925019881e-07,1e-06
qwen3_4b_base,E22_k8,qkv,2,0,1.4259501313063083e-07,1e-06
qwen3_4b_base,E22_k8,qkv,2,1,1.411826957564699e-07,1e-06
qwen3_4b_base,E22_k8,qkv,2,2,1.4321773278425098e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,2,0,1.6379803469135368e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,2,1,1.6684637671460223e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,2,2,1.6095631849566416e-07,1e-06
qwen3_4b_base,E22_k8,down,2,0,3.234910082028364e-07,1e-06
qwen3_4b_base,E22_k8,down,2,1,3.1915413956085104e-07,1e-06
qwen3_4b_base,E22_k8,down,2,2,3.213332320228801e-07,1e-06
qwen3_4b_base,E22_kmax,down,2,0,5.495774075825466e-07,1e-06
qwen3_4b_base,E22_kmax,down,2,1,5.472321618071874e-07,1e-06
qwen3_4b_base,E22_kmax,down,2,2,5.491950787472888e-07,1e-06
qwen3_4b_base,E22_k8,qkv,3,0,1.3805438925373892e-07,1e-06
qwen3_4b_base,E22_k8,qkv,3,1,1.3895471795422054e-07,1e-06
qwen3_4b_base,E22_k8,qkv,3,2,1.3878680249490571e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,3,0,1.5771242090067972e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,3,1,1.5409437992275343e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,3,2,1.6086569587514532e-07,1e-06
qwen3_4b_base,E22_k8,down,3,0,2.719662575145776e-07,1e-06
qwen3_4b_base,E22_k8,down,3,1,2.7514110456650087e-07,1e-06
qwen3_4b_base,E22_k8,down,3,2,2.711805677790835e-07,1e-06
qwen3_4b_base,E22_kmax,down,3,0,5.132205274094304e-07,1e-06
qwen3_4b_base,E22_kmax,down,3,1,5.139405061527214e-07,1e-06
qwen3_4b_base,E22_kmax,down,3,2,5.131257694301894e-07,1e-06
qwen3_4b_base,E22_k8,qkv,4,0,1.3883565941341658e-07,1e-06
qwen3_4b_base,E22_k8,qkv,4,1,1.3758732109181437e-07,1e-06
qwen3_4b_base,E22_k8,qkv,4,2,1.3990970160193683e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,4,0,1.533827713728897e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,4,1,1.558485109853791e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,4,2,1.551491806139893e-07,1e-06
qwen3_4b_base,E22_k8,down,4,0,1.5314348900119512e-07,1e-06
qwen3_4b_base,E22_k8,down,4,1,1.5380267370801448e-07,1e-06
qwen3_4b_base,E22_k8,down,4,2,1.5283146126421343e-07,1e-06
qwen3_4b_base,E22_kmax,down,4,0,2.50419475378294e-07,1e-06
qwen3_4b_base,E22_kmax,down,4,1,2.525204365610989e-07,1e-06
qwen3_4b_base,E22_kmax,down,4,2,2.509077887680178e-07,1e-06
qwen3_4b_base,E22_k8,qkv,5,0,1.4191910224781168e-07,1e-06
qwen3_4b_base,E22_k8,qkv,5,1,1.439803583025423e-07,1e-06
