model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
qwen3_4b_base,E22_k8,qkv,0,0,128,1,8,0.006537152176236583,0.009460025100431934,0.46804017666007863,0.47075968222849124,0.006899723788279772,0.05546323571312681,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,0,1,128,1,8,0.006525385281136065,0.009492666539176575,0.46804017666007863,0.47075969048221183,0.0069235310096136555,0.06101489970692946,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,0,2,128,1,8,0.006530214757559438,0.009509944774335111,0.46804017666007863,0.47075965398110314,0.006936132989933707,0.062160012716943845,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,0,0,128,1,20,0.005557398241383909,0.009460025100431934,0.5647863910879372,0.5630461102438441,0.006240846808455306,0.12297995165831474,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,0,1,128,1,20,0.005550281059953921,0.009492666539176575,0.5647863910879372,0.5630461244093994,0.006262380601088011,0.12829972634575043,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,0,2,128,1,20,0.005548369390395641,0.009509944774335111,0.5647863910879372,0.5630461136196028,0.006273779177476562,0.13074287886034094,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,0,0,128,1,8,0.00722747410062511,0.010983418098219063,0.09789903875608227,0.09528976237572476,0.010431940196431577,0.44337289227080173,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,0,1,128,1,8,0.007229219008165836,0.010989099708810795,0.09789903875608227,0.09528976034201687,0.010437336533107676,0.44377096907952,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,0,2,128,1,8,0.007229578266501993,0.010987663946850912,0.09789903875608227,0.09528975898168725,0.010435972860818423,0.44351059994372727,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,0,0,128,1,76,0.007012892120170118,0.010983418098219063,0.24681670209694428,0.23470657844903503,0.009532083900639591,0.35922294786538966,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,0,1,128,1,76,0.007013230667488876,0.010989099708810795,0.24681670209694428,0.23470657835058037,0.009537014750796331,0.3598604128346899,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,0,2,128,1,76,0.007013484529489723,0.010987663946850912,0.24681670209694428,0.2347065795784891,0.009535768708504163,0.35963352715885333,131072,9961472,saved factor eigenvalue sum / calibration trace
