model,index_basis,token_class,chunk,metric,token_count,sum_seed_averaged_effect
qwen3_4b_base,predictor,BOS,0,gain,1,-0.5955632527669271
qwen3_4b_base,predictor,BOS,1,gain,1,-0.15285428365071616
qwen3_4b_base,predictor,BOS,2,gain,1,-0.7140522003173828
qwen3_4b_base,predictor,BOS,3,gain,1,-0.3260313669840495
qwen3_4b_base,predictor,BOS,4,gain,1,0.05905977884928385
qwen3_4b_base,predictor,BOS,5,gain,1,0.2586040496826172
qwen3_4b_base,predictor,BOS,6,gain,1,-0.12160460154215495
qwen3_4b_base,predictor,BOS,7,gain,1,-0.20493761698404947
qwen3_4b_base,predictor,BOS,8,gain,1,-0.6788959503173828
qwen3_4b_base,predictor,BOS,9,gain,1,-0.9184792836507162
qwen3_4b_base,predictor,BOS,10,gain,1,-0.9038308461507162
qwen3_4b_base,predictor,BOS,11,gain,1,-0.8807188669840494
qwen3_4b_base,predictor,BOS,12,gain,1,0.23777071634928384
qwen3_4b_base,predictor,BOS,13,gain,1,0.1546001434326172
qwen3_4b_base,predictor,BOS,14,gain,1,-0.19972991943359375
qwen3_4b_base,predictor,BOS,15,gain,1,-0.13722928365071616
qwen3_4b_base,predictor,BOS,16,gain,1,-0.06455675760904948
qwen3_4b_base,predictor,BOS,17,gain,1,0.029436747233072918
qwen3_4b_base,predictor,BOS,18,gain,1,-0.3091042836507161
qwen3_4b_base,predictor,BOS,19,gain,1,-0.6456928253173828
qwen3_4b_base,predictor,BOS,20,gain,1,-0.022646427154541016
qwen3_4b_base,predictor,BOS,21,gain,1,-0.7140522003173828
qwen3_4b_base,predictor,BOS,22,gain,1,-0.16847928365071616
qwen3_4b_base,predictor,BOS,23,gain,1,-0.8807188669840494
qwen3_4b_base,predictor,BOS,24,gain,1,-0.16847928365071616
qwen3_4b_base,predictor,BOS,25,gain,1,-0.5955632527669271
qwen3_4b_base,predictor,BOS,26,gain,1,-0.8143130938212076
qwen3_4b_base,predictor,BOS,27,gain,1,0.4200623830159505
qwen3_4b_base,predictor,BOS,28,gain,1,-0.3260313669840495
qwen3_4b_base,predictor,BOS,29,gain,1,0.06068738301595052
qwen3_4b_base,predictor,BOS,30,gain,1,-0.13722928365071616
qwen3_4b_base,predictor,BOS,31,gain,1,0.4252707163492839
qwen3_4b_base,predictor,BOS,32,gain,1,0.05027008056640625
qwen3_4b_base,predictor,BOS,33,gain,1,0.38783518473307294
qwen3_4b_base,predictor,BOS,34,gain,1,-0.1632715861002604
qwen3_4b_base,predictor,BOS,35,gain,1,0.02943738301595052
qwen3_4b_base,predictor,BOS,36,gain,1,-0.6007709503173828
qwen3_4b_base,predictor,BOS,37,gain,1,-0.5827045440673828
qwen3_4b_base,predictor,BOS,38,gain,1,-0.4445209503173828
qwen3_4b_base,predictor,BOS,39,gain,1,-0.12160460154215495
qwen3_4b_base,predictor,BOS,40,gain,1,-0.5070209503173828
qwen3_4b_base,predictor,BOS,41,gain,1,-0.7212136586507162
qwen3_4b_base,predictor,BOS,42,gain,1,-0.1837787628173828
qwen3_4b_base,predictor,BOS,43,gain,1,-0.003765741984049479
qwen3_4b_base,predictor,BOS,44,gain,1,-0.6456928253173828
qwen3_4b_base,predictor,BOS,45,gain,1,-0.4497292836507161
qwen3_4b_base,predictor,BOS,46,gain,1,0.43047841389973956
qwen3_4b_base,predictor,BOS,47,gain,1,0.3692808151245117
qwen3_4b_base,predictor,BOS,48,gain,1,-0.4197813669840495
qwen3_4b_base,predictor,BOS,49,gain,1,-0.1945215861002604
qwen3_4b_base,predictor,BOS,50,gain,1,-0.24139626820882162
qwen3_4b_base,predictor,BOS,51,gain,1,-0.05137316385904948
qwen3_4b_base,predictor,BOS,52,gain,1,-0.3953673044840495
qwen3_4b_base,predictor,BOS,53,gain,1,-0.10597928365071614
qwen3_4b_base,predictor,BOS,54,gain,1,-0.8143130938212076
qwen3_4b_base,predictor,BOS,55,gain,1,-0.3488178253173828
qwen3_4b_base,predictor,BOS,56,gain,1,0.05747286478678385
qwen3_4b_base,predictor,BOS,57,gain,1,-0.2934792836507161
qwen3_4b_base,predictor,BOS,58,gain,1,0.12318674723307292
qwen3_4b_base,predictor,BOS,59,gain,1,0.2553488413492839
qwen3_4b_base,predictor,BOS,60,gain,1,-0.2544167836507161
qwen3_4b_base,predictor,BOS,61,gain,1,-0.12160460154215495
qwen3_4b_base,predictor,BOS,62,gain,1,-0.027854283650716145
qwen3_4b_base,predictor,BOS,63,gain,1,-0.4341042836507161
qwen3_4b_base,predictor,BOS,0,offset_spec,1,0.3119465510050456
qwen3_4b_base,predictor,BOS,1,offset_spec,1,1.3510106404622395
