model,row,seed,source_row,source_sha256,source_fp32_nll_sha256,replay_fp32_nll_sha256,chunks,all_bit_identical
qwen3_4b_base,Q1_asym,0,Q1_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,cae2866626ed319fa394bdccd3191b69f872202dde95285a582ebee9c2b98e36,cae2866626ed319fa394bdccd3191b69f872202dde95285a582ebee9c2b98e36,64,True
qwen3_4b_base,Q1_asym,1,Q1_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,f9119acefbf59cc6269c68a19d6e698e28837e08d083a65af1abe4dc3d75a818,f9119acefbf59cc6269c68a19d6e698e28837e08d083a65af1abe4dc3d75a818,64,True
qwen3_4b_base,Q1_asym,2,Q1_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,e0bc99d9d545d71c91f4b2d9415efa9029d8e4515afe83e60e8120ec1676c043,e0bc99d9d545d71c91f4b2d9415efa9029d8e4515afe83e60e8120ec1676c043,64,True
qwen3_4b_base,Had_asym,0,Q1_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,df12b4cea9b6b18b42d354c25614c9c2d547871040f2847d69c0b90d8ab748f1,df12b4cea9b6b18b42d354c25614c9c2d547871040f2847d69c0b90d8ab748f1,64,True
qwen3_4b_base,Had_asym,1,Q1_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,b7a621845b5e33f0f19b33f0dd82ca58123f48d7faab3163bd724f52a56f73c1,b7a621845b5e33f0f19b33f0dd82ca58123f48d7faab3163bd724f52a56f73c1,64,True
qwen3_4b_base,Had_asym,2,Q1_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,5f001d928e83525579e758dc37d4d17600cf44c04898beab2ddbc1e0e8ac23a7,5f001d928e83525579e758dc37d4d17600cf44c04898beab2ddbc1e0e8ac23a7,64,True
qwen3_4b_base,Q1_sym,0,Q2_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,5bd610ff0664b03bec928f4886e1190d2716b1c54c538a82b6a587f8133d6694,5bd610ff0664b03bec928f4886e1190d2716b1c54c538a82b6a587f8133d6694,64,True
qwen3_4b_base,Q1_sym,1,Q2_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,79e6759b58c0b95ce0fb63d0d199a2e0c686b27b0f65941d5beb691af9cc007e,79e6759b58c0b95ce0fb63d0d199a2e0c686b27b0f65941d5beb691af9cc007e,64,True
qwen3_4b_base,Q1_sym,2,Q2_pq,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,a631e990e83e0079d20a201f8a9325cc859f85518f4553f322f81486ea22b070,a631e990e83e0079d20a201f8a9325cc859f85518f4553f322f81486ea22b070,64,True
qwen3_4b_base,Had_sym,0,Q2_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,58b2522d1c0369f0516e7a94b12d227e367f176321c2c2fcf6b225dd032b13a6,58b2522d1c0369f0516e7a94b12d227e367f176321c2c2fcf6b225dd032b13a6,64,True
qwen3_4b_base,Had_sym,1,Q2_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,eba7eea94d365fda58b67d42667487d32d901aa65c1a59a33b3188915fb2230b,eba7eea94d365fda58b67d42667487d32d901aa65c1a59a33b3188915fb2230b,64,True
qwen3_4b_base,Had_sym,2,Q2_hadamard,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069,16645ecb0d6c2f36aa6481ceb2f23cb74a845c1c4706fb31b13f43f372a8b72e,16645ecb0d6c2f36aa6481ceb2f23cb74a845c1c4706fb31b13f43f372a8b72e,64,True
