model,site,layer,dc_energy,total_energy,dc_share,rotation_seed,samples
qwen3_4b_base,qkv,0,143892.58756336625,255499.09659701845,0.5631823731663457,0,131072
qwen3_4b_base,qkv,1,234744.68476180374,480036.54491792165,0.4890141953711904,0,131072
qwen3_4b_base,qkv,2,327686.7392706522,937560.4041158736,0.3495100025898205,0,131072
qwen3_4b_base,qkv,3,831795.0874017616,1959780.1472826316,0.42443285720344803,0,131072
qwen3_4b_base,qkv,4,1086038.4990481422,3174048.7268839437,0.34216188612653653,0,131072
qwen3_4b_base,qkv,5,1819487.8283921077,4068983.5693128193,0.44716027907170625,0,131072
qwen3_4b_base,qkv,6,3584573.3545570574,8283088.108199359,0.4327580858410426,0,131072
qwen3_4b_base,qkv,7,11040257.81775999,19693691.34510216,0.5605987026147697,0,131072
qwen3_4b_base,qkv,8,12160235.112439932,25590762.403337687,0.4751806499853997,0,131072
qwen3_4b_base,qkv,9,14044889.520809678,29492509.83604405,0.47621886366703253,0,131072
qwen3_4b_base,qkv,10,25510366.44624038,49618778.705998324,0.5141272540663416,0,131072
qwen3_4b_base,qkv,11,12177220.378743306,24086392.687305875,0.5055643049928769,0,131072
qwen3_4b_base,qkv,12,16607711.354319476,30453239.132527698,0.5453512278955067,0,131072
qwen3_4b_base,qkv,13,10924171.901142089,21593193.56068161,0.5059081173168188,0,131072
qwen3_4b_base,qkv,14,25805588.933144685,44133739.356906414,0.5847134031507442,0,131072
qwen3_4b_base,qkv,15,25231878.8718742,42285387.18222409,0.5967044540266422,0,131072
qwen3_4b_base,qkv,16,34959697.84055768,65563532.2013904,0.5332186455905481,0,131072
qwen3_4b_base,qkv,17,30151286.388871044,55418647.14207403,0.5440639197051074,0,131072
qwen3_4b_base,qkv,18,41366043.87937462,69595252.40195893,0.5943802551423791,0,131072
qwen3_4b_base,qkv,19,83478872.26138835,138091401.44047877,0.6045189735971364,0,131072
qwen3_4b_base,qkv,20,75833561.3794692,123930076.6657562,0.6119060313663406,0,131072
qwen3_4b_base,qkv,21,120057236.45169541,182834146.16827902,0.6566455936583954,0,131072
qwen3_4b_base,qkv,22,224647596.56070134,354962309.5423399,0.6328773239343186,0,131072
qwen3_4b_base,qkv,23,187387916.44696674,308092353.4144825,0.6082199521351646,0,131072
qwen3_4b_base,qkv,24,301945506.12128854,504545883.4512888,0.5984500439402352,0,131072
qwen3_4b_base,qkv,25,271195068.8254802,423611869.4000973,0.6401970492695026,0,131072
qwen3_4b_base,qkv,26,334097310.98226553,571616487.4447434,0.584478086830135,0,131072
qwen3_4b_base,qkv,27,497140120.8870609,806365607.0507718,0.6165195000135454,0,131072
qwen3_4b_base,qkv,28,576277404.6162375,892447516.4969031,0.6457269407598125,0,131072
qwen3_4b_base,qkv,29,762277983.523042,1431132067.1958108,0.5326398597277363,0,131072
qwen3_4b_base,qkv,30,1197662502.4271939,2060731190.481396,0.581183275120621,0,131072
qwen3_4b_base,qkv,31,1349515693.0272107,2426150288.520846,0.5562374678157187,0,131072
