model,row,seed,chunk,nll,tokens,quantized_input_positions,token_sha256,unmasked_bf16_bit_identical
qwen3_4b_base,Q1_asym,0,0,1.8059195280075073,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,1,2.2523036003112793,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,2,2.4539055824279785,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,3,2.1964292526245117,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,4,1.9433629512786865,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,5,1.5299535989761353,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,6,1.303595781326294,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,7,1.8953191041946411,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,8,2.1067616939544678,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,9,2.1979362964630127,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,10,2.0605361461639404,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,11,2.1335644721984863,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,12,2.0902645587921143,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,13,2.246751546859741,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,14,2.172631025314331,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,15,2.299323320388794,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,16,2.4122986793518066,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,17,2.2402236461639404,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,18,2.015583038330078,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,19,1.869889497756958,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,20,2.039616584777832,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,21,2.3055312633514404,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,22,2.0504281520843506,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,23,2.202094316482544,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,24,2.161025047302246,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,25,2.251464366912842,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,26,2.333801746368408,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,27,2.51606822013855,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,28,2.2883963584899902,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,29,1.8843722343444824,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,30,1.8355076313018799,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,31,1.7552767992019653,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,32,1.5472548007965088,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,33,2.0109329223632812,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,34,1.8989567756652832,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,35,2.0240118503570557,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,36,1.6474354267120361,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,37,1.4581488370895386,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,38,1.5928473472595215,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,39,1.3941409587860107,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,40,1.6146061420440674,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,0,41,1.9981513023376465,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
