model,row,quantizer,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,0,anchor,131072,0.10716751769643196,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,1,anchor,131072,0.10172830295807955,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,2,anchor,131072,0.10410669857353838,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,3,anchor,131072,0.10295367415229606,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,4,anchor,131072,0.10779474212252893,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,5,anchor,131072,0.10561604280232473,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,6,anchor,131072,0.10074270646426697,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,7,anchor,131072,0.1066007003945515,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,8,anchor,131072,0.10407307609035854,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,9,anchor,131072,0.09866707979787748,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,10,anchor,131072,0.10665225922483046,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,11,anchor,131072,0.10651300715894507,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,12,anchor,131072,0.10286444007287798,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,13,anchor,131072,0.10393213373794907,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,14,anchor,131072,0.11226233013594111,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,15,anchor,131072,0.10289502905416725,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,16,anchor,131072,0.10729216006781428,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,17,anchor,131072,0.10583709698101984,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,18,anchor,131072,0.1070071851272445,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,19,anchor,131072,0.10263054100963132,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,20,anchor,131072,0.1109677287430415,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,21,anchor,131072,0.1037154566003693,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,22,anchor,131072,0.10106758641940417,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,23,anchor,131072,0.10780278890412376,common_unquantized_bf16_forward
qwen3_4b_base,Q1,asym_and_sym_same_prequant_input,0,down,0,24,anchor,131072,0.10157737000263012,common_unquantized_bf16_forward
