model,row,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1_asym,0,down,0,0,anchor,131072,0.10727822084808736,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,1,anchor,131072,0.10187339139980622,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,2,anchor,131072,0.10422127413567495,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,3,anchor,131072,0.10309397767918682,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,4,anchor,131072,0.10791778781429429,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,5,anchor,131072,0.10576413590688105,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,6,anchor,131072,0.10085304634797154,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,7,anchor,131072,0.10672089369588633,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,8,anchor,131072,0.10423582348956728,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,9,anchor,131072,0.09886380462435795,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,10,anchor,131072,0.10680894105193772,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,11,anchor,131072,0.10663818986098761,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,12,anchor,131072,0.103020489970433,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,13,anchor,131072,0.10401424152409078,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,14,anchor,131072,0.11243552228565079,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,15,anchor,131072,0.10302220119928762,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,16,anchor,131072,0.10737690339438188,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,17,anchor,131072,0.1060121117355024,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,18,anchor,131072,0.10719427749211263,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,19,anchor,131072,0.10274799622938957,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,20,anchor,131072,0.111112903497677,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,21,anchor,131072,0.10390276329443537,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,22,anchor,131072,0.10117230095416119,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,23,anchor,131072,0.10793296400370878,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,24,anchor,131072,0.10168078954923487,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,25,anchor,131072,0.09983277695101833,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,26,anchor,131072,0.10052111489068238,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,27,anchor,131072,0.10839803248062196,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,28,anchor,131072,0.10235196689357906,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,29,anchor,131072,0.10930153612066817,actual_quantized_forward
