model,scope,row,seed,group_class,layer_group_count,group_token_observations,mean_range,status
qwen3_4b_base,common_input,Q1,0,anchor,2736,358612992,1.1196641421418398,MEASURED
qwen3_4b_base,common_input,Q1,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q1,1,anchor,2736,358612992,1.119700893996552,MEASURED
qwen3_4b_base,common_input,Q1,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q1,2,anchor,2736,358612992,1.1196678553354562,MEASURED
qwen3_4b_base,common_input,Q1,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5a,0,anchor,2736,358612992,1.3278789115736638,MEASURED
qwen3_4b_base,common_input,Q5a,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5a,1,anchor,2736,358612992,1.327895972998344,MEASURED
qwen3_4b_base,common_input,Q5a,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5a,2,anchor,2736,358612992,1.3278373345576855,MEASURED
qwen3_4b_base,common_input,Q5a,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5b,0,anchor,2736,358612992,1.294542053174845,MEASURED
qwen3_4b_base,common_input,Q5b,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5b,1,anchor,2736,358612992,1.2945931034064961,MEASURED
qwen3_4b_base,common_input,Q5b,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Q5b,2,anchor,2736,358612992,1.294593115162676,MEASURED
qwen3_4b_base,common_input,Q5b,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Had,0,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Had,0,other,2736,358612992,2.116046466782127,MEASURED
qwen3_4b_base,common_input,Had,1,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Had,1,other,2736,358612992,2.1145809856227564,MEASURED
qwen3_4b_base,common_input,Had,2,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,common_input,Had,2,other,2736,358612992,2.1220439179519714,MEASURED
qwen3_4b_base,runtime,Q1_asym,0,anchor,2736,358612992,1.1188433019365087,MEASURED
qwen3_4b_base,runtime,Q1_asym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q1_asym,1,anchor,2736,358612992,1.1167178821542656,MEASURED
qwen3_4b_base,runtime,Q1_asym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q1_asym,2,anchor,2736,358612992,1.1169737721494353,MEASURED
