model,row,seed,chunk,source_row,old_nll,replay_nll,float32_bit_identical,per_token_mean_difference,source_sha256
qwen3_4b_base,Q1_asym,0,0,Q1_pq,1.8059195280075073,1.8059195280075073,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,1,Q1_pq,2.2523036003112793,2.2523036003112793,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,2,Q1_pq,2.4539055824279785,2.4539055824279785,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,3,Q1_pq,2.1964292526245117,2.1964292526245117,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,4,Q1_pq,1.9433629512786865,1.9433629512786865,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,5,Q1_pq,1.5299535989761353,1.5299535989761353,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,6,Q1_pq,1.303595781326294,1.303595781326294,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,7,Q1_pq,1.8953191041946411,1.8953191041946411,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,8,Q1_pq,2.1067616939544678,2.1067616939544678,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,9,Q1_pq,2.1979362964630127,2.1979362964630127,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,10,Q1_pq,2.0605361461639404,2.0605361461639404,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,11,Q1_pq,2.1335644721984863,2.1335644721984863,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,12,Q1_pq,2.0902645587921143,2.0902645587921143,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,13,Q1_pq,2.246751546859741,2.246751546859741,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,14,Q1_pq,2.172631025314331,2.172631025314331,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,15,Q1_pq,2.299323320388794,2.299323320388794,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,16,Q1_pq,2.4122986793518066,2.4122986793518066,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,17,Q1_pq,2.2402236461639404,2.2402236461639404,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,18,Q1_pq,2.015583038330078,2.015583038330078,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,19,Q1_pq,1.869889497756958,1.869889497756958,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,20,Q1_pq,2.039616584777832,2.039616584777832,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,21,Q1_pq,2.3055312633514404,2.3055312633514404,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,22,Q1_pq,2.0504281520843506,2.0504281520843506,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,23,Q1_pq,2.202094316482544,2.202094316482544,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,24,Q1_pq,2.161025047302246,2.161025047302246,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,25,Q1_pq,2.251464366912842,2.251464366912842,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,26,Q1_pq,2.333801746368408,2.333801746368408,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,27,Q1_pq,2.51606822013855,2.51606822013855,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,28,Q1_pq,2.2883963584899902,2.2883963584899902,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,29,Q1_pq,1.8843722343444824,1.8843722343444824,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,30,Q1_pq,1.8355076313018799,1.8355076313018799,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,31,Q1_pq,1.7552767992019653,1.7552767992019653,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,32,Q1_pq,1.5472548007965088,1.5472548007965088,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,33,Q1_pq,2.0109329223632812,2.0109329223632812,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,34,Q1_pq,1.8989567756652832,1.8989567756652832,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,35,Q1_pq,2.0240118503570557,2.0240118503570557,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,36,Q1_pq,1.6474354267120361,1.6474354267120361,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,37,Q1_pq,1.4581488370895386,1.4581488370895386,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,38,Q1_pq,1.5928473472595215,1.5928473472595215,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,39,Q1_pq,1.3941409587860107,1.3941409587860107,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,40,Q1_pq,1.6146061420440674,1.6146061420440674,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,41,Q1_pq,1.9981513023376465,1.9981513023376465,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,42,Q1_pq,2.440805196762085,2.440805196762085,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,43,Q1_pq,2.6583077907562256,2.6583077907562256,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,44,Q1_pq,2.552419900894165,2.552419900894165,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,45,Q1_pq,2.3237905502319336,2.3237905502319336,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,46,Q1_pq,2.279269218444824,2.279269218444824,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,47,Q1_pq,2.3794116973876953,2.3794116973876953,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,48,Q1_pq,2.397869825363159,2.397869825363159,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,49,Q1_pq,1.9783527851104736,1.9783527851104736,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,50,Q1_pq,2.2668545246124268,2.2668545246124268,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,51,Q1_pq,1.9375526905059814,1.9375526905059814,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,52,Q1_pq,1.8647170066833496,1.8647170066833496,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,53,Q1_pq,1.7919435501098633,1.7919435501098633,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,54,Q1_pq,1.6640441417694092,1.6640441417694092,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,55,Q1_pq,1.8332045078277588,1.8332045078277588,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,56,Q1_pq,1.6140443086624146,1.6140443086624146,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,57,Q1_pq,1.5487226247787476,1.5487226247787476,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,58,Q1_pq,1.8887126445770264,1.8887126445770264,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,59,Q1_pq,1.8439586162567139,1.8439586162567139,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,60,Q1_pq,2.108795404434204,2.108795404434204,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,61,Q1_pq,2.285625696182251,2.285625696182251,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,62,Q1_pq,2.3581809997558594,2.3581809997558594,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,0,63,Q1_pq,2.6180918216705322,2.6180918216705322,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,0,Q1_pq,1.806986689567566,1.806986689567566,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,1,Q1_pq,2.258174180984497,2.258174180984497,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,2,Q1_pq,2.4502382278442383,2.4502382278442383,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,3,Q1_pq,2.193598985671997,2.193598985671997,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,4,Q1_pq,1.9479538202285767,1.9479538202285767,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,5,Q1_pq,1.5254788398742676,1.5254788398742676,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,6,Q1_pq,1.2970155477523804,1.2970155477523804,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,7,Q1_pq,1.8821837902069092,1.8821837902069092,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,8,Q1_pq,2.0999956130981445,2.0999956130981445,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,9,Q1_pq,2.1922965049743652,2.1922965049743652,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,10,Q1_pq,2.0639216899871826,2.0639216899871826,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,11,Q1_pq,2.128946542739868,2.128946542739868,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,12,Q1_pq,2.091625690460205,2.091625690460205,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,13,Q1_pq,2.252492904663086,2.252492904663086,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,14,Q1_pq,2.176729679107666,2.176729679107666,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,15,Q1_pq,2.303967237472534,2.303967237472534,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,16,Q1_pq,2.4110615253448486,2.4110615253448486,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,17,Q1_pq,2.237955331802368,2.237955331802368,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,18,Q1_pq,2.0177080631256104,2.0177080631256104,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,19,Q1_pq,1.869173288345337,1.869173288345337,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,20,Q1_pq,2.0364482402801514,2.0364482402801514,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,21,Q1_pq,2.3015828132629395,2.3015828132629395,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,22,Q1_pq,2.048173427581787,2.048173427581787,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,23,Q1_pq,2.191755771636963,2.191755771636963,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,24,Q1_pq,2.1569807529449463,2.1569807529449463,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,25,Q1_pq,2.252847194671631,2.252847194671631,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,26,Q1_pq,2.3219687938690186,2.3219687938690186,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,27,Q1_pq,2.5117554664611816,2.5117554664611816,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,28,Q1_pq,2.2784104347229004,2.2784104347229004,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,29,Q1_pq,1.879921555519104,1.879921555519104,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,30,Q1_pq,1.8398081064224243,1.8398081064224243,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,31,Q1_pq,1.7548630237579346,1.7548630237579346,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,32,Q1_pq,1.5513012409210205,1.5513012409210205,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,33,Q1_pq,2.019029378890991,2.019029378890991,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,34,Q1_pq,1.8970584869384766,1.8970584869384766,True,1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,35,Q1_pq,2.0214383602142334,2.0214383602142334,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,36,Q1_pq,1.6444716453552246,1.6444716453552246,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,37,Q1_pq,1.4646061658859253,1.4646061658859253,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,38,Q1_pq,1.5945383310317993,1.5945383310317993,True,-2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,39,Q1_pq,1.3920433521270752,1.3920433521270752,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,40,Q1_pq,1.6273128986358643,1.6273128986358643,True,-1.1920928955078125e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,41,Q1_pq,2.0067834854125977,2.0067834854125977,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,42,Q1_pq,2.4418883323669434,2.4418883323669434,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,43,Q1_pq,2.662374258041382,2.662374258041382,True,0.0,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,44,Q1_pq,2.563645839691162,2.563645839691162,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
qwen3_4b_base,Q1_asym,1,45,Q1_pq,2.3396811485290527,2.3396811485290527,True,2.384185791015625e-07,5156f203c3fab4a8c976d0a272620e5bec145ccf2e1efde3311d3767999dc069
