model,seed,site,layer,column,selected_directions,group_count,other_groups,changed_target_coordinates,unchanged_G,unchanged_source_order,unchanged_D,original_target_sha256,new_target_sha256,D_sha256,column_sign_transitions,column_crest_factor
qwen3_4b_base,0,qkv,0,0,20,20,0,0,True,True,True,3a5e34067e6d0a85eb32a36dcf92c5263f40e98c7efd2275e6cdf738c0829518,3a5e34067e6d0a85eb32a36dcf92c5263f40e98c7efd2275e6cdf738c0829518,1d344de9ded03471ecc1843d857249348d0c6b47224376a38d56b22bf0877dea,0,1.0
qwen3_4b_base,0,qkv,1,0,20,20,0,0,True,True,True,d839ab57fdeb3f3c2a734fe6e42eb96748a55021b1968f17acc64eaf60a0a1ab,d839ab57fdeb3f3c2a734fe6e42eb96748a55021b1968f17acc64eaf60a0a1ab,eacdc01dd96543ce40aafea91391b28031d390a2f87858366312356d8b0d24c0,0,1.0
qwen3_4b_base,0,qkv,2,0,20,20,0,0,True,True,True,8911cf4ba4163a4c6f4d2c3eff79f5332d2b75aa0e8faa48bd397fa736b99740,8911cf4ba4163a4c6f4d2c3eff79f5332d2b75aa0e8faa48bd397fa736b99740,9a130ea3d733cc60dce00102f89692717f7d029e9ea362bd3dce2df933ecaa7d,0,1.0
qwen3_4b_base,0,qkv,3,0,20,20,0,0,True,True,True,332a0296399a535ffa86955554942eb359ca86e30a72c43e1884dc7a9e9965d8,332a0296399a535ffa86955554942eb359ca86e30a72c43e1884dc7a9e9965d8,af7f3068ffbb29fc7922f8910521bcf9189c0f54bf3fa85d14f7dac631adcc19,0,1.0
qwen3_4b_base,0,qkv,4,0,20,20,0,0,True,True,True,a2ced94894253a6a5c33ce38a438e2c8d725bef3a5945844c4fa08f6b533325e,a2ced94894253a6a5c33ce38a438e2c8d725bef3a5945844c4fa08f6b533325e,dcc3bacc1a70a6121735bf92f4403ecd9453b02ffd4ea0ca0c904c804146dd9f,0,1.0
qwen3_4b_base,0,qkv,5,0,20,20,0,0,True,True,True,4feb6433864ccb777596985329a890a836acbf2a252505f702560facf94f8247,4feb6433864ccb777596985329a890a836acbf2a252505f702560facf94f8247,4d4bc6ad8aaf9f03ca638e5c54daeb6a195aa1583ae1a19c012aba5271ec4c08,0,1.0
qwen3_4b_base,0,qkv,6,0,20,20,0,0,True,True,True,8585f20df3e13eee873807caa884dccb0725f1304d2b6d45564988df3935f5b8,8585f20df3e13eee873807caa884dccb0725f1304d2b6d45564988df3935f5b8,48bd0f2c8b1d3e56b9322c29713f23cac86d009b453f37805f2d7fd701ee68d8,0,1.0
qwen3_4b_base,0,qkv,7,0,20,20,0,0,True,True,True,af07d394ad2e4e2588a093c0ffca928851cad125536554c69822ac351b3c36ff,af07d394ad2e4e2588a093c0ffca928851cad125536554c69822ac351b3c36ff,0d228d2ca9f539a4dd64bd48eb99a0d75316c9de6a5b218c820d9872f73ae130,0,1.0
qwen3_4b_base,0,qkv,8,0,20,20,0,0,True,True,True,21bc61a296fadb15f52110bddf8a343bfd3f82d59a9a5e52c32b75165f3fb92f,21bc61a296fadb15f52110bddf8a343bfd3f82d59a9a5e52c32b75165f3fb92f,11e1f3b84b2167d8f3cf3114f67d49d6ba31d11e4469cab6afdb1c04fe0b4131,0,1.0
qwen3_4b_base,0,qkv,9,0,20,20,0,0,True,True,True,fb6c87bcbdc66e63b5fb0de0320d62e0e9315c87be06ec69b09944687b6240ee,fb6c87bcbdc66e63b5fb0de0320d62e0e9315c87be06ec69b09944687b6240ee,564a5b626ec4e41f917062545d66d08c471a051eb27410bca828a26ff522626a,0,1.0
qwen3_4b_base,0,qkv,10,0,20,20,0,0,True,True,True,bda029167efcb0ac7bc976b4e92b112de8701cc9238ac44963d74bff6bd58122,bda029167efcb0ac7bc976b4e92b112de8701cc9238ac44963d74bff6bd58122,52a84352c46161872b2b4f51be7a252014c23bcc798cd0a7aae1f505a4bcd9bd,0,1.0
qwen3_4b_base,0,qkv,11,0,20,20,0,0,True,True,True,b2ae1903609e8b4454bb51a7bef34cb2d20070e94952544eaaba763e95a22dd0,b2ae1903609e8b4454bb51a7bef34cb2d20070e94952544eaaba763e95a22dd0,68405942eccbb806dec51eb51f55503071b0dbce16f6254651d671f467461639,0,1.0
qwen3_4b_base,0,qkv,12,0,20,20,0,0,True,True,True,00b63f195cb5fdb1f4673f14ffb0db71e84692a15585bb5eab46cd3350a47f44,00b63f195cb5fdb1f4673f14ffb0db71e84692a15585bb5eab46cd3350a47f44,6dd18e515f735d65663d069ec5805a233fe20a70055cd31bd8a11e285567a80d,0,1.0
qwen3_4b_base,0,qkv,13,0,20,20,0,0,True,True,True,d248211581553fb7ad51e1afe74706ced8e852fdd765d03d1995d935a319750a,d248211581553fb7ad51e1afe74706ced8e852fdd765d03d1995d935a319750a,5ac3b1604e0bc775396cb4bfdc67ac9280079cd53ae80b5fce5d95ccbff96572,0,1.0
qwen3_4b_base,0,qkv,14,0,20,20,0,0,True,True,True,37d7a33c2e56ee4493b50bf955d31688609e017267e2b27e7d9f40903f12c5b1,37d7a33c2e56ee4493b50bf955d31688609e017267e2b27e7d9f40903f12c5b1,5411e0d95aceb3b24574a83a0b603177a1ddcb933427cd9bfc870f91f3dfc1c2,0,1.0
qwen3_4b_base,0,qkv,15,0,20,20,0,0,True,True,True,94730bf211b517f03e5ae6a70a6a3efa2bf1a87c739ea516ea2c6ae7049ea0d8,94730bf211b517f03e5ae6a70a6a3efa2bf1a87c739ea516ea2c6ae7049ea0d8,ed13edff09339b750d9e0e052507a572a37048f4f363b6b46669eab56ff70c6a,0,1.0
qwen3_4b_base,0,qkv,16,0,20,20,0,0,True,True,True,91ab9a4f8f024359ea3b7759e33cd4a2b84fb70fbed41cb2b13fcf8988cfaf53,91ab9a4f8f024359ea3b7759e33cd4a2b84fb70fbed41cb2b13fcf8988cfaf53,c5ef917f0216953fd5787849ed49cb0da0f303459b5ba790a7141369229947a6,0,1.0
qwen3_4b_base,0,qkv,17,0,20,20,0,0,True,True,True,d248f08cc4e86d292eb57ddfed7d9f03e7b32dcdc957447dd95821901bd9a521,d248f08cc4e86d292eb57ddfed7d9f03e7b32dcdc957447dd95821901bd9a521,c991d905dcb45afd740150120b6ec8ed4d4c015031efde0d7622cd1b76350b0d,0,1.0
qwen3_4b_base,0,qkv,18,0,20,20,0,0,True,True,True,4ae70a4514c1035c9cc386c27c76c223d2a8e0e0c1a0c4c68e5bb60f011782b3,4ae70a4514c1035c9cc386c27c76c223d2a8e0e0c1a0c4c68e5bb60f011782b3,15871d49393ae722b5205bd7f82f010d2fee1c2f06f25c90460dd47a9de61999,0,1.0
qwen3_4b_base,0,qkv,19,0,20,20,0,0,True,True,True,b7056f1d4fdb6ae0cbd4a08a7d21fcd4092ff72304ec61b3978e61d9a82a0052,b7056f1d4fdb6ae0cbd4a08a7d21fcd4092ff72304ec61b3978e61d9a82a0052,d55c99fd6a8db283b11fbe71b8db31d05e3d91cbfebf58f79778449f9c166fa3,0,1.0
qwen3_4b_base,0,qkv,20,0,20,20,0,0,True,True,True,d92ccd87102f31cf0ad27eabae1ebe73200dbda7ea234b5f934066922689bdeb,d92ccd87102f31cf0ad27eabae1ebe73200dbda7ea234b5f934066922689bdeb,4a826077d93b8662eb4062a5cdccc5314b165e0b4baa7144ce109d070c44eb78,0,1.0
qwen3_4b_base,0,qkv,21,0,20,20,0,0,True,True,True,fc59c1f114873b4d9596e3ca2897aad2fdcfb4f8677e0364292af6558863c0eb,fc59c1f114873b4d9596e3ca2897aad2fdcfb4f8677e0364292af6558863c0eb,e58da122b332af9188e3b470eb548f11d952454f62153bd355254fa38785263e,0,1.0
qwen3_4b_base,0,qkv,22,0,20,20,0,0,True,True,True,46ca3379a2ed67e7991c9a5eadd4e16e39c04e622ebfab2fe773b9d38c2b77e0,46ca3379a2ed67e7991c9a5eadd4e16e39c04e622ebfab2fe773b9d38c2b77e0,868d700a0dadef76d5abcc1b4e4424a33954bfa0c930dfdc9ce95cae6220d940,0,1.0
