model,row,reference,mean_ppl,seed_std,seed_ppls,delta,ci90_low,ci90_high,seed_ci90_low,seed_ci90_high,nll_delta,nll_ci90_low,nll_ci90_high,ci_method,seeds,chunks_per_seed
qwen3_4b_base,Q1_asym,Q1_asym,7.697452185949383,0.006475619822230856,"[7.7039950333407194, 7.697315568961047, 7.691045955546383]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Had_asym,Q1_asym,7.876937705826866,0.00993311840175216,"[7.87658705082769, 7.867184558016173, 7.887041508636738]",0.17948551987748385,0.16814505703686378,0.19082598271810391,0.15527195321723317,0.20369908653773453,0.023049529020984966,0.021921102461426686,0.024177955580543246,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Q1_sym,Q1_sym,7.763588841852365,0.010976028961610557,"[7.750926160308516, 7.769455872538885, 7.770384492709695]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Had_sym,Q1_sym,7.958076973740365,0.010886470024464232,"[7.970365697042853, 7.954225141105233, 7.949640083073008]",0.19448813188799896,0.18164729170986682,0.2073289720661311,0.15776398294723432,0.2312122808287636,0.024742720648646355,0.02346753050876369,0.026017910788529018,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Q5a_asym,Q1_asym,7.726833974108209,0.005760312064912143,"[7.729113015166993, 7.731106077547133, 7.7202828296105]",0.02938178815882549,0.02229073954106292,0.03647283677658806,0.022068418177336725,0.03669515814031425,0.0038098637014627457,0.002903714108343518,0.004716013294581973,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Q5b_asym,Q1_asym,7.720112187448421,0.0059133381498357555,"[7.713284108754942, 7.723550186992375, 7.7235022665979445]",0.02266000149903717,0.015732347588835256,0.02958765540923908,0.0024463594519868286,0.04287364354608751,0.0029395471016565957,0.002036343097625813,0.0038427511056873783,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Q5a_sym,Q1_sym,7.772175165024007,0.007367045215828697,"[7.7800332678782285, 7.771067641527189, 7.7654245856666035]",0.008586323171641356,0.0006946702181676052,0.016477976125115104,-0.021881674264643616,0.03905432060792633,0.00110572949051857,9.056210756066782e-05,0.0021208968734764723,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,Q5b_sym,Q1_sym,7.764280887828703,0.006620505245177409,"[7.76008082166247, 7.771912708403297, 7.760849133420342]",0.0006920459763373188,-0.006949735570764924,0.008333827523439561,-0.015271587601059237,0.016655679553733874,8.956032494703929e-05,-0.0008935991634175805,0.001072719813311659,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M1_pq_asym,M1_had_asym,7.640688788953127,0.008146509260047848,"[7.649003333670563, 7.640341618001242, 7.632721415187574]",-0.03538385935995662,-0.04106477166258625,-0.02970294705732698,-0.0681030493902682,-0.002664669329645028,-0.004619905104239781,-0.005340540948965372,-0.003899269259514191,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M1_had_asym,M1_had_asym,7.676072648313084,0.011605053450645766,"[7.667392383046077, 7.6715715699569555, 7.689253991936216]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M1_pq_sym,M1_had_sym,7.641655148391716,0.012152501429924623,"[7.628131626415833, 7.651660218805257, 7.645173599954055]",-0.02992721016527522,-0.0354109146233048,-0.02444350570724564,-0.059936440955160014,8.202062460957449e-05,-0.003909184907873471,-0.0046198832446779775,-0.003198486571068965,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M1_had_sym,M1_had_sym,7.671582358556989,0.007693391051735578,"[7.678535646282318, 7.672893940694791, 7.6633174886938615]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M2_pq_asym,M2_had_asym,7.694438303635615,0.0036463369314229765,"[7.69060155684799, 7.697858443849941, 7.6948549102089165]",-0.13221630582719288,-0.14166951811807663,-0.12276309353630911,-0.1424288460241765,-0.12200376563020926,-0.017037283629179,-0.01805685714576232,-0.01601771011259568,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M2_had_asym,M2_had_asym,7.8266546094628096,0.0058672016162679315,"[7.827760232673282, 7.83189034282097, 7.820313252894174]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M2_pq_sym,M2_had_sym,7.750648830844464,0.0038858936900426776,"[7.751849663544289, 7.753792565985956, 7.746304263003147]",-0.162667366405012,-0.1742528170956307,-0.1510819157143933,-0.17248733423280727,-0.15284739857721674,-0.020770360405246418,-0.021893411475361713,-0.019647309335131122,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
qwen3_4b_base,M2_had_sym,M2_had_sym,7.913316197249475,0.0043012384449414845,"[7.918088367544486, 7.909738287799984, 7.912121936403957]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
