model,source_row,seed,chunk,fp64_mean_of_token_losses,frozen_fp32_chunk_nll,difference,interpretation
qwen3_4b_base,Q1_pq,0,0,1.8059195962054908,1.8059195280075073,6.819798348267625e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,1,2.2523035842066688,2.2523036003112793,-1.6104610534029007e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,2,2.4539055739709723,2.4539055824279785,-8.45700620644152e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,3,2.196429123054864,2.1964292526245117,-1.2956964789978542e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,4,1.9433628054876886,1.9433629512786865,-1.4579099794076456e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,5,1.5299536357043158,1.5299535989761353,3.67281804969366e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,6,1.303595746558541,1.303595781326294,-3.4767752898900994e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,7,1.8953190791042311,1.8953191041946411,-2.5090409971895156e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,8,2.10676178855149,2.1067616939544678,9.459702221548127e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,9,2.197936373551799,2.1979362964630127,7.708878646539574e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,10,2.060536252547551,2.0605361461639404,1.0638361036541255e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,11,2.133564281829646,2.1335644721984863,-1.9036884024714595e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,12,2.090264491425082,2.0902645587921143,-6.736703239695885e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,13,2.2467518246530944,2.246751546859741,2.777933532094323e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,14,2.172631044941032,2.172631025314331,1.9626701153185877e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,15,2.299323136369077,2.299323320388794,-1.8401971679793405e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,16,2.4122989283886915,2.4122986793518066,2.4903688489175124e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,17,2.2402236150865678,2.2402236461639404,-3.107737267527e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
