model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_8b,down,0,1,0.23695512029655097,0.022783095981407202,0.022783095981407202,0.003462386837279809
qwen3_8b,down,0,2,0.14236002145420862,0.013687832652222426,0.03647092863362963,0.0071007274741352756
qwen3_8b,down,0,3,0.11573172482679302,0.011127537533363912,0.047598466166993536,0.010675432085036874
qwen3_8b,down,0,4,0.08133669159302546,0.007820475240437285,0.055418941407430825,0.02213422617794904
qwen3_8b,down,0,5,0.061694529899955296,0.005931892902248195,0.06135083430967902,0.036381304065865545
qwen3_8b,down,0,6,0.0576192835502282,0.005540060353462106,0.06689089466314113,0.04362182057148212
qwen3_8b,down,0,7,0.056443876064694705,0.00542704561241469,0.07231794027555583,0.04396096858194636
qwen3_8b,down,0,8,0.05001767429456124,0.004809170077412079,0.0771271103529679,0.05427673455850294
qwen3_8b,down,0,9,0.045321736486083744,0.004357658408538388,0.08148476876150627,0.05997407254945599
qwen3_8b,down,0,10,0.038953156435049964,0.003745323168065892,0.08523009192957218,0.08231809314588978
qwen3_8b,down,0,11,0.03760061486466907,0.0036152770885455768,0.08884536901811775,0.07263482700760174
qwen3_8b,down,0,12,0.036640308249256515,0.003522944170129874,0.09236831318824762,0.09997568946728988
qwen3_8b,down,0,13,0.03441432561053928,0.003308917243649573,0.09567723043189719,0.10217956697078275
qwen3_8b,down,0,14,0.03347928116697762,0.003219013268255896,0.09889624370015307,0.10686520860248003
qwen3_8b,down,0,15,0.03296664599875723,0.00316972369719116,0.10206596739734423,0.09625101645389884
qwen3_8b,down,0,16,0.03190820576106793,0.003067955288491322,0.10513392268583556,0.10956457554894786
qwen3_8b,down,0,17,0.02984187873367606,0.002869279155495642,0.1080032018413312,0.1120101306074493
qwen3_8b,down,0,18,0.028960378039027724,0.0027845233801879984,0.11078772522151921,0.10862378077339428
qwen3_8b,down,0,19,0.028393316992586404,0.002730000792821154,0.11351772601434036,0.12454509399977388
qwen3_8b,down,0,20,0.02748655090194502,0.0026428157644921052,0.11616054177883246,0.12524991750427447
qwen3_8b,down,0,21,0.0268832539810053,0.0025848091190233125,0.11874535089785578,0.11801514557649867
qwen3_8b,down,0,22,0.025449951606132448,0.002446997935469908,0.12119234883332568,0.14955509246636395
qwen3_8b,down,0,23,0.025050440988428766,0.0024085852236561986,0.12360093405698186,0.14484410580608417
qwen3_8b,down,0,24,0.024580493747246458,0.0023634000717647585,0.12596433412874664,0.12171585358435587
qwen3_8b,down,0,25,0.024093717116666104,0.0023165967839432564,0.1282809309126899,0.16317313931317892
qwen3_8b,down,0,26,0.023067226174928956,0.0022179002813297066,0.13049883119401964,0.15137079847375398
qwen3_8b,down,0,27,0.022701252690549362,0.002182712145235263,0.13268154333925486,0.14332955136912878
qwen3_8b,down,0,28,0.022105717966224302,0.0021254518304229977,0.1348069951696779,0.15933365587283532
qwen3_8b,down,0,29,0.021861233078653435,0.002101944751729954,0.13690893992140782,0.174850245032532
qwen3_8b,down,0,30,0.021656690317457403,0.0020822780850852365,0.13899121800649306,0.16294424523204615
qwen3_8b,down,0,31,0.02134012547748374,0.002051840561201252,0.14104305856769433,0.172122020581184
qwen3_8b,down,0,32,0.020814662196928926,0.0020013175746517193,0.14304437614234602,0.1711058224533087
qwen3_8b,down,0,33,0.0202470796197648,0.0019467448424114488,0.14499112098475747,0.1904377701145126
qwen3_8b,down,0,34,0.01996613650433758,0.00191973232647137,0.14691085331122886,0.1874200144520501
qwen3_8b,down,0,35,0.019704968222024725,0.0018946211491489037,0.14880547446037776,0.16271326312765097
qwen3_8b,down,0,36,0.019182040367212508,0.001844341942298983,0.15064981640267675,0.17207187834308296
qwen3_8b,down,0,37,0.018998001551045304,0.0018266467179552574,0.152476463120632,0.20083146755715842
qwen3_8b,down,0,38,0.018724366875133857,0.0018003369041925095,0.1542768000248245,0.17475365985023486
qwen3_8b,down,0,39,0.01856549041146044,0.0017850610252981099,0.15606186105012262,0.1880543123102412
qwen3_8b,down,0,40,0.01784592813280955,0.0017158755338067832,0.1577777365839294,0.2161771952405273
qwen3_8b,down,0,41,0.017638501899989993,0.0016959316230549274,0.15947366820698433,0.20082254074410172
qwen3_8b,down,0,42,0.017286166901169284,0.0016620548193560034,0.16113572302634036,0.23245040835115569
qwen3_8b,down,0,43,0.016825982454028714,0.001617808354391528,0.16275353138073187,0.21691827764118501
qwen3_8b,down,0,44,0.016779743961098662,0.0016133625503880415,0.1643668939311199,0.192860135696039
qwen3_8b,down,0,45,0.016491497676744786,0.001585647839034687,0.1659525417701546,0.2242840516849138
qwen3_8b,down,0,46,0.016386360361965682,0.0015755389478200048,0.1675280807179746,0.22445786886401256
qwen3_8b,down,0,47,0.01612551998574993,0.0015504592984766504,0.16907854001645126,0.23148288042223905
qwen3_8b,down,0,48,0.01584491023901204,0.0015234788357407253,0.17060201885219198,0.18880540151214215
qwen3_8b,down,0,49,0.015553506992368599,0.0014954605843129345,0.17209747943650489,0.2201846695146754
qwen3_8b,down,0,50,0.015177300447289871,0.0014592885454279534,0.17355676798193287,0.20943111879618018
qwen3_8b,down,0,51,0.015004372994308818,0.001442661672144283,0.17499942965407714,0.2428114475810662
qwen3_8b,down,0,52,0.01480756461388198,0.0014237386616788483,0.17642316831575597,0.23019494040074506
qwen3_8b,down,0,53,0.014475292982093399,0.001391790938964674,0.17781495925472068,0.2115899126210013
qwen3_8b,down,0,54,0.014401651603902872,0.0013847103635991021,0.17919966961831976,0.23778172295876387
qwen3_8b,down,0,55,0.014120372035469515,0.0013576654978996153,0.18055733511621938,0.20355765214848603
qwen3_8b,down,0,56,0.014051723125482118,0.0013510649454266219,0.181908400061646,0.23295235057520977
qwen3_8b,down,0,57,0.01375987788232061,0.0013230041962925905,0.1832314042579386,0.2359976069509373
qwen3_8b,down,0,58,0.01344464764229291,0.0012926949934114504,0.18452409925135005,0.21165213976132397
qwen3_8b,down,0,59,0.013318393472961772,0.0012805557290042316,0.18580465498035428,0.2622642346934079
qwen3_8b,down,0,60,0.013106786206619741,0.0012602098143289122,0.18706486479468318,0.26007394124629823
qwen3_8b,down,0,61,0.012977014146454038,0.0012477323067791282,0.1883125971014623,0.21444083099059746
qwen3_8b,down,0,62,0.012718471198896134,0.0012228735538551325,0.18953547065531745,0.22460485565356722
qwen3_8b,down,0,63,0.012687832139852783,0.00121992762627994,0.19075539828159738,0.27265082992823464
qwen3_8b,down,0,64,0.012545649549193084,0.0012062568534946508,0.19196165513509206,0.25399876161610024
qwen3_8b,down,0,65,0.012237272345917437,0.0011766065660819365,0.19313826170117396,0.24254985256955558
qwen3_8b,down,0,66,0.012150830458105397,0.0011682952292162423,0.1943065569303902,0.21369959628587937
qwen3_8b,down,0,67,0.012017819115894323,0.0011555062665957337,0.19546206319698595,0.22955219894367623
qwen3_8b,down,0,68,0.011861535773157033,0.0011404797147599992,0.19660254291174595,0.2236191615346587
qwen3_8b,down,0,69,0.011766703543484351,0.0011313616514404153,0.19773390456318635,0.22123502821610086
qwen3_8b,down,0,70,0.011649234633692699,0.0011200670845905197,0.19885397164777688,0.2636019784738155
qwen3_8b,down,0,71,0.011563448931511292,0.001111818839588743,0.1999657904873656,0.256817474734998
qwen3_8b,down,0,72,0.011453656348082838,0.0011012623470210087,0.20106705283438664,0.23156413914219248
qwen3_8b,down,0,73,0.011388706598399264,0.0010950174666438414,0.2021620703010305,0.2238028680441106
qwen3_8b,down,0,74,0.01106916957715515,0.0010642941692721427,0.20322636447030262,0.25143781042778124
qwen3_8b,down,0,75,0.011014947117658732,0.0010590807115612108,0.20428544518186384,0.24815416337618634
qwen3_8b,down,0,76,0.01084531323218594,0.0010427705128637154,0.20532821569472753,0.2530550672807558
qwen3_8b,down,0,77,0.010760202298186099,0.0010345871464272408,0.20636280284115477,0.2665972784744208
qwen3_8b,down,0,78,0.010716017970425326,0.0010303388492012185,0.20739314169035597,0.2775305704026365
qwen3_8b,down,0,79,0.010502595561269512,0.0010098184096078695,0.20840296009996387,0.24308855366735216
qwen3_8b,down,0,80,0.010486566066339105,0.0010082771830622018,0.2094112372830261,0.2755587848881524
qwen3_8b,down,0,81,0.010448669545568421,0.001004633454794168,0.21041587073782023,0.25886313724744237
qwen3_8b,down,0,82,0.010218462691281478,0.0009824992006356873,0.21139836993845595,0.25421885106400205
qwen3_8b,down,0,83,0.010089462476629077,0.000970095905579773,0.2123684658440357,0.2654603843487215
qwen3_8b,down,0,84,0.009996969884265957,0.0009612027970166794,0.21332966864105238,0.2821586057605858
qwen3_8b,down,0,85,0.009833902885577882,0.0009455240006359097,0.2142751926416883,0.2779663427891129
qwen3_8b,down,0,86,0.00973849684101929,0.0009363507653512512,0.21521154340703955,0.2804535912419736
qwen3_8b,down,0,87,0.009610922783002785,0.0009240845944202745,0.21613562800145983,0.28115581197140255
qwen3_8b,down,0,88,0.009586949806080654,0.0009217796067352926,0.2170574076081951,0.270977499730338
qwen3_8b,down,0,89,0.009530398267731187,0.0009163422094572777,0.2179737498176524,0.2669557857429006
qwen3_8b,down,0,90,0.009385846633633661,0.0009024436545334948,0.21887619347218587,0.27656829098647695
qwen3_8b,down,0,91,0.009343851863714567,0.0008984058820110593,0.21977459935419694,0.2828275181029938
qwen3_8b,down,0,92,0.009277845850061636,0.0008920594424721172,0.22066665879666905,0.27131587860598283
qwen3_8b,down,0,93,0.009204490575010806,0.0008850063757557955,0.22155166517242483,0.29486701813733124
qwen3_8b,down,0,94,0.009048415977256186,0.0008699998946278385,0.2224216650670527,0.23772127781752203
qwen3_8b,down,0,95,0.008993918318422512,0.0008647599766618722,0.22328642504371454,0.2998472860645405
qwen3_8b,down,0,96,0.008891407309474837,0.0008549036032140951,0.22414132864692865,0.2976806957584766
qwen3_8b,down,1,1,1.225868260033223,0.132476716476738,0.132476716476738,0.00010631361317691333
qwen3_8b,down,1,2,0.12701778178088508,0.013726514677877747,0.14620323115461575,0.010090531963493616
qwen3_8b,down,1,3,0.07318844647587765,0.007909304277847105,0.15411253543246284,0.022820568745110795
qwen3_8b,down,1,4,0.06843278503403714,0.007395371065747312,0.16150790649821017,0.02986975742432306
qwen3_8b,down,1,5,0.06461945190459646,0.006983273070970472,0.16849117956918064,0.029272666550108618
qwen3_8b,down,1,6,0.062300222150194665,0.006732639334348581,0.1752238189035292,0.03584552986346542
qwen3_8b,down,1,7,0.05913023465965956,0.0063900661984660646,0.18161388510199528,0.03701799216298988
qwen3_8b,down,1,8,0.054146401794950685,0.005851475034218454,0.18746536013621373,0.03759666374891543
qwen3_8b,down,1,9,0.04174229156832691,0.004510991845923727,0.19197635198213747,0.0603917464479496
qwen3_8b,down,1,10,0.03955399735422456,0.004274508006982121,0.1962508599891196,0.07020315335390119
qwen3_8b,down,1,11,0.03791577758470196,0.00409746942705531,0.2003483294161749,0.07042054250417258
qwen3_8b,down,1,12,0.03699771760260886,0.003998256831443208,0.2043465862476181,0.07885159416763235
qwen3_8b,down,1,13,0.036453477684732706,0.0039394420960866955,0.2082860283437048,0.08077430552355913
qwen3_8b,down,1,14,0.035173112357197236,0.0038010760089526954,0.21208710435265749,0.0834608982916834
qwen3_8b,down,1,15,0.03336399543406029,0.003605568973234855,0.21569267332589234,0.0927716094923975
qwen3_8b,down,1,16,0.03173585315566588,0.0034296194442105855,0.21912229277010292,0.11643112671172681
qwen3_8b,down,1,17,0.030490001116494546,0.003294983127449441,0.22241727589755236,0.09220097176158841
qwen3_8b,down,1,18,0.02994000659640422,0.0032355465056873346,0.2256528224032397,0.10984879859408121
qwen3_8b,down,1,19,0.028670736115908712,0.0030983794127304298,0.2287512018159701,0.11226667413672216
qwen3_8b,down,1,20,0.027784169130550273,0.0030025701916369793,0.2317537720076071,0.10550417759221778
qwen3_8b,down,1,21,0.027586935046369086,0.0029812555653418896,0.234735027572949,0.10653893135312731
qwen3_8b,down,1,22,0.02678563584186088,0.0028946610339476335,0.23762968860689662,0.12891991926156735
qwen3_8b,down,1,23,0.02630887886297378,0.002843139022015763,0.24047282762891237,0.13715723739126065
qwen3_8b,down,1,24,0.026085312994774942,0.0028189787813921495,0.24329180641030454,0.12097484039159336
qwen3_8b,down,1,25,0.025714768875744146,0.0027789349448728525,0.2460707413551774,0.12607236236891659
qwen3_8b,down,1,26,0.0245227935966311,0.0026501209635939344,0.24872086231877136,0.14657238101785058
qwen3_8b,down,1,27,0.0241210152304288,0.0026067017150162553,0.2513275640337876,0.15268782711596726
qwen3_8b,down,1,28,0.023442852039784776,0.002533414204717658,0.25386097823850523,0.14954760706894954
qwen3_8b,down,1,29,0.022990977582360093,0.0024845811886987043,0.25634555942720394,0.13522607892748723
qwen3_8b,down,1,30,0.0227973318907633,0.0024636543515996552,0.2588092137788036,0.1392607319259772
qwen3_8b,down,1,31,0.022312931489216276,0.002411306332853151,0.26122052011165675,0.14140129223676617
qwen3_8b,down,1,32,0.021855354280440092,0.0023618570338300926,0.2635823771454868,0.14106907684355194
qwen3_8b,down,1,33,0.02168695064897937,0.0023436580471477304,0.2659260351926346,0.15985674377613276
qwen3_8b,down,1,34,0.021329902305765886,0.002305072667564528,0.2682311078601991,0.12779155482508714
