model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,0,2.3125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,1,2.78125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,2,3.03125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,3,2.796875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,4,2.484375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,5,2.0625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,6,1.7890625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,7,2.484375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,8,2.671875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,9,2.734375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,10,2.578125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,11,2.65625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,12,2.515625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,13,2.765625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,14,2.703125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,15,2.59375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,16,2.9375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,17,2.734375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,18,2.484375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,19,2.28125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,20,2.453125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,21,2.859375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,22,2.5625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,23,2.703125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,24,2.6875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,25,2.78125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,26,2.90625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,27,3.046875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,28,2.78125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,29,2.53125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,30,2.34375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,31,2.359375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,32,2.078125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,33,2.625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,34,2.375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,35,2.46875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,36,2.09375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,37,1.9609375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,38,2.203125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,39,1.8203125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,40,2.109375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,41,2.296875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,42,3.046875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,43,3.15625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,44,3.0625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,45,2.953125,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,46,2.859375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,47,2.921875,2047,0.0
