model,method,site,layer,n,active_reflectors,anchor_error,gram_max_abs_deviation,gram_relative_frobenius,gram_spectral_norm,condition_number_bound
qwen3_8b,hadamard,qkv,0,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b,hadamard,qkv,18,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b,hadamard,qkv,35,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b,hadamard,down,0,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.769224561750889e-05,1.0000976970179711
qwen3_8b,hadamard,down,18,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.769253665581346e-05,1.0000976973090379
qwen3_8b,hadamard,down,35,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.769271855475381e-05,1.0000976974909546
qwen3_8b,nar_k8,qkv,0,4096,8,1.8477439880371094e-06,2.6226043701171875e-06,8.487000968671055e-07,2.7847129331348697e-06,1.0000027847168105
qwen3_8b,nar_k8,qkv,18,4096,8,2.086162567138672e-06,3.516674041748047e-06,1.717997292871587e-06,6.398119239747757e-06,1.0000063981397078
qwen3_8b,nar_k8,qkv,35,4096,8,2.682209014892578e-06,3.0994415283203125e-06,1.1087480515925563e-06,3.2786515475891065e-06,1.0000032786569224
qwen3_8b,nar_k8,down,0,12288,8,6.139278411865234e-06,3.8623809814453125e-05,2.598078572191298e-05,8.485707803629339e-05,1.0000848606787036
qwen3_8b,nar_k8,down,18,12288,8,4.5299530029296875e-06,3.713369369506836e-05,2.807307282637339e-05,4.498677662923001e-05,1.0000449877885798
qwen3_8b,nar_k8,down,35,12288,8,9.5367431640625e-06,2.491474151611328e-05,1.3243075954960659e-05,0.00019894518482033163,1.0001989649783511
qwen3_8b,nar_kmax,qkv,0,4096,32,2.086162567138672e-06,1.0728836059570312e-06,6.180512173159514e-07,3.5913956253352808e-06,1.0000035914020744
qwen3_8b,nar_kmax,qkv,18,4096,32,2.086162567138672e-06,1.3113021850585938e-06,7.089026894391282e-07,2.5127922071987996e-06,1.0000025127953642
qwen3_8b,nar_kmax,qkv,35,4096,32,2.682209014892578e-06,1.1920928955078125e-06,6.619731607315771e-07,3.8562584450119175e-06,1.0000038562658804
qwen3_8b,nar_kmax,down,0,12288,96,7.68899917602539e-06,1.8775463104248047e-05,1.1725508556992281e-05,1.8785254724207334e-05,1.0000187854311704
qwen3_8b,nar_kmax,down,18,12288,96,4.589557647705078e-06,1.5854835510253906e-05,9.119561582338065e-06,1.619235990801826e-05,1.0000161924910065
qwen3_8b,nar_kmax,down,35,12288,96,1.0073184967041016e-05,3.2067298889160156e-05,2.4003338694456033e-05,0.00010037524771178141,1.0001003802858126
