model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_8b_base,down,0,1,0.2585966831971192,0.022535371630501396,0.022535371630501396,0.0035103775583726193
qwen3_8b_base,down,0,2,0.1479631093144107,0.012894224375890577,0.03542959600639197,0.00818867282142245
qwen3_8b_base,down,0,3,0.1290547482900709,0.011246457910601543,0.04667605391699352,0.011121626939920498
qwen3_8b_base,down,0,4,0.08881210250894545,0.007739518197144328,0.05441557211413785,0.023468761766818082
qwen3_8b_base,down,0,5,0.06480263684944318,0.00564721668500849,0.06006278879914633,0.03600676199452786
qwen3_8b_base,down,0,6,0.06423337318663402,0.005597608283081053,0.06566039708222739,0.03988053925775769
qwen3_8b_base,down,0,7,0.061372703766916094,0.005348315648356059,0.07100871273058344,0.05293271141181316
qwen3_8b_base,down,0,8,0.05456414566292358,0.0047549848088248485,0.07576369753940829,0.05634779089418215
qwen3_8b_base,down,0,9,0.05139110864526627,0.00447847094365768,0.08024216848306596,0.0625998507374546
qwen3_8b_base,down,0,10,0.04620181897246065,0.004026251024093374,0.08426841950715934,0.0711573820291258
qwen3_8b_base,down,0,11,0.042248170432694875,0.0036817108774895,0.08795013038464884,0.08558728341004683
qwen3_8b_base,down,0,12,0.04167388737154571,0.0036316650607988296,0.09158179544544769,0.08621045293677913
qwen3_8b_base,down,0,13,0.039914225730628534,0.003478319594291902,0.09506011503973957,0.08841237301190448
qwen3_8b_base,down,0,14,0.037558468472713095,0.0032730274589789815,0.09833314249871855,0.10716311083412237
qwen3_8b_base,down,0,15,0.03680637173055057,0.003207486094035014,0.10154062859275358,0.10430125692867374
qwen3_8b_base,down,0,16,0.03538790169818744,0.0030838737223261854,0.10462450231507976,0.09538846439553332
qwen3_8b_base,down,0,17,0.03352718015570839,0.0029217214048941715,0.10754622371997392,0.11068039593187225
qwen3_8b_base,down,0,18,0.03227589068673444,0.0028126779598969826,0.1103589016798709,0.1246917277846385
qwen3_8b_base,down,0,19,0.031592954442408006,0.002753163576821529,0.11311206525669243,0.11711759628826983
qwen3_8b_base,down,0,20,0.029853706684638787,0.0026015970752938625,0.1157136623319863,0.11619463455399062
qwen3_8b_base,down,0,21,0.02865813585741394,0.0024974092235047485,0.11821107155549104,0.16680631356550635
qwen3_8b_base,down,0,22,0.028437499173149815,0.0024781818706487817,0.12068925342613983,0.11603878247306619
qwen3_8b_base,down,0,23,0.027853021821406893,0.0024272476739363746,0.12311650110007621,0.14299149467815034
qwen3_8b_base,down,0,24,0.02732802170499327,0.0023814966125415963,0.12549799771261783,0.13511668052518164
qwen3_8b_base,down,0,25,0.026831374209338968,0.0023382163363000166,0.12783621404891782,0.14549056146829215
qwen3_8b_base,down,0,26,0.025783845890501804,0.00224692962810788,0.1300831436770257,0.14690957661137533
qwen3_8b_base,down,0,27,0.025708832861225647,0.002240392628209164,0.13232353630523486,0.1449828520430078
qwen3_8b_base,down,0,28,0.025257078738355424,0.002201024578632397,0.13452456088386727,0.15359104870843024
qwen3_8b_base,down,0,29,0.02476359350199602,0.0021580198770328493,0.1366825807609001,0.165395379920874
qwen3_8b_base,down,0,30,0.024615062773508844,0.0021450761875638847,0.138827656948464,0.16092306183134683
qwen3_8b_base,down,0,31,0.02435567580432466,0.002122471946572057,0.14095012889503605,0.15807423973773743
qwen3_8b_base,down,0,32,0.0238368820861687,0.002077261740881591,0.14302739063591766,0.18304152967367124
qwen3_8b_base,down,0,33,0.023258553781420086,0.002026863402005707,0.14505425403792335,0.16985689483236133
qwen3_8b_base,down,0,34,0.023128100446264403,0.00201549506443917,0.14706974910236253,0.20028552117087603
qwen3_8b_base,down,0,35,0.02277402926347529,0.0019846395809536314,0.14905438868331616,0.1807676373568384
qwen3_8b_base,down,0,36,0.022020233969703505,0.0019189501959682815,0.15097333887928444,0.17686001067668342
qwen3_8b_base,down,0,37,0.021865262896177802,0.0019054452635356507,0.15287878414282008,0.17593773615825717
qwen3_8b_base,down,0,38,0.02163938802865243,0.0018857614299352234,0.1547645455727553,0.19154077799205202
qwen3_8b_base,down,0,39,0.021544139496258732,0.0018774610099599384,0.15664200658271524,0.19132043420247427
qwen3_8b_base,down,0,40,0.02120590011752211,0.00184798518681456,0.15848999176952983,0.17377270570503472
qwen3_8b_base,down,0,41,0.02058704573505095,0.0017940552085885,0.1602840469781183,0.21929600277768332
qwen3_8b_base,down,0,42,0.020061700579748352,0.0017482740788282115,0.16203232105694654,0.22193606117305598
qwen3_8b_base,down,0,43,0.019391323478140585,0.0016898541604807138,0.16372217521742724,0.20061073433373677
qwen3_8b_base,down,0,44,0.019197278234162903,0.0016729441149530412,0.16539511933238027,0.20432289508951038
qwen3_8b_base,down,0,45,0.018782687942237874,0.001636814702203355,0.1670319340345836,0.22743212394654225
qwen3_8b_base,down,0,46,0.018324378407303735,0.0015968753821631583,0.1686288094167468,0.22255865809756448
qwen3_8b_base,down,0,47,0.018064872855455643,0.0015742608073017425,0.17020307022404854,0.21004709489664267
qwen3_8b_base,down,0,48,0.017955001179546237,0.0015646860555389864,0.17176775627958754,0.22492196845926973
qwen3_8b_base,down,0,49,0.017726817899113786,0.001544801055620049,0.1733125573352076,0.19745150747804346
qwen3_8b_base,down,0,50,0.01734541338392359,0.001511563612722104,0.17482412094792965,0.23173892314407818
qwen3_8b_base,down,0,51,0.017155031600249365,0.0014949728189279467,0.1763190937668576,0.21058158982039052
qwen3_8b_base,down,0,52,0.016972530690750852,0.0014790688028067558,0.17779816256966438,0.23604353874928954
qwen3_8b_base,down,0,53,0.016659419332731924,0.0014517827574969289,0.17924994532716132,0.23836834061266193
qwen3_8b_base,down,0,54,0.01655525065825532,0.0014427049929928977,0.18069265032015422,0.22769317520589533
qwen3_8b_base,down,0,55,0.016221700598101716,0.0014136378198566985,0.1821062881400109,0.21952776809189484
qwen3_8b_base,down,0,56,0.01581775198048249,0.001378435774319488,0.18348472391433038,0.22512713887836946
qwen3_8b_base,down,0,57,0.015583874693036215,0.0013580545709592042,0.18484277848528957,0.22764210474473975
qwen3_8b_base,down,0,58,0.015429180307640455,0.0013445737504747892,0.18618735223576438,0.23078194137396796
qwen3_8b_base,down,0,59,0.015252566217820826,0.001329182740427556,0.18751653497619195,0.2366981887003944
qwen3_8b_base,down,0,60,0.015060444047175745,0.0013124402808553067,0.18882897525704725,0.2640903604749945
qwen3_8b_base,down,0,61,0.01474112738579698,0.001284613475255885,0.19011358873230313,0.21397170911528685
qwen3_8b_base,down,0,62,0.014457347432837121,0.001259883511119563,0.1913734722434227,0.25822067132086757
qwen3_8b_base,down,0,63,0.014172046873579253,0.00123502103396101,0.19260849327738372,0.24352706751645659
qwen3_8b_base,down,0,64,0.01397999943832859,0.0012182850871942088,0.19382677836457793,0.2333420487304082
qwen3_8b_base,down,0,65,0.013861600424455769,0.0012079672217625201,0.1950347455863404,0.2543595084056633
qwen3_8b_base,down,0,66,0.013541149827672258,0.001180041599521543,0.19621478718586197,0.23289528299027593
qwen3_8b_base,down,0,67,0.013418405638840267,0.0011693450744284315,0.1973841322602904,0.22321070101358362
qwen3_8b_base,down,0,68,0.013297406221564393,0.001158800597207479,0.1985429328574979,0.2542545894828276
qwen3_8b_base,down,0,69,0.013100879538804209,0.0011416743070456886,0.1996846071645436,0.2270665614352382
qwen3_8b_base,down,0,70,0.01304384204795315,0.0011367037829178902,0.2008213109474615,0.23663466156685828
qwen3_8b_base,down,0,71,0.01288894286347516,0.001123205115246224,0.20194451606270772,0.23416661410971784
qwen3_8b_base,down,0,72,0.012780389630299809,0.0011137452589903172,0.20305826132169802,0.2357581402612051
qwen3_8b_base,down,0,73,0.012523961883889632,0.0010913988990514296,0.20414966022074946,0.2376149331419508
qwen3_8b_base,down,0,74,0.01240047464504364,0.0010806376209692291,0.2052302978417187,0.2310067251793442
qwen3_8b_base,down,0,75,0.01229180698007475,0.0010711677925707493,0.20630146563428944,0.25430625929631134
qwen3_8b_base,down,0,76,0.012279238274126261,0.0010700724944564738,0.20737153812874592,0.24022755116367944
qwen3_8b_base,down,0,77,0.012210112492901937,0.0010640485379622157,0.20843558666670814,0.28863281259529555
qwen3_8b_base,down,0,78,0.011980536101619081,0.001044042135593919,0.20947962880230203,0.23185131528677747
qwen3_8b_base,down,0,79,0.011773885117292797,0.0010260335645943756,0.21050566236689644,0.25552369924054885
qwen3_8b_base,down,0,80,0.011729171271039986,0.001022136982743911,0.2115277993496403,0.2650848547525591
qwen3_8b_base,down,0,81,0.011644857020469622,0.0010147894292221128,0.21254258877886242,0.24799891278350908
qwen3_8b_base,down,0,82,0.011607010674021957,0.0010114913146774466,0.21355408009353985,0.2632674760500637
qwen3_8b_base,down,0,83,0.011270056256647797,0.0009821274693094936,0.21453620756284936,0.24701452921346026
qwen3_8b_base,down,0,84,0.011181952507019517,0.0009744496804246279,0.21551065724327395,0.2685829377690454
qwen3_8b_base,down,0,85,0.011074384946587357,0.0009650757204814629,0.2164757329637554,0.2826911026154941
qwen3_8b_base,down,0,86,0.010984949386230522,0.0009572818711377453,0.21743301483489316,0.2601924488462724
qwen3_8b_base,down,0,87,0.010903903373692706,0.0009502191277601834,0.21838323396265338,0.2563005688776979
qwen3_8b_base,down,0,88,0.010756158900875926,0.0009373439564311655,0.21932057791908455,0.2865216402020207
qwen3_8b_base,down,0,89,0.010699804593315213,0.0009324329682152332,0.2202530108872998,0.2693303929292411
qwen3_8b_base,down,0,90,0.010591619336470083,0.0009230051792049316,0.2211760160665047,0.282107875774076
qwen3_8b_base,down,0,91,0.01043638041489491,0.0009094769051916562,0.22208549297169636,0.28023663022708056
qwen3_8b_base,down,0,92,0.010380937234139314,0.000904645316993164,0.22299013828868955,0.276994884622575
qwen3_8b_base,down,0,93,0.010330857278107996,0.000900281106259863,0.2238904193949494,0.2542435916684397
qwen3_8b_base,down,0,94,0.010169624491218717,0.0008862304976957861,0.22477664989264515,0.27704803062863737
qwen3_8b_base,down,0,95,0.010057668128493043,0.0008764740761932755,0.22565312396883846,0.28196339975901236
qwen3_8b_base,down,0,96,0.009954916954383372,0.0008675198395595955,0.22652064380839804,0.27729969704091273
qwen3_8b_base,down,1,1,1.1717397679279185,0.11753661951334544,0.11753661951334544,0.0001211982572918236
qwen3_8b_base,down,1,2,0.12056256597639915,0.012093569606995157,0.1296301891203406,0.012997705700629218
qwen3_8b_base,down,1,3,0.11187845019503162,0.011222470374603803,0.1408526594949444,0.014026538516973226
qwen3_8b_base,down,1,4,0.0802548547615449,0.008050323618261612,0.14890298311320602,0.02477984931283348
qwen3_8b_base,down,1,5,0.07602371532729722,0.007625900175955373,0.1565288832891614,0.03090781607361461
qwen3_8b_base,down,1,6,0.0638019570168735,0.006399941822713999,0.1629288251118754,0.04313557427726291
qwen3_8b_base,down,1,7,0.05939773076849582,0.005958156130211925,0.16888698124208731,0.03536477004427777
qwen3_8b_base,down,1,8,0.0558133275180211,0.0055986064652052804,0.17448558770729258,0.04431984590965133
qwen3_8b_base,down,1,9,0.04548772570702969,0.004562850604967663,0.17904843831226025,0.0549086387755891
