model,method,site,layer,n,active_reflectors,anchor_error,gram_max_abs_deviation,gram_relative_frobenius,gram_spectral_norm,condition_number_bound
qwen3_8b_base,hadamard,qkv,0,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b_base,hadamard,qkv,18,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b_base,hadamard,qkv,35,4096,32,0.0,0.0,0.0,0.0,1.0
qwen3_8b_base,hadamard,down,0,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.769234748091549e-05,1.0000976971198445
qwen3_8b_base,hadamard,down,18,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.769255120772868e-05,1.000097697323591
qwen3_8b_base,hadamard,down,35,12288,96,0.0,9.769201278686523e-05,9.769201278686523e-05,9.76922019617632e-05,1.0000976969743112
qwen3_8b_base,nar_k8,qkv,0,4096,8,1.5497207641601562e-06,2.086162567138672e-06,8.351988753929618e-07,2.3054476514516864e-06,1.0000023054503089
qwen3_8b_base,nar_k8,qkv,18,4096,8,1.5497207641601562e-06,3.516674041748047e-06,1.951957756318734e-06,9.964891432900913e-06,1.000009964941083
qwen3_8b_base,nar_k8,qkv,35,4096,8,2.9802322387695312e-06,3.2782554626464844e-06,1.1606300631683553e-06,3.442861952862586e-06,1.0000034428678795
qwen3_8b_base,nar_k8,down,0,12288,8,6.079673767089844e-06,4.0531158447265625e-05,2.5631161406636238e-05,8.731571142561734e-05,1.0000873195237752
qwen3_8b_base,nar_k8,down,18,12288,8,2.1457672119140625e-06,3.796815872192383e-05,2.822519491019193e-05,4.0290997276315466e-05,1.0000402918089912
qwen3_8b_base,nar_k8,down,35,12288,8,1.5795230865478516e-05,2.008676528930664e-05,1.0326339179300703e-05,0.00019140844233334064,1.000191426764436
qwen3_8b_base,nar_kmax,qkv,0,4096,32,2.086162567138672e-06,1.1324882507324219e-06,6.211312211235054e-07,2.987279003718868e-06,1.0000029872834657
qwen3_8b_base,nar_kmax,qkv,18,4096,32,2.7418136596679688e-06,1.3113021850585938e-06,7.205739507298858e-07,2.2723895654053194e-06,1.0000022723921473
qwen3_8b_base,nar_kmax,qkv,35,4096,32,2.9802322387695312e-06,1.1920928955078125e-06,6.560470637850813e-07,3.953478426410584e-06,1.0000039534862415
qwen3_8b_base,nar_kmax,down,0,12288,96,6.079673767089844e-06,2.0802021026611328e-05,1.2080760825483594e-05,2.087958091578912e-05,1.0000208797988988
qwen3_8b_base,nar_kmax,down,18,12288,96,7.033348083496094e-06,1.4781951904296875e-05,7.744767572148703e-06,1.504829924670048e-05,1.0000150484124741
qwen3_8b_base,nar_kmax,down,35,12288,96,1.5795230865478516e-05,3.2007694244384766e-05,2.4450337150483392e-05,0.00018488253408577293,1.0001848996280218
