model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,0,1.9303513765335083,2047,1.9303513765335083,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,1,2.3531620502471924,2047,2.3531620502471924,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,2,2.5502800941467285,2047,2.5502800941467285,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,3,2.275672197341919,2047,2.275672197341919,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,4,2.0596470832824707,2047,2.0596470832824707,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,5,1.6440420150756836,2047,1.6440420150756836,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,6,1.4683098793029785,2047,1.4683098793029785,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,7,2.004887580871582,2047,2.004887580871582,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,8,2.177551746368408,2047,2.177551746368408,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,9,2.364039659500122,2047,2.364039659500122,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,10,2.1958224773406982,2047,2.1958224773406982,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,11,2.236927032470703,2047,2.236927032470703,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,12,2.148857593536377,2047,2.148857593536377,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,13,2.339109182357788,2047,2.339109182357788,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,14,2.3219900131225586,2047,2.3219900131225586,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,15,2.2206647396087646,2047,2.2206647396087646,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,16,2.515286684036255,2047,2.515286684036255,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,17,2.3524320125579834,2047,2.3524320125579834,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,18,2.0910401344299316,2047,2.0910401344299316,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,19,1.9615707397460938,2047,1.9615707397460938,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,20,2.0719099044799805,2047,2.0719099044799805,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,21,2.323246479034424,2047,2.323246479034424,0.0
