model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_k8,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_k8,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_k8,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_k8,0,1,self_attn.o_proj,4096,4096,128,0,0.013277379795908928,-1,128
qwen3_8b_base,nar_k8,0,2,mlp.up_proj,4096,12288,128,0,40.95281982421875,-1,128
qwen3_8b_base,nar_k8,0,2,mlp.gate_proj,4096,12288,128,0,40.95281982421875,-1,128
qwen3_8b_base,nar_k8,0,3,mlp.down_proj,12288,4096,128,0,0.0375802181661129,-1,128
qwen3_8b_base,nar_k8,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_k8,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_k8,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_k8,1,1,self_attn.o_proj,4096,4096,128,0,0.022936608642339706,-1,128
qwen3_8b_base,nar_k8,1,2,mlp.up_proj,4096,12288,128,0,40.95884323120117,-1,128
qwen3_8b_base,nar_k8,1,2,mlp.gate_proj,4096,12288,128,0,40.95884323120117,-1,128
qwen3_8b_base,nar_k8,1,3,mlp.down_proj,12288,4096,128,0,0.0318947397172451,-1,128
qwen3_8b_base,nar_k8,2,0,self_attn.k_proj,4096,1024,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_k8,2,0,self_attn.v_proj,4096,1024,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_k8,2,0,self_attn.q_proj,4096,4096,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_k8,2,1,self_attn.o_proj,4096,4096,128,0,0.02465268038213253,-1,128
qwen3_8b_base,nar_k8,2,2,mlp.up_proj,4096,12288,128,0,40.95927047729492,-1,128
qwen3_8b_base,nar_k8,2,2,mlp.gate_proj,4096,12288,128,0,40.95927047729492,-1,128
qwen3_8b_base,nar_k8,2,3,mlp.down_proj,12288,4096,128,0,0.028526339679956436,-1,128
qwen3_8b_base,nar_k8,3,0,self_attn.k_proj,4096,1024,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_k8,3,0,self_attn.v_proj,4096,1024,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_k8,3,0,self_attn.q_proj,4096,4096,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_k8,3,1,self_attn.o_proj,4096,4096,128,0,0.04361724853515625,-1,128
qwen3_8b_base,nar_k8,3,2,mlp.up_proj,4096,12288,128,0,40.95949935913086,-1,128
qwen3_8b_base,nar_k8,3,2,mlp.gate_proj,4096,12288,128,0,40.95949935913086,-1,128
qwen3_8b_base,nar_k8,3,3,mlp.down_proj,12288,4096,128,0,0.07783938199281693,-1,128
qwen3_8b_base,nar_k8,4,0,self_attn.k_proj,4096,1024,128,0,40.959632873535156,-1,128
qwen3_8b_base,nar_k8,4,0,self_attn.v_proj,4096,1024,128,0,40.959632873535156,-1,128
qwen3_8b_base,nar_k8,4,0,self_attn.q_proj,4096,4096,128,0,40.959632873535156,-1,128
qwen3_8b_base,nar_k8,4,1,self_attn.o_proj,4096,4096,128,0,0.06315478682518005,-1,128
qwen3_8b_base,nar_k8,4,2,mlp.up_proj,4096,12288,128,0,40.959686279296875,-1,128
qwen3_8b_base,nar_k8,4,2,mlp.gate_proj,4096,12288,128,0,40.959686279296875,-1,128
qwen3_8b_base,nar_k8,4,3,mlp.down_proj,12288,4096,128,0,0.1820206344127655,-1,128
qwen3_8b_base,nar_k8,5,0,self_attn.k_proj,4096,1024,128,0,40.959808349609375,-1,128
qwen3_8b_base,nar_k8,5,0,self_attn.v_proj,4096,1024,128,0,40.959808349609375,-1,128
qwen3_8b_base,nar_k8,5,0,self_attn.q_proj,4096,4096,128,0,40.959808349609375,-1,128
qwen3_8b_base,nar_k8,5,1,self_attn.o_proj,4096,4096,128,0,0.10197237879037857,-1,128
qwen3_8b_base,nar_k8,5,2,mlp.up_proj,4096,12288,128,0,40.95983123779297,-1,128
qwen3_8b_base,nar_k8,5,2,mlp.gate_proj,4096,12288,128,0,40.95983123779297,-1,128
qwen3_8b_base,nar_k8,5,3,mlp.down_proj,12288,4096,128,0,0.2651590406894684,-1,128
qwen3_8b_base,nar_k8,6,0,self_attn.k_proj,4096,1024,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_k8,6,0,self_attn.v_proj,4096,1024,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_k8,6,0,self_attn.q_proj,4096,4096,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_k8,6,1,self_attn.o_proj,4096,4096,128,0,0.20528732240200043,-1,128
qwen3_8b_base,nar_k8,6,2,mlp.up_proj,4096,12288,128,0,40.959896087646484,-1,128
qwen3_8b_base,nar_k8,6,2,mlp.gate_proj,4096,12288,128,0,40.959896087646484,-1,128
qwen3_8b_base,nar_k8,6,3,mlp.down_proj,12288,4096,128,0,32.7171745300293,-1,128
qwen3_8b_base,nar_k8,7,0,self_attn.k_proj,4096,1024,128,0,40.95991897583008,-1,128
qwen3_8b_base,nar_k8,7,0,self_attn.v_proj,4096,1024,128,0,40.95991897583008,-1,128
qwen3_8b_base,nar_k8,7,0,self_attn.q_proj,4096,4096,128,0,40.95991897583008,-1,128
qwen3_8b_base,nar_k8,7,1,self_attn.o_proj,4096,4096,128,0,0.21647877991199493,-1,128
qwen3_8b_base,nar_k8,7,2,mlp.up_proj,4096,12288,128,0,40.95992660522461,-1,128
qwen3_8b_base,nar_k8,7,2,mlp.gate_proj,4096,12288,128,0,40.95992660522461,-1,128
qwen3_8b_base,nar_k8,7,3,mlp.down_proj,12288,4096,128,0,0.3410260081291199,-1,128
qwen3_8b_base,nar_k8,8,0,self_attn.k_proj,4096,1024,128,0,40.959930419921875,-1,128
qwen3_8b_base,nar_k8,8,0,self_attn.v_proj,4096,1024,128,0,40.959930419921875,-1,128
qwen3_8b_base,nar_k8,8,0,self_attn.q_proj,4096,4096,128,0,40.959930419921875,-1,128
qwen3_8b_base,nar_k8,8,1,self_attn.o_proj,4096,4096,128,0,0.3281901478767395,-1,128
qwen3_8b_base,nar_k8,8,2,mlp.up_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_k8,8,2,mlp.gate_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_k8,8,3,mlp.down_proj,12288,4096,128,0,0.44879987835884094,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128
