model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_k8,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,-1,128,True,2.373921060585611,1.0615152454112322,0.010615152454112322,0.007928916585399078,0.0078125,1024,0.6632519364356995,0.0076312106102705,nan
qwen3_8b_base,nar_k8,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,-1,128,True,2.373921060585611,1.0615152454112322,0.010615152454112322,0.007928916585399078,0.0078125,1024,0.6650585532188416,0.007875227369368076,nan
qwen3_8b_base,nar_k8,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,-1,128,True,2.373921060585611,1.0615152454112322,0.010615152454112322,0.007928916585399078,0.0078125,4096,0.6644507050514221,0.007712085731327534,nan
qwen3_8b_base,nar_k8,0,1,self_attn.o_proj,4096,4096,128,0,0.013280348852276802,-1,128,True,7.7772392854488785,1.4115663193764931,0.014115663193764933,0.007900714557057072,0.0078125,4096,0.6461449861526489,0.008014306426048279,nan
qwen3_8b_base,nar_k8,0,2,mlp.up_proj,4096,12288,128,0,40.95281982421875,-1,128,True,23.91570790296692,1.95528766407932,0.0195528766407932,0.006082994002990055,0.0078125,12288,0.6652857065200806,0.007854565046727657,nan
qwen3_8b_base,nar_k8,0,2,mlp.gate_proj,4096,12288,128,0,40.95281982421875,-1,128,True,23.91570790296692,1.95528766407932,0.0195528766407932,0.006082994002990055,0.0078125,12288,0.66493821144104,0.00789167732000351,nan
qwen3_8b_base,nar_k8,0,3,mlp.down_proj,12288,4096,128,0,0.03750342130661011,-1,128,True,3.316025084949684,1.0714118839104536,0.010714118839104536,0.007763575671944257,0.0078125,4096,0.6222045421600342,0.007846184074878693,nan
qwen3_8b_base,nar_k8,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,-1,128,True,12.315969007394244,1.5461852312325985,0.015461852312325986,0.006854531782921709,0.0078125,1024,0.6659961342811584,0.007912777364253998,nan
qwen3_8b_base,nar_k8,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,-1,128,True,12.315969007394244,1.5461852312325985,0.015461852312325986,0.006854531782921709,0.0078125,1024,0.662900447845459,0.007859228178858757,nan
qwen3_8b_base,nar_k8,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,-1,128,True,12.315969007394244,1.5461852312325985,0.015461852312325986,0.006854531782921709,0.0078125,4096,0.663867175579071,0.007914950139820576,nan
qwen3_8b_base,nar_k8,1,1,self_attn.o_proj,4096,4096,128,0,0.022939715534448624,-1,128,True,7.798403324295844,1.1976205454308733,0.011976205454308731,0.008094080388955533,0.0078125,4096,0.6566430330276489,0.00775817409157753,nan
qwen3_8b_base,nar_k8,1,2,mlp.up_proj,4096,12288,128,0,40.95884323120117,-1,128,True,13.602630448241657,1.589160502658714,0.015891605026587142,0.006784271735388194,0.0078125,12288,0.6677824258804321,0.007367316633462906,nan
qwen3_8b_base,nar_k8,1,2,mlp.gate_proj,4096,12288,128,0,40.95884323120117,-1,128,True,13.602630448241657,1.589160502658714,0.015891605026587142,0.006784271735388194,0.0078125,12288,0.7015430331230164,0.009059641510248184,nan
qwen3_8b_base,nar_k8,1,3,mlp.down_proj,12288,4096,128,0,0.03190101683139801,-1,128,True,13.871500968313931,1.1632508779854898,0.011632508779854897,0.0078216023420379,0.0078125,4096,0.6324414014816284,0.007832755334675312,nan
qwen3_8b_base,nar_k8,2,0,self_attn.k_proj,4096,1024,128,0,40.95917892456055,-1,128,True,13.95157358764956,1.6761516394073193,0.016761516394073195,0.006969417324615781,0.0078125,1024,0.6648046970367432,0.0077116163447499275,nan
qwen3_8b_base,nar_k8,2,0,self_attn.v_proj,4096,1024,128,0,40.95917892456055,-1,128,True,13.95157358764956,1.6761516394073193,0.016761516394073195,0.006969417324615781,0.0078125,1024,0.6660546660423279,0.007918745279312134,nan
qwen3_8b_base,nar_k8,2,0,self_attn.q_proj,4096,4096,128,0,40.95917892456055,-1,128,True,13.95157358764956,1.6761516394073193,0.016761516394073195,0.006969417324615781,0.0078125,4096,0.6636425852775574,0.007760575972497463,nan
qwen3_8b_base,nar_k8,2,1,self_attn.o_proj,4096,4096,128,0,0.02464977279305458,-1,128,True,5.181375679753208,1.0842559435604795,0.010842559435604795,0.006375424653762734,0.0078125,4096,0.6607397794723511,0.007497879676520824,nan
qwen3_8b_base,nar_k8,2,2,mlp.up_proj,4096,12288,128,0,40.95927047729492,-1,128,True,14.101271620476592,1.6682858376189207,0.016682858376189207,0.006863110599336541,0.0078125,12288,0.7137988805770874,0.006345096044242382,nan
qwen3_8b_base,nar_k8,2,2,mlp.gate_proj,4096,12288,128,0,40.95927047729492,-1,128,True,14.101271620476592,1.6682858376189207,0.016682858376189207,0.006863110599336541,0.0078125,12288,0.7296680212020874,0.008508710190653801,nan
qwen3_8b_base,nar_k8,2,3,mlp.down_proj,12288,4096,128,0,0.028514645993709564,-1,128,True,7.948180233827802,1.159782137746693,0.011597821377466932,0.0077929259246335425,0.0078125,4096,0.6335083246231079,0.007826155051589012,nan
qwen3_8b_base,nar_k8,3,0,self_attn.k_proj,4096,1024,128,0,40.95940017700195,-1,128,True,13.297423434940278,1.629477976561,0.01629477976561,0.0069944868993030325,0.0078125,1024,0.6622753739356995,0.0077513037249445915,nan
qwen3_8b_base,nar_k8,3,0,self_attn.v_proj,4096,1024,128,0,40.95940017700195,-1,128,True,13.297423434940278,1.629477976561,0.01629477976561,0.0069944868993030325,0.0078125,1024,0.6645312309265137,0.0077391378581523895,nan
qwen3_8b_base,nar_k8,3,0,self_attn.q_proj,4096,4096,128,0,40.95940017700195,-1,128,True,13.297423434940278,1.629477976561,0.01629477976561,0.0069944868993030325,0.0078125,4096,0.6598901748657227,0.007776517421007156,nan
qwen3_8b_base,nar_k8,3,1,self_attn.o_proj,4096,4096,128,0,0.043675392866134644,-1,128,True,5.83229488706377,1.1810317344013697,0.011810317344013698,0.0074089772515493115,0.0078125,4096,0.6558423042297363,0.007835889235138893,nan
qwen3_8b_base,nar_k8,3,2,mlp.up_proj,4096,12288,128,0,40.95949935913086,-1,128,True,13.029049799219047,1.654593641579789,0.01654593641579789,0.006708997853729854,0.0078125,12288,0.6772779226303101,0.0076152486726641655,nan
qwen3_8b_base,nar_k8,3,2,mlp.gate_proj,4096,12288,128,0,40.95949935913086,-1,128,True,13.029049799219047,1.654593641579789,0.01654593641579789,0.006708997853729854,0.0078125,12288,0.6996655464172363,0.009071732871234417,nan
qwen3_8b_base,nar_k8,3,3,mlp.down_proj,12288,4096,128,0,0.07790908217430115,-1,128,True,3.993134106606423,1.1036115107194477,0.011036115107194476,0.007786900659855905,0.0078125,4096,0.6230859756469727,0.007760100532323122,nan
qwen3_8b_base,nar_k8,4,0,self_attn.k_proj,4096,1024,128,0,40.95962905883789,-1,128,True,11.512284627266258,1.5667522398764309,0.01566752239876431,0.006813821707640759,0.0078125,1024,0.664492130279541,0.007781471125781536,nan
qwen3_8b_base,nar_k8,4,0,self_attn.v_proj,4096,1024,128,0,40.95962905883789,-1,128,True,11.512284627266258,1.5667522398764309,0.01566752239876431,0.006813821707640759,0.0078125,1024,0.6658300757408142,0.007861431688070297,nan
qwen3_8b_base,nar_k8,4,0,self_attn.q_proj,4096,4096,128,0,40.95962905883789,-1,128,True,11.512284627266258,1.5667522398764309,0.01566752239876431,0.006813821707640759,0.0078125,4096,0.6647900342941284,0.0077506909146904945,nan
qwen3_8b_base,nar_k8,4,1,self_attn.o_proj,4096,4096,128,0,0.0632309839129448,-1,128,True,6.842324360686333,1.0498175119926854,0.010498175119926855,0.0069336132068720194,0.0078125,4096,0.6618773937225342,0.007894802838563919,nan
qwen3_8b_base,nar_k8,4,2,mlp.up_proj,4096,12288,128,0,40.959686279296875,-1,128,True,12.84128081679349,1.5852216775764842,0.015852216775764844,0.0067545109434658185,0.0078125,12288,0.6623258590698242,0.007682725787162781,nan
qwen3_8b_base,nar_k8,4,2,mlp.gate_proj,4096,12288,128,0,40.959686279296875,-1,128,True,12.84128081679349,1.5852216775764842,0.015852216775764844,0.0067545109434658185,0.0078125,12288,0.6516366004943848,0.007515475153923035,nan
qwen3_8b_base,nar_k8,4,3,mlp.down_proj,12288,4096,128,0,0.1825057715177536,-1,128,True,5.668224661000859,1.0931046127279387,0.010931046127279387,0.007876512274959141,0.0078125,4096,0.6222070455551147,0.007807771675288677,nan
qwen3_8b_base,nar_k8,5,0,self_attn.k_proj,4096,1024,128,0,40.95980453491211,-1,128,True,15.428366124993921,1.6482665931795508,0.016482665931795506,0.006861432168074923,0.0078125,1024,0.6622363328933716,0.007889656350016594,nan
qwen3_8b_base,nar_k8,5,0,self_attn.v_proj,4096,1024,128,0,40.95980453491211,-1,128,True,15.428366124993921,1.6482665931795508,0.016482665931795506,0.006861432168074923,0.0078125,1024,0.6645410060882568,0.007846156135201454,nan
qwen3_8b_base,nar_k8,5,0,self_attn.q_proj,4096,4096,128,0,40.95980453491211,-1,128,True,15.428366124993921,1.6482665931795508,0.016482665931795506,0.006861432168074923,0.0078125,4096,0.6650122404098511,0.0078065707348287106,nan
qwen3_8b_base,nar_k8,5,1,self_attn.o_proj,4096,4096,128,0,0.1018877774477005,-1,128,True,5.894426836839588,1.087367103294556,0.01087367103294556,0.00768754777133557,0.0078125,4096,0.6583764553070068,0.007755929604172707,nan
qwen3_8b_base,nar_k8,5,2,mlp.up_proj,4096,12288,128,0,40.95983123779297,-1,128,True,16.42781662616432,1.6517107269984275,0.016517107269984274,0.006742426386168422,0.0078125,12288,0.6665307879447937,0.007802506908774376,nan
qwen3_8b_base,nar_k8,5,2,mlp.gate_proj,4096,12288,128,0,40.95983123779297,-1,128,True,16.42781662616432,1.6517107269984275,0.016517107269984274,0.006742426386168422,0.0078125,12288,0.6539005637168884,0.007928751409053802,nan
qwen3_8b_base,nar_k8,5,3,mlp.down_proj,12288,4096,128,0,0.26509734988212585,-1,128,True,3.933603059776193,1.0696146182055883,0.010696146182055884,0.007822935601242205,0.0078125,4096,0.622058093547821,0.0078086815774440765,nan
qwen3_8b_base,nar_k8,6,0,self_attn.k_proj,4096,1024,128,0,40.95988464355469,-1,128,True,16.957522735606215,1.6821826903881736,0.016821826903881735,0.006779777779863946,0.0078125,1024,0.6613476276397705,0.007830200716853142,nan
qwen3_8b_base,nar_k8,6,0,self_attn.v_proj,4096,1024,128,0,40.95988464355469,-1,128,True,16.957522735606215,1.6821826903881736,0.016821826903881735,0.006779777779863946,0.0078125,1024,0.6680859327316284,0.007779980078339577,nan
