model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_kmax,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_kmax,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_kmax,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,-1,128
qwen3_8b_base,nar_kmax,0,1,self_attn.o_proj,4096,4096,128,0,0.01327902264893055,-1,128
qwen3_8b_base,nar_kmax,0,2,mlp.up_proj,4096,12288,128,0,40.95281982421875,-1,128
qwen3_8b_base,nar_kmax,0,2,mlp.gate_proj,4096,12288,128,0,40.95281982421875,-1,128
qwen3_8b_base,nar_kmax,0,3,mlp.down_proj,12288,4096,128,0,0.03758547455072403,-1,128
qwen3_8b_base,nar_kmax,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_kmax,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_kmax,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,-1,128
qwen3_8b_base,nar_kmax,1,1,self_attn.o_proj,4096,4096,128,0,0.022971371188759804,-1,128
qwen3_8b_base,nar_kmax,1,2,mlp.up_proj,4096,12288,128,0,40.95884323120117,-1,128
qwen3_8b_base,nar_kmax,1,2,mlp.gate_proj,4096,12288,128,0,40.95884323120117,-1,128
qwen3_8b_base,nar_kmax,1,3,mlp.down_proj,12288,4096,128,0,0.03186723589897156,-1,128
qwen3_8b_base,nar_kmax,2,0,self_attn.k_proj,4096,1024,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_kmax,2,0,self_attn.v_proj,4096,1024,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_kmax,2,0,self_attn.q_proj,4096,4096,128,0,40.95918273925781,-1,128
qwen3_8b_base,nar_kmax,2,1,self_attn.o_proj,4096,4096,128,0,0.02465500868856907,-1,128
qwen3_8b_base,nar_kmax,2,2,mlp.up_proj,4096,12288,128,0,40.95927047729492,-1,128
qwen3_8b_base,nar_kmax,2,2,mlp.gate_proj,4096,12288,128,0,40.95927047729492,-1,128
qwen3_8b_base,nar_kmax,2,3,mlp.down_proj,12288,4096,128,0,0.02856677956879139,-1,128
qwen3_8b_base,nar_kmax,3,0,self_attn.k_proj,4096,1024,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_kmax,3,0,self_attn.v_proj,4096,1024,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_kmax,3,0,self_attn.q_proj,4096,4096,128,0,40.95940017700195,-1,128
qwen3_8b_base,nar_kmax,3,1,self_attn.o_proj,4096,4096,128,0,0.04356963559985161,-1,128
qwen3_8b_base,nar_kmax,3,2,mlp.up_proj,4096,12288,128,0,40.959495544433594,-1,128
qwen3_8b_base,nar_kmax,3,2,mlp.gate_proj,4096,12288,128,0,40.959495544433594,-1,128
qwen3_8b_base,nar_kmax,3,3,mlp.down_proj,12288,4096,128,0,0.07764722406864166,-1,128
qwen3_8b_base,nar_kmax,4,0,self_attn.k_proj,4096,1024,128,0,40.95962905883789,-1,128
qwen3_8b_base,nar_kmax,4,0,self_attn.v_proj,4096,1024,128,0,40.95962905883789,-1,128
qwen3_8b_base,nar_kmax,4,0,self_attn.q_proj,4096,4096,128,0,40.95962905883789,-1,128
qwen3_8b_base,nar_kmax,4,1,self_attn.o_proj,4096,4096,128,0,0.06308919936418533,-1,128
qwen3_8b_base,nar_kmax,4,2,mlp.up_proj,4096,12288,128,0,40.959686279296875,-1,128
qwen3_8b_base,nar_kmax,4,2,mlp.gate_proj,4096,12288,128,0,40.959686279296875,-1,128
qwen3_8b_base,nar_kmax,4,3,mlp.down_proj,12288,4096,128,0,0.18160270154476166,-1,128
qwen3_8b_base,nar_kmax,5,0,self_attn.k_proj,4096,1024,128,0,40.95980453491211,-1,128
qwen3_8b_base,nar_kmax,5,0,self_attn.v_proj,4096,1024,128,0,40.95980453491211,-1,128
qwen3_8b_base,nar_kmax,5,0,self_attn.q_proj,4096,4096,128,0,40.95980453491211,-1,128
qwen3_8b_base,nar_kmax,5,1,self_attn.o_proj,4096,4096,128,0,0.10177469998598099,-1,128
qwen3_8b_base,nar_kmax,5,2,mlp.up_proj,4096,12288,128,0,40.9598274230957,-1,128
qwen3_8b_base,nar_kmax,5,2,mlp.gate_proj,4096,12288,128,0,40.9598274230957,-1,128
qwen3_8b_base,nar_kmax,5,3,mlp.down_proj,12288,4096,128,0,0.2646317183971405,-1,128
qwen3_8b_base,nar_kmax,6,0,self_attn.k_proj,4096,1024,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_kmax,6,0,self_attn.v_proj,4096,1024,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_kmax,6,0,self_attn.q_proj,4096,4096,128,0,40.95988845825195,-1,128
qwen3_8b_base,nar_kmax,6,1,self_attn.o_proj,4096,4096,128,0,0.20502325892448425,-1,128
qwen3_8b_base,nar_kmax,6,2,mlp.up_proj,4096,12288,128,0,40.95989990234375,-1,128
qwen3_8b_base,nar_kmax,6,2,mlp.gate_proj,4096,12288,128,0,40.95989990234375,-1,128
qwen3_8b_base,nar_kmax,6,3,mlp.down_proj,12288,4096,128,0,33.634822845458984,-1,128
qwen3_8b_base,nar_kmax,7,0,self_attn.k_proj,4096,1024,128,0,40.95991516113281,-1,128
qwen3_8b_base,nar_kmax,7,0,self_attn.v_proj,4096,1024,128,0,40.95991516113281,-1,128
qwen3_8b_base,nar_kmax,7,0,self_attn.q_proj,4096,4096,128,0,40.95991516113281,-1,128
qwen3_8b_base,nar_kmax,7,1,self_attn.o_proj,4096,4096,128,0,0.21506540477275848,-1,128
qwen3_8b_base,nar_kmax,7,2,mlp.up_proj,4096,12288,128,0,40.95992660522461,-1,128
qwen3_8b_base,nar_kmax,7,2,mlp.gate_proj,4096,12288,128,0,40.95992660522461,-1,128
qwen3_8b_base,nar_kmax,7,3,mlp.down_proj,12288,4096,128,0,0.34122657775878906,-1,128
qwen3_8b_base,nar_kmax,8,0,self_attn.k_proj,4096,1024,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,0,self_attn.v_proj,4096,1024,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,0,self_attn.q_proj,4096,4096,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,1,self_attn.o_proj,4096,4096,128,0,0.3319983184337616,-1,128
qwen3_8b_base,nar_kmax,8,2,mlp.up_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,2,mlp.gate_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,3,mlp.down_proj,12288,4096,128,0,0.4512872099876404,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,1,self_attn.o_proj,4096,4096,128,0,0.427114337682724,-1,128
qwen3_8b_base,nar_kmax,9,2,mlp.up_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,9,2,mlp.gate_proj,4096,12288,128,0,40.95994567871094,-1,128
