model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_kmax,0,0,self_attn.k_proj,4096,1024,128,0,40.89909744262695,128,128,False,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,1024,0.665830135345459,0.007592714857310057,nan
qwen3_8b_base,nar_kmax,0,0,self_attn.v_proj,4096,1024,128,0,40.89909744262695,128,128,False,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,1024,0.6664941310882568,0.0077529530972242355,nan
qwen3_8b_base,nar_kmax,0,0,self_attn.q_proj,4096,4096,128,0,40.89909744262695,128,128,False,3.6595577484440214,1.0636976445180233,0.010636976445180232,0.007324127781690017,0.0078125,0.04406243263972986,58.95486414139244,4096,0.6660082936286926,0.007607685402035713,nan
qwen3_8b_base,nar_kmax,0,1,self_attn.o_proj,4096,4096,128,0,0.013277717866003513,128,128,False,7.788539784676822,1.4108828736712673,0.014108828736712676,0.007907626262809907,0.0078125,0.0953523774175566,10.672962590298352,4096,0.6459668278694153,0.008013474754989147,nan
qwen3_8b_base,nar_kmax,0,2,mlp.up_proj,4096,12288,128,0,40.952816009521484,128,128,False,29.183828928591076,2.1385805343010973,0.02138580534301097,0.008491036258856867,0.0078125,0.3140050353296959,2.0508384738889696,12288,0.6655526161193848,0.007748992647975683,nan
qwen3_8b_base,nar_kmax,0,2,mlp.gate_proj,4096,12288,128,0,40.952816009521484,128,128,False,29.183828928591076,2.1385805343010973,0.02138580534301097,0.008491036258856867,0.0078125,0.3140050353296959,2.0508384738889696,12288,0.6646558046340942,0.007784401066601276,nan
qwen3_8b_base,nar_kmax,0,3,mlp.down_proj,12288,4096,128,0,0.037602346390485764,128,128,False,3.223022754903925,1.0653761876886092,0.010653761876886093,0.007847665471830108,0.0078125,0.2038680156484137,656.4833809576627,4096,0.6227880716323853,0.007810960523784161,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,128,128,False,11.308084228010413,1.6059120958350253,0.016059120958350253,0.007697784923303979,0.0078125,0.2773700542779177,3.7935211340324724,1024,0.665097713470459,0.00763379642739892,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,128,128,False,11.308084228010413,1.6059120958350253,0.016059120958350253,0.007697784923303979,0.0078125,0.2773700542779177,3.7935211340324724,1024,0.6669824123382568,0.007646700367331505,nan
qwen3_8b_base,nar_kmax,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,128,128,False,11.308084228010413,1.6059120958350253,0.016059120958350253,0.007697784923303979,0.0078125,0.2773700542779177,3.7935211340324724,4096,0.6641601324081421,0.007615856826305389,nan
